Source,Pre,Pro,Post
"prose,Aelianus, Claudius","sunt, ille rursus opus invadens, quod suum est, facit; confercit se melle, et depopulatur thesauros dulces apum. </s><s>","Eae","ex pastione redeuntes, cum in eum inciderint, non amplius leniter Verant, neque tanquam essent in exsilium eum"
"prose,Aelianus, Claudius",", mirabili natura et genitali tepescit, atque in permulta animalia, nimirum apuas, immutatur atque convertitur. </s><s>","Eae","autem sic in putrido luto et sordibus, tanquam lumbrici, generatae ad natandum maxime valent. </s><s> Tumque mirabili causa"
"prose,Aelianus, Claudius","similitudinem formamque gerentes, et toto corpore hirsutae versantur, atque equina cauda praeditae dicuntur. </s><s>","Eae","cum non a venatoribus agitantur, in opacis et spissis sylvis solent ex frondibus et fructibus vivere; cum autem"
"prose,Aelianus, Claudius","; qui ut eam perspexerunt, revertuntur, et invitant eo modo, quo hi quidem vocare, illi intelligere solent. </s><s>","Eae","autem invitatae gregatim, instar nubium, accedunt, ac si offas objectas comederint, se cum iis pacem et foedus habere"
"prose,Varro, Marcus Terentius","scribatur'' pecus quoddam''. </s><s> Quaedam enim pecudes culturae sunt inimicae ac veneno, ut istae, quas dixisti, caprae. </s><s>","Eae","enim omnia novella sata carpendo corrumpunt, non minimum vites atque oleas. </s><s> Itaque propterea institutum diversa de"
"prose,Varro, Marcus Terentius","cacumina, ut olea ac ficus, ea summa integenda binis tabellis dextra et sinistra deligatis herbaeque eligendae. </s><s>","Eae","dum tenerae sunt, vellendae. </s><s> Post enim aridae factae rixantur ac celerius rumpuntur, quam secuntur. </s><s> Contra herba in"
"prose,Varro, Marcus Terentius","cancellorum scaenicorum ac theatri. </s><s> Deorsum in terram esse aquam, quam bibere possint, cibatui offas positas. </s><s>","Eae","maxime glomerantur ex ficis et farre mixto. </s><s> Diebus viginti antequam tollere vult turdos, largius dat cibum, quod plus"
"prose,Cicero, Marcus Tullius","Gratidianus, propinquus noster, C. Sergio Oratae vendiderat aedes eas, quas ab eodem ipse paucis ante annis emerat. </s><s>","Eae","serviebant, sed hoc in mancipio Marius non dixerat; adducta res in iudicium est. </s><s> Oratam Crassus, Gratidianum"
"prose,Livius, Titus","successorem sibi cum valido exercitu mitterent; cui si omnia prospere evenirent, non tamen otiosam provinciam fore. </s><s>","Eae","litterae quamquam primo admodum moverunt senatum, tamen, quia Italiae cura prior potiorque erat, nihil de"
"prose,Livius, Titus",", dein prodigiis quae alia super alia nuntiabantur; expiantique ea haud facile litari haruspices respondebant. </s><s> a. </s><s>","Eae","causae cum Fabium tenerent, Sempronius in obsidione erat et iam operibus oppugnabatur. </s><s> Adversus ligneam ingentem"
"prose,Cicero, Marcus Tullius","erunt artificio reperta, cura et cogitatione pertractata, tum denique ordinandae sunt ceterae partes orationis. </s><s>","Eae","partes sex esse omnino nobis videntur: exordium, narratio, partitio, confirmatio, reprehensio, conclusio. </s><s> Nunc"
"prose,Cicero, Marcus Tullius","definire difficile est; partes autem eius enumerare eas, quarum indigemus ad hanc praeceptionem, facilius est. </s><s>","Eae","autem partim divino, partim mortali in genere versantur. </s><s> Mortalium autem pars in hominum, pars in bestiarum genere"
"prose,Quintilianus, Marcus Fabius","possit. </s><s> Num ergo dubium est quin ei velut opes sint quaedam parandae, quibus uti ubicumque desideratum erit possit? </s><s>","Eae","constant copia rerum ac verborum. </s><s> Sed res propriae sunt cuiusque causae aut paucis communes, verba in universas"
"prose,Celsus, Cornelius Aulus","ex vertebris quattuor et viginti: septem in cervice sunt, duodecim ad costas, reliquae quinque sunt proximae costis. </s><s>","Eae","teretes brevesque; ab utroque latere processus duos exigunt; mediae perforatae, qua spinae medulla cerebro"
"prose,Iustinianus, Caesar Flavius (Imperator Iustinianus)",". </s><s> leo et anthem. </s><s> aa. </s><s> nicostrato pp orientis. </s><s> ; a d. </s><s> K. Sept. </s><s> Antehmio a. </s><s> Ii cons. </s><s> ; CJ. </s><s> : Imperatores Leo, Anthemius","Eae","autem personae, quae contra publicam commoditatem in clientelam suam suscepisse collatores detectae fuerint,"
"prose,Iustinianus, Caesar Flavius (Imperator Iustinianus)","Quaedam praeterea res corporales sunt, quaedam incorporales. </s><s> Corporales","eae","sunt quae sui natura tangi possunt: veluti fundus, homo, vestis, aurum, argentum et denique aliae res innumerabiles. </s>"
"prose,Iustinianus, Caesar Flavius (Imperator Iustinianus)","in fundo et aedibus, verum etiam in servis et iumentis ceterisque rebus, exceptis his quae ipso usu consumuntur: nam","eae","neque naturali ratione neque civili recipiunt usumfructum. </s><s> quo numero sunt vinum, oleum, frumentum, vestimenta. </s>"
"prose,Iustinianus, Caesar Flavius (Imperator Iustinianus)","ut eius fiant: sed aestimatis his satisdatur, ut, si morietur aut capite minuetur, tanta pecunia restituatur quanti","eae","fuerint aestimatae. </s><s> ergo senatus non fecit quidem earum rerum usumfructum( nec enim poterat), sed per cautionem"
"prose,Iustinianus, Caesar Flavius (Imperator Iustinianus)","HABEO; sed et Graece potest acceptum fieri, dummodo sic fiat ut Latinis verbis solet: quo genere, ut diximus, tantum","eae","obligationes solvuntur quae ex verbis consistunt, non etiam ceterae: consentaneum enim visum est, verbis factam"
"prose,Iustinianus, Caesar Flavius (Imperator Iustinianus)","secundum nostrae constitutionis definitiones, quas licet ex ipsius lectione apertius cognoscere. </s><s> Hoc amplius","eae","obligationes quae consensu contrahuntur contraria voluntate dissolvuntur. </s><s> nam si Titius et Seius inter se"
