Total,Ambiguous,Word,POS
9020,2561/10069/6459,is/ea/id,adj. et pron.
8899,4786/6173/4113,sum/es/esse/fui,PossibleVerb.
7108,7108/0/0,et,conj. adv.
6675,0/11943/6675,qui/quae/quod,pron. rel.
6033,6033/0/0,in/indu,prep. + acc. ou + abl.
5509,0/11012/5509,quis/quae/quid,pron. interr.
3448,0/8544/3448,ea,adv.
3150,3150/0/0,non,adv. neg.
2866,2866/0/0,ut/utut,conj. sub. + ind. ou subj.
2433,2433/0/0,ad,prep. + acc.
2183,1434/914/749,hic/haec/hoc,adj. pron.
2179,1122/1692/1057,a/ab/abs,prep. + abl.
2157,2157/0/0,si/sei,conj. sub.
2088,0/5905/2088,edo/edis/esse/edi/esum,PossibleVerb.
1847,1685/183/162,res/rei,f.
1801,1801/0/0,ex,prep. + abl.
1651,1110/629/541,dico/is/ere/dixi/dictum,PossibleVerb.
1626,1626/0/0,sed,conj.
1572,1572/0/0,de,prep. + abl.
1465,1416/53/49,possum/potes/posse/potui,PossibleVerb.
1371,1074/419/297,se/sui,pron. refl.
1281,1281/0/0,aut,conj. coord.
1238,1238/0/0,ipse/ipsa/ipsum,pron.
1203,21/2354/1182,cum/quom/quum,prep. + abl. et adv.
1172,0/2354/1172,cum,conj.
1147,717/500/430,ille/illa/illud,pron.
1034,949/101/85,video/es/ere/uidi/uisum,PossibleVerb.
1001,930/78/71,habeo/es/ere/bui/bitum,PossibleVerb.
955,955/0/0,enim,conj.
948,629/379/319,magnus,adj.
944,303/1149/641,omnis,e
884,884/0/0,atque,conj. coord.
848,848/0/0,etiam,adv.
839,751/175/88,facio/is/ere/feci/factum,PossibleVerb.
812,812/0/0,vel,adv.
805,805/0/0,autem,conj. coord.
788,531/414/257,fio/is/fieri/factus sum,PossibleVerb.
768,768/0/0,per,prep. + acc.
767,752/22/15,ego/mei,pron.
755,755/0/0,nec,adv.
739,739/0/0,neque,conj. coord.
715,695/29/20,tu/tui,sing. pron.
674,674/0/0,causa/caussa/ae,f.
659,659/0/0,ac,conj. coord.
645,349/453/296,pars/partis,f.
635,0/1692/635,a,interj.
601,601/0/0,homo/minis,m.
578,240/565/338,alius/a/ud,pron.
576,263/512/313,quisque/quaeque/quidque,pron.
570,336/289/234,idem/eadem/idem,adj. pron.
556,556/0/0,quidem,adv.
549,549/0/0,tamen/attamen,adv.
548,149/831/399,suus/a/um,adj. et pron.
534,511/40/23,nos/nostrum,pron. pl.
531,308/300/223,volo/uis/uelle/uolui,PossibleVerb.
524,38/767/486,multus,adj.
522,368/193/154,do/das/dare/dedi/datum,PossibleVerb.
509,23/741/486,verus,adj.
508,0/1149/508,omne/is,n.
494,494/0/0,nam,conj.
486,0/776/486,ito/avi/1,intr.
451,451/0/0,quidam/quaedam/quoddam/quiddam,PossibleVerb.
445,321/163/124,animus/i,m.
443,325/132/118,ago/is/ere/egi/actum,PossibleVerb.
443,181/341/262,utor/eris/i/usus sum,PossibleVerb.
440,142/453/298,bonus,adj.
432,432/0/0,nihil,pron.
429,429/0/0,jam/jamjam,adv.
429,400/31/29,debeo/es/ere/ui/itum,PossibleVerb.
426,426/0/0,pro,prep. + abl.
422,354/109/68,deus/i,m.
409,409/0/0,S/abreviation de salutem [dat],PossibleVerb.
407,407/0/0,ratio/onis,f.
397,64/434/333,primus,adj.
396,371/48/25,noster/tra/trum,adj. pron.
394,394/0/0,verbum/i,n.
389,83/517/306,modus/i,m.
389,389/0/0,tum,adv.
388,388/0/0,tempus/oris,n.
381,381/0/0,quia,conj. sub.
370,286/107/84,unus/a/um,sing.
362,212/254/150,aliquis/a/id,pron.
361,361/0/0,nisi,conj. sub.
353,353/0/0,inter,prep. + acc.
353,299/88/54,nullus,adj.
350,77/351/273,parvus,adj.
343,331/13/12,cio/is/ire,PossibleVerb.
343,257/174/86,vis/-,f.
332,332/0/0,urbs/urbis,f.
330,222/186/108,dies/ei,m. et f.
330,125/273/205,venio/is/ire/ueni/uentum,PossibleVerb.
329,192/190/137,jus/iuris,n.
327,123/1386/204,eo/is/ire/iui/itum,PossibleVerb.
318,309/13/9,vos/uestrum,pl. pron.
315,315/0/0,sic/seic,adv.
314,314/0/0,senatus/us,m.
312,312/0/0,igitur/adv.,conj.
311,289/29/22,nomen/inis,n.
310,310/0/0,ubi,adv. interr. ou rel.
309,309/0/0,deinde/dein,adv.
304,137/244/167,tantus,adj.
302,191/148/111,fero/fers/ferre/tuli/latum,PossibleVerb.
294,153/194/141,scribo/is/ere/scripsi/scriptum,PossibleVerb.
291,291/0/0,corpus/oris,n.
287,241/67/46,accipio/is/ere/cepi/ceptum : recevoir/apprendre (acceptus,adj.
286,150/217/136,imperator/induperator/oris,m.
283,148/200/135,pater/tris,m.
282,282/0/0,post/adv,prep. + acc.
281,130/306/151,lex/legis,f.
276,8/383/268,genus/eris,n.
276,183/115/93,capio/is/ere/cepi/captum,PossibleVerb.
274,202/80/72,audio/is/ire/iui/itum,PossibleVerb.
273,239/38/34,pono/is/ere/posui/situm,PossibleVerb.
266,78/472/188,nascor/eris/i/natus sum,PossibleVerb.
266,259/28/7,tuus,adj.
266,186/147/80,consul/is,m.
266,0/607/266,ita,adv.
263,263/0/0,alter/era/erum,PossibleVerb.
263,224/51/39,hostis/is,m.
261,226/44/35,quaero/is/ere/siui/situm,PossibleVerb.
260,260/0/0,nunc,adv.
260,227/38/33,puto/as/are,PossibleVerb.
258,179/105/79,gero/is/ere/gessi/gestum,PossibleVerb.
255,20/413/235,sino/is/ere/siui/situm,PossibleVerb.
252,172/182/80,rex/regis,m.
251,229/28/22,filius/ii,m.
249,58/418/191,Romanus,adj.
249,249/0/0,apud/aput,prep. + acc.
248,248/0/0,virtus/utis,f.
247,73/347/174,lego/is/ere/legi/lectum,PossibleVerb.
245,245/0/0,duo/ae/o,pl.
243,73/393/170,locus/i,m.
242,146/123/96,jubeo/es/ere/iussi/iussum,PossibleVerb.
241,236/5/5,peto/is/ere/iui/itum,PossibleVerb.
241,0/493/241,locum/cf. locus,PossibleVerb.
240,240/0/0,itaque,conj.
234,49/444/185,pario/is/ere/peperi/partum,PossibleVerb.
233,233/0/0,civitas/atis,f.
233,227/9/6,relinquo/is/ere/reliqui/relictum,PossibleVerb.
233,0/678/233,neo/es/ere/nevi/netum,PossibleVerb.
232,207/28/25,mitto/is/ere/misi/missum,PossibleVerb.
229,154/103/75,quisquam/quaequam/quidquam ou quic-,PossibleVerb.
229,0/1774/229,quod,conj. sub.
224,224/0/0,oporteo/v. defectif utilise seulement a la 3eme personne du singulier,PossibleVerb.
223,162/76/61,scio/is/ire/sciui/scitum,PossibleVerb.
223,156/87/67,duco/is/ere/duxi/ductum,PossibleVerb.
221,213/8/8,refero/fers/ferre/tuli/latum,PossibleVerb.
220,220/0/0,oratio/onis,f.
220,139/126/81,vir/uiri,m.
218,0/659/218,ne,conj. sub. + subj.
218,0/659/218,ne,adv.
217,0/689/217,suum/i,n.
216,216/0/0,tam,adv.
215,215/0/0,terra/ae,f.
212,212/0/0,quasi,conj.
210,13/505/197,no/as/are,PossibleVerb.
209,209/0/0,an,conj.
208,208/0/0,sententia/ae,f.
208,186/24/22,credo/is/ere/didi/ditum,PossibleVerb.
204,180/54/24,iste/a/ud,pron.
202,0/532/202,alium/ii,n.
201,145/83/56,miles/itis,m.
201,0/462/201,modo,adv.
199,185/15/14,intellego/intelligo/is/ere/lexi/lectum,PossibleVerb.
199,0/505/199,quoque,adv.
197,179/20/18,sequor/eris/i/secutus sum,PossibleVerb.
195,140/73/55,moveo/es/ere/moui/motum,PossibleVerb.
193,193/0/0,pecunia/ae,f.
192,192/0/0,quoniam,conj. sub.
192,135/79/57,sentio/is/ire/sensi/sensum,PossibleVerb.
191,166/36/25,voco/as/are,PossibleVerb.
191,147/55/44,annus/i,m.
191,131/93/60,vita/ae,f.
190,92/161/98,totus,adj.
189,189/0/0,inquit/vb. defectif,PossibleVerb.
187,20/346/167,lego/as/are,PossibleVerb.
187,187/0/0,e,prep. + abl.
186,186/0/0,M,npr.
186,153/40/33,teneo/es/ere/ui/tentum,PossibleVerb.
185,1/389/184,bellus,adj.
183,183/0/0,provincia/ae,f.
182,169/24/13,judicium/ii,n.
182,0/388/182,bellum/i,n.
181,181/0/0,sub,prep. + acc. / abl.
180,180/0/0,C,npr.
179,142/105/37,nemo/nullius/nt. nihil/nil (rart. neminis),pron.
178,178/0/0,pertineo/es/ere/tinui,PossibleVerb.
176,66/144/110,certus,adj.
175,16/316/159,rego/is/ere/rexi/rectum,PossibleVerb.
172,138/47/34,dominus/i,m.
171,171/0/0,ergo,conj.
171,171/0/0,aqua/ae,f.
171,116/93/55,vivo/is/ere/uixi/uictum,PossibleVerb.
168,168/0/0,sive,(seu) conj.
168,168/0/0,semper,adv.
168,0/347/168,populus/poplus/i,m.
168,0/347/168,populus/i,f.
167,0/418/167,Romanus/i,m.
166,0/364/166,sine,prep. + abl.
163,129/41/34,efficio/is/ere/effeci/effectum,PossibleVerb.
163,0/444/163,vero,adv.
161,75/174/86,meus/mea/meum,PossibleVerb.
161,44/169/117,opus/operis,n.
160,98/81/62,contineo/es/ere/tinui/tentum,PossibleVerb.
160,41/235/119,consulo/is/ere/sului/sultum,PossibleVerb.
160,160/0/0,P,P.
160,160/0/0,at,conj. coord.
159,159/0/0,ob,prep. + acc.
158,98/99/60,judico/as/are,PossibleVerb.
158,158/0/0,trado/is/ere/didi/ditum,PossibleVerb.
156,156/0/0,ager/agri,m.
156,127/40/29,respondeo/es/ere/di/sum,PossibleVerb.
155,32/343/123,solus,adj.
155,155/0/0,simul/semul,adv.
155,155/0/0,dum,conj. sub.
155,0/685/155,hoc,adv.
155,0/303/155,publicus,adj.
154,24/1721/130,queo/is/ire/ii ou iui/itum,PossibleVerb.
152,17/268/135,malus,adj.
152,152/0/0,d,abr.
151,19/189/132,secundus,adj.
151,151/0/0,mors/mortis,f.
151,126/26/25,convenio/is/ire/ueni/uentum,PossibleVerb.
150,150/0/0,consilium/ii,n.
149,149/0/0,reddo/is/ere/ddidi/dditum,PossibleVerb.
149,149/0/0,propter,prep. + acc.
148,148/0/0,tempestas/atis,f.
147,3/286/144,antes/ium,m.
147,147/0/0,gens/gentis,f.
145,6/545/139,suo/is/ere/sui/sutum,PossibleVerb.
144,141/3/3,loquor/eris/i/locutus sum,PossibleVerb.
144,115/34/29,probo/as/are,PossibleVerb.
143,143/0/0,ullus,adj.
143,113/38/30,invenio/is/ire/ueni/uentum,PossibleVerb.
142,0/286/142,ante,prep. +acc.
139,97/62/42,ordo/inis,m.
138,122/19/16,sumo/is/ere/sumpsi/sumptum,PossibleVerb.
137,66/119/71,appello/as/are,PossibleVerb.
136,83/79/53,patior/eris/i/passus sum,PossibleVerb.
136,105/40/31,cognosco/is/ere/noui,cognitum
135,72/89/63,longus,adj.
135,66/105/69,novus,adj.
134,89/84/45,fides/ei,f.
134,2/305/132,ceterus,adj.
134,134/0/0,spes/ei,f.
134,128/6/6,ostendo/is/ere/tendi/tentum,PossibleVerb.
133,65/103/68,quantus/a/um/adj./pron. excl et interr,PossibleVerb.
133,64/180/69,gigno/geno/is/ere/genui/genitum,PossibleVerb.
133,42/209/91,impero/as/are,PossibleVerb.
133,29/197/104,soleo/es/ere/solitus sum : avoir l'habitude de (solitus,adj.
133,133/0/0,pervenio/is/ire/ueni/uentum,PossibleVerb.
133,133/0/0,aetas/atis,f.
133,117/27/16,mos/moris,m.
133,114/21/19,censeo/es/ere/censui/censum,PossibleVerb.
132,85/58/47,domus/us ou i,f.
132,132/0/0,voluptas/atis,f.
131,93/50/38,consto/as/are,constiti
130,31/178/99,liber/era/erum,PossibleVerb.
129,129/0/0,similis,e
129,129/0/0,potestas/atis,f.
129,126/3/3,gratia/ae,f.
127,65/91/62,manus/us,f.
127,42/124/85,ars/artis,f.
127,0/358/127,bonum/i,n.
126,67/97/59,curo/coiro/as/are : se charger de/prendre soin de (curatus,adj.
126,33/254/93,aliqui/qua/quod,adj.
126,126/0/0,tunc,adv.
126,126/0/0,studium/ii,n.
126,126/0/0,postea,adv.
126,111/19/15,doceo/es/ere/cui/ctum,PossibleVerb.
125,4/292/121,dius,adj.
125,121/13/4,vester/tra/trum,PossibleVerb.
124,37/158/87,facilis,e
123,123/0/0,Roma/ae,f.
123,123/0/0,condicio/onis,f.
122,63/83/59,adeo/is/ire/ii/itum,PossibleVerb.
122,122/0/0,periculum/periclum/i,n.
121,121/0/0,voluntas/atis,f.
121,103/22/18,coepio/is/ere/coepi/coeptum,PossibleVerb.
120,104/19/16,praesto/as,are
118,118/0/0,supra,adv.
118,118/0/0,haud/hau/haut,adv. neg.
117,28/284/89,loco/as/are,PossibleVerb.
117,117/0/0,littera/ae,f.
117,102/17/15,consequor/eris/i/cutus sum,PossibleVerb.
116,89/35/27,tres/ium,PossibleVerb.
116,68/103/48,judex/icis,m.
116,0/426/116,multum/i,n.
115,72/59/43,praecipio/is/ere/cepi/ceptum,PossibleVerb.
115,5/222/110,summus,adj.
115,37/140/78,saepe,adv.
115,115/0/0,unde,adv. interr. ou rel.
115,115/0/0,copia/ae,f.
