Total,Ambiguous,Word,POS
33,26/8/7,is/ea/id,adj. et pron.
25,17/10/8,sum/es/esse/fui,PossibleVerb.
19,19/0/0,et,conj. adv.
18,18/0/0,in/indu,prep. + acc. ou + abl.
12,0/21/12,qui/quae/quod,pron. rel.
9,0/19/9,quis/quae/quid,pron. interr.
7,7/0/0,ut/utut,conj. sub. + ind. ou subj.
7,7/0/0,res/rei,f.
7,7/0/0,non,adv. neg.
7,7/0/0,autem,conj. coord.
6,6/0/0,possum/potes/posse/potui,PossibleVerb.
6,6/0/0,ex,prep. + abl.
6,6/0/0,ac,conj. coord.
6,4/2/2,hic/haec/hoc,adj. pron.
5,5/0/0,verbum/i,n.
5,5/0/0,sed,conj.
5,5/0/0,quidam/quaedam/quoddam/quiddam,PossibleVerb.
5,5/0/0,pars/partis,f.
5,5/0/0,fio/is/fieri/factus sum,PossibleVerb.
5,5/0/0,enim,conj.
4,4/0/0,si/sei,conj. sub.
4,4/0/0,dico/is/ere/dixi/dictum,PossibleVerb.
4,4/0/0,atque,conj. coord.
4,3/2/1,se/sui,pron. refl.
4,2/4/2,a/ab/abs,prep. + abl.
3,3/0/0,neque,conj. coord.
3,3/0/0,ipse/ipsa/ipsum,pron.
3,3/0/0,causa/caussa/ae,f.
3,3/0/0,ad,prep. + acc.
3,0/6/3,cum/quom/quum,prep. + abl. et adv.
3,0/6/3,cum,conj.
2,2/0/0,viginti,adj. num.
2,2/0/0,tum,adv.
2,2/0/0,tanquam,adv.
2,2/0/0,tamen/attamen,adv.
2,2/0/0,sic/seic,adv.
2,2/0/0,senatus/us,m.
2,2/0/0,S/abreviation de salutem [dat],PossibleVerb.
2,2/0/0,quidem,adv.
2,2/0/0,partim,adv.
2,2/0/0,oro/as/are,PossibleVerb.
2,2/0/0,offa/ae,f.
2,2/0/0,obligatio/ionis,f.
2,2/0/0,noster/tra/trum,adj. pron.
2,2/0/0,nam,conj.
2,2/0/0,mirabilis,e
2,2/0/0,leo/onis,m.
2,2/0/0,invito/as/are,PossibleVerb.
2,2/0/0,homo/minis,m.
2,2/0/0,herba/ae,f.
2,2/0/0,habeo/es/ere/bui/bitum,PossibleVerb.
2,2/0/0,Gratidianus,adj.
2,2/0/0,ficus/i,f.
2,2/0/0,facio/is/ere/feci/factum,PossibleVerb.
2,2/0/0,etiam,adv.
2,2/0/0,ergo,conj.
2,2/0/0,denique,adv.
2,2/0/0,de,prep. + abl.
2,2/0/0,corporalis,e
2,2/0/0,aut,conj. coord.
2,2/0/0,aestimo/as/are,PossibleVerb.
2,1/2/1,alius/a/ud,pron.
2,1/1/1,tantus,adj.
2,1/1/1,pecus/udis,f.
2,1/1/1,opus/operis,n.
2,1/1/1,oleum/i,n.
2,1/1/1,ille/illa/illud,pron.
2,1/1/1,fundus/i,m.
2,1/1/1,costa/ae,f.
2,0/9/2,edo/edis/esse/edi/esum,PossibleVerb.
2,0/4/2,a,interj.
2,0/3/2,solo/as/are,PossibleVerb.
2,0/3/2,soleo/es/ere/solitus sum : avoir l'habitude de (solitus,adj.
2,0/3/2,gigno/geno/is/ere/genui/genitum,PossibleVerb.
2,0/3/2,genus/eris,n.
1,1/1/0,video/es/ere/uidi/uisum,PossibleVerb.
1,1/1/0,servio/is/ire/ii ou iui/itum,PossibleVerb.
1,1/0/0,voluntas/atis,f.
1,1/0/0,volo/uis/uelle/uolui,PossibleVerb.
1,1/0/0,voco/as/are,PossibleVerb.
1,1/0/0,vivo/is/ere/uixi/uictum,PossibleVerb.
1,1/0/0,vestimentum/i,n.
1,1/0/0,vertebra/ae,f.
1,1/0/0,vendo/is/ere/didi/ditum,PossibleVerb.
1,1/0/0,venator/oris,m.
1,1/0/0,veluti,adv.
1,1/0/0,velut,adv.
1,1/0/0,vello/is/ere/uelli/uulsi/uulsum,PossibleVerb.
1,1/0/0,validus,adj.
1,1/0/0,valeo/es/ere/ui/itum,PossibleVerb.
1,1/0/0,universus/univorsus,adj.
1,1/0/0,ubicumque/ubicunque/ubiquomque,adv.
1,1/0/0,turdus/i/m,PossibleVerb.
1,1/0/0,tollo/is/tollere/sustuli/sublatum,PossibleVerb.
1,1/0/0,thesaurus/thensaurus/i/m,PossibleVerb.
1,1/0/0,theatrum/i,n.
1,1/0/0,terra/ae,f.
1,1/0/0,teres/teretis,PossibleVerb.
1,1/0/0,tepesco/is/ere/tepui,PossibleVerb.
1,1/0/0,tener/era/erum,PossibleVerb.
1,1/0/0,teneo/es/ere/ui/tentum,PossibleVerb.
1,1/0/0,tango/is/ere/tetigi/tactum,PossibleVerb.
1,1/0/0,tabella/ae,f.
1,1/0/0,suscipio/succipio/is/ere/cepi/ceptum,PossibleVerb.
1,1/0/0,successor/oris,m.
1,1/0/0,spissus,adj.
1,1/0/0,spina/ae,f.
1,1/0/0,sordes/ium,f. pl.
1,1/0/0,solvo/is/ere/ui/utum,PossibleVerb.
1,1/0/0,similitudo/inis,f.
1,1/0/0,sex,adj. num.
1,1/0/0,Sergius/i,m.
1,1/0/0,septem,adj. num.
1,1/0/0,Sejus/i,m.
1,1/0/0,scribo/is/ere/scripsi/scriptum,PossibleVerb.
1,1/0/0,rursus,adv.
1,1/0/0,rumpo/is/ere/rupi/ruptum,PossibleVerb.
1,1/0/0,rixor/aris/ari,intr.
1,1/0/0,restituo/is/ere/tui/tutum,PossibleVerb.
1,1/0/0,respondeo/es/ere/di/sum,PossibleVerb.
1,1/0/0,reprehensio/onis,f.
1,1/0/0,reliquus/reliqus,adj.
1,1/0/0,redeo/is/ire/ii/itum,PossibleVerb.
1,1/0/0,recipio/is/ere/cepi/ceptum,PossibleVerb.
1,1/0/0,ratio/onis,f.
1,1/0/0,quisque/quaeque/quidque,pron.
1,1/0/0,quinque,num.
1,1/0/0,quin,conj.
1,1/0/0,quia,conj. sub.
1,1/0/0,quattuor/quatuor,num.
1,1/0/0,quantus/a/um/adj./pron. excl et interr,PossibleVerb.
1,1/0/0,putridus,adj.
1,1/0/0,provincia/ae,f.
1,1/0/0,propterea,adv.
1,1/0/0,proprius,adj.
1,1/0/0,prodigium/ii,n.
1,1/0/0,prior/oris,PossibleVerb.
1,1/0/0,praeterea,adv.
1,1/0/0,praeditus,adj.
1,1/0/0,praeceptio/onis,f.
1,1/0/0,post/adv,prep. + acc.
1,1/0/0,pono/is/ere/posui/situm,PossibleVerb.
1,1/0/0,pertracto/as/are,PossibleVerb.
