Total,Ambiguous,Word,POS
5788,5691/124/97,ego/mei,pron.
3552,1852/2558/1700,sum/es/esse/fui,PossibleVerb.
3417,3417/0/0,et,conj. adv.
2767,0/4993/2767,qui/quae/quod,pron. rel.
2483,0/4729/2483,quis/quae/quid,pron. interr.
2334,2334/0/0,in/indu,prep. + acc. ou + abl.
2187,2187/0/0,non,adv. neg.
1823,1082/915/741,hic/haec/hoc,adj. pron.
1631,1062/697/569,is/ea/id,adj. et pron.
1382,1382/0/0,ut/utut,conj. sub. + ind. ou subj.
1372,1338/44/34,tu/tui,sing. pron.
1270,834/508/436,dico/is/ere/dixi/dictum,PossibleVerb.
1211,874/373/337,ille/illa/illud,pron.
1080,1080/0/0,si/sei,conj. sub.
1017,1017/0/0,sed,conj.
906,906/0/0,ad,prep. + acc.
864,0/2423/864,edo/edis/esse/edi/esum,PossibleVerb.
788,736/58/52,possum/potes/posse/potui,PossibleVerb.
765,765/0/0,de,prep. + abl.
721,607/139/114,res/rei,f.
716,683/36/33,video/es/ere/uidi/uisum,PossibleVerb.
634,634/0/0,ipse/ipsa/ipsum,pron.
621,290/548/331,a/ab/abs,prep. + abl.
591,9/1160/582,cum/quom/quum,prep. + abl. et adv.
578,0/1160/578,cum,conj.
571,258/679/313,meus/mea/meum,PossibleVerb.
567,567/0/0,enim,conj.
547,448/126/99,facio/is/ere/feci/factum,PossibleVerb.
497,472/37/25,vos/uestrum,pl. pron.
454,431/24/23,habeo/es/ere/bui/bitum,PossibleVerb.
447,447/0/0,aut,conj. coord.
441,441/0/0,atque,conj. coord.
430,248/219/182,volo/uis/uelle/uolui,PossibleVerb.
430,133/534/297,omnis,e
414,326/127/88,se/sui,pron. refl.
404,281/139/123,magnus,adj.
402,402/0/0,nec,adv.
394,394/0/0,ex,prep. + abl.
386,386/0/0,homo/minis,m.
379,379/0/0,etiam,adv.
370,370/0/0,inquit/vb. defectif,PossibleVerb.
362,313/76/49,iste/a/ud,pron.
358,349/40/9,tuus,adj.
357,357/0/0,quidem,adv.
350,350/0/0,neque,conj. coord.
342,342/0/0,ac,conj. coord.
338,11/513/327,verus,adj.
336,201/188/135,pater/tris,m.
335,181/228/154,alius/a/ud,pron.
328,328/0/0,nihil,pron.
324,265/78/59,deus/i,m.
315,315/0/0,autem,conj. coord.
305,305/0/0,tamen/attamen,adv.
304,304/0/0,causa/caussa/ae,f.
290,28/415/262,multus,adj.
284,284/0/0,jam/jamjam,adv.
284,110/244/174,bonus,adj.
279,279/0/0,nam,conj.
273,243/34/30,puto/as/are,PossibleVerb.
262,174/104/88,idem/eadem/idem,adj. pron.
261,245/30/16,nos/nostrum,pron. pl.
257,257/0/0,nunc,adv.
254,212/50/42,unus/a/um,sing.
250,210/43/40,audio/is/ire/iui/itum,PossibleVerb.
249,233/17/16,filius/ii,m.
240,221/35/19,noster/tra/trum,adj. pron.
239,239/0/0,verbum/i,n.
237,0/534/237,omne/is,n.
235,235/0/0,per,prep. + acc.
234,184/54/50,ago/is/ere/egi/actum,PossibleVerb.
228,228/0/0,nisi,conj. sub.
