Total,Ambiguous,Word,POS
5335,1757/5291/3578,is/ea/id,adj. et pron.
3650,1800/2870/1850,sum/es/esse/fui,PossibleVerb.
3495,3495/0/0,et,conj. adv.
2913,0/5192/2913,qui/quae/quod,pron. rel.
2485,2485/0/0,in/indu,prep. + acc. ou + abl.
2157,0/4543/2157,quis/quae/quid,pron. interr.
1601,0/4253/1601,ei,interj.
1516,1516/0/0,non,adv. neg.
1444,1444/0/0,ut/utut,conj. sub. + ind. ou subj.
1174,1174/0/0,ad,prep. + acc.
1167,1167/0/0,si/sei,conj. sub.
1143,624/666/519,hic/haec/hoc,adj. pron.
1040,2/2760/1038,edo/edis/esse/edi/esum,PossibleVerb.
1018,443/969/575,a/ab/abs,prep. + abl.
901,682/322/219,se/sui,pron. refl.
792,611/203/181,dico/is/ere/dixi/dictum,PossibleVerb.
757,541/239/216,ille/illa/illud,pron.
755,755/0/0,sed,conj.
717,6/1419/711,cum/quom/quum,prep. + abl. et adv.
708,0/1419/708,cum,conj.
698,698/0/0,ex,prep. + abl.
655,655/0/0,de,prep. + abl.
642,554/105/88,res/rei,f.
616,616/0/0,ipse/ipsa/ipsum,pron.
598,598/0/0,vel,adv.
579,560/22/19,possum/potes/posse/potui,PossibleVerb.
544,503/45/41,habeo/es/ere/bui/bitum,PossibleVerb.
503,349/189/154,do/das/dare/dedi/datum,PossibleVerb.
484,434/64/50,video/es/ere/uidi/uisum,PossibleVerb.
472,415/100/57,facio/is/ere/feci/factum,PossibleVerb.
461,461/0/0,aut,conj. coord.
454,133/653/321,suus/a/um,adj. et pron.
453,453/0/0,per,prep. + acc.
449,449/0/0,enim,conj.
445,445/0/0,autem,conj. coord.
444,178/457/266,omnis,e
433,433/0/0,nec,adv.
404,404/0/0,etiam,adv.
394,0/969/394,a,interj.
389,278/124/111,magnus,adj.
346,338/12/8,ego/mei,pron.
333,333/0/0,causa/caussa/ae,f.
325,316/15/9,tu/tui,sing. pron.
313,207/126/106,idem/eadem/idem,adj. pron.
303,303/0/0,atque,conj. coord.
299,299/0/0,neque,conj. coord.
299,193/183/106,fio/is/fieri/factus sum,PossibleVerb.
296,296/0/0,tamen/attamen,adv.
292,292/0/0,ac,conj. coord.
292,189/125/103,volo/uis/uelle/uolui,PossibleVerb.
283,127/241/156,alius/a/ud,pron.
279,265/17/14,filius/ii,m.
278,278/0/0,pro,prep. + abl.
261,261/0/0,homo/minis,m.
259,259/0/0,quidem,adv.
255,255/0/0,S/abreviation de salutem [dat],PossibleVerb.
250,174/154/76,rex/regis,m.
248,248/0/0,tempus/oris,n.
239,239/0/0,post/adv,prep. + acc.
239,208/35/31,debeo/es/ere/ui/itum,PossibleVerb.
233,217/24/16,deus/i,m.
232,131/153/101,pater/tris,m.
231,15/342/216,multus,adj.
228,0/373/228,ito/avi/1,intr.
223,186/57/37,nullus,adj.
222,89/197/133,bonus,adj.
219,10/335/209,verus,adj.
217,217/0/0,nam,conj.
217,141/99/76,jus/iuris,n.
216,209/8/7,cio/is/ire,PossibleVerb.
213,179/40/34,unus/a/um,sing.
210,132/126/78,aliquis/a/id,pron.
208,7/1489/201,queo/is/ire/ii ou iui/itum,PossibleVerb.
206,206/0/0,jam/jamjam,adv.
205,0/1138/205,quod,conj. sub.
204,204/0/0,nihil,pron.
203,150/59/53,ago/is/ere/egi/actum,PossibleVerb.
202,202/0/0,tum,adv.
197,142/83/55,dies/ei,m. et f.
191,0/457/191,omne/is,n.
190,187/3/3,nomen/inis,n.
187,61/221/126,quisque/quaeque/quidque,pron.
187,158/39/29,accipio/is/ere/cepi/ceptum : recevoir/apprendre (acceptus,adj.
186,186/0/0,quidam/quaedam/quoddam/quiddam,PossibleVerb.
185,50/196/135,venio/is/ire/ueni/uentum,PossibleVerb.
181,91/152/90,imperator/induperator/oris,m.
181,181/0/0,quia,conj. sub.
181,181/0/0,nisi,conj. sub.
181,150/42/31,dominus/i,m.
178,96/138/82,pars/partis,f.
177,61/152/116,utor/eris/i/usus sum,PossibleVerb.
171,49/157/122,primus,adj.
170,92/99/78,jubeo/es/ere/iussi/iussum,PossibleVerb.
170,165/15/5,tuus,adj.
166,0/535/166,suum/i,n.
163,163/0/0,apud/aput,prep. + acc.
162,34/161/128,parvus,adj.
162,141/23/21,mitto/is/ere/misi/missum,PossibleVerb.
161,45/848/116,eo/is/ire/iui/itum,PossibleVerb.
161,161/0/0,senatus/us,m.
159,159/0/0,inter,prep. + acc.
156,156/0/0,actio/onis,f.
151,151/0/0,sic/seic,adv.
151,151/0/0,d,abr.
151,142/9/9,peto/is/ere/iui/itum,PossibleVerb.
150,148/4/2,nos/nostrum,pron. pl.
148,122/33/26,credo/is/ere/didi/ditum,PossibleVerb.
147,147/0/0,pecunia/ae,f.
146,77/92/69,scribo/is/ere/scripsi/scriptum,PossibleVerb.
146,32/191/114,modus/i,m.
146,146/0/0,trado/is/ere/didi/ditum,PossibleVerb.
141,136/8/5,relinquo/is/ere/reliqui/relictum,PossibleVerb.
140,66/111/74,tantus,adj.
138,0/306/138,ita,adv.
137,137/0/0,an,conj.
137,1/233/136,liceo,v. impers.
137,0/1309/137,qui,adv.
136,136/0/0,heres/edis,m.
