Total,Ambiguous,Word,POS
9428,9428/0/0,et,conj. adv.
9175,0/14853/9175,qui/quae/quod,pron. rel.
6966,6966/0/0,in/indu,prep. + acc. ou + abl.
6855,14158/2981/2697,is/ea/id,adj. et pron.
4803,0/10567/4803,quis/quae/quid,pron. interr.
4689,4689/0/0,non,adv. neg.
4548,1/11313/4547,edo/edis/esse/edi/esum,PossibleVerb.
3801,3801/0/0,ut/utut,conj. sub. + ind. ou subj.
3287,3287/0/0,si/sei,conj. sub.
3191,3191/0/0,ad,prep. + acc.
3037,1813/1560/1224,hic/haec/hoc,adj. pron.
2737,1042/2948/1695,a/ab/abs,prep. + abl.
2500,1727/895/773,dico/is/ere/dixi/dictum,PossibleVerb.
2406,5210/11722/7196,sum/es/esse/fui,PossibleVerb.
2341,2264/85/77,possum/potes/posse/potui,PossibleVerb.
2120,2120/0/0,sed,conj.
1947,1947/0/0,ex,prep. + abl.
1918,1918/0/0,ipse/ipsa/ipsum,pron.
1834,1573/319/261,res/rei,f.
1792,1522/511/270,facio/is/ere/feci/factum,PossibleVerb.
1746,1380/518/366,se/sui,pron. refl.
1741,1741/0/0,aut,conj. coord.
1725,1725/0/0,de,prep. + abl.
1613,1078/602/535,ille/illa/illud,pron.
1536,0/5605/1536,quod,conj. sub.
1526,20/3002/1506,cum/quom/quum,prep. + abl. et adv.
1506,1506/0/0,enim,conj.
1496,0/3002/1496,cum,conj.
1464,1074/718/390,fio/is/fieri/factus sum,PossibleVerb.
1321,1202/146/119,video/es/ere/uidi/uisum,PossibleVerb.
1272,1191/88/81,habeo/es/ere/bui/bitum,PossibleVerb.
1253,0/2948/1253,a,interj.
1244,1244/0/0,etiam,adv.
1211,1211/0/0,autem,conj. coord.
1190,770/505/420,magnus,adj.
1186,360/1491/826,omnis,e
1114,1074/57/40,tu/tui,sing. pron.
1085,1061/35/24,ego/mei,pron.
1043,1043/0/0,per,prep. + acc.
1011,1011/0/0,vel,adv.
999,999/0/0,atque,conj. coord.
996,996/0/0,nec,adv.
942,429/816/513,alius/a/ud,pron.
906,906/0/0,neque,conj. coord.
879,879/0/0,causa/caussa/ae,f.
855,831/26/24,cio/is/ire,PossibleVerb.
851,851/0/0,homo/minis,m.
835,835/0/0,quidem,adv.
823,544/333/279,idem/eadem/idem,adj. pron.
808,808/0/0,nam,conj.
793,793/0/0,tamen/attamen,adv.
790,485/396/305,volo/uis/uelle/uolui,PossibleVerb.
775,252/766/523,bonus,adj.
774,281/845/493,quisque/quaeque/quidque,pron.
743,704/64/39,nos/nostrum,pron. pl.
728,448/424/280,imperator/induperator/oris,m.
716,716/0/0,ac,conj. coord.
712,535/197/177,ago/is/ere/egi/actum,PossibleVerb.
698,14/1059/684,verus,adj.
688,203/1018/485,suus/a/um,adj. et pron.
686,568/141/118,unus/a/um,sing.
680,494/227/186,do/das/dare/dedi/datum,PossibleVerb.
668,668/0/0,tempus/oris,n.
665,0/1491/665,omne/is,n.
650,650/0/0,nihil,pron.
646,42/933/604,multus,adj.
641,641/0/0,verbum/i,n.
639,1/1028/638,ito/avi/1,intr.
631,153/789/478,modus/i,m.
619,619/0/0,tum,adv.
614,614/0/0,jam/jamjam,adv.
604,548/81/56,deus/i,m.
583,583/0/0,quidam/quaedam/quoddam/quiddam,PossibleVerb.
565,104/606/461,primus,adj.
562,355/337/207,aliquis/a/id,pron.
561,561/0/0,S/abreviation de salutem [dat],PossibleVerb.
559,529/32/30,debeo/es/ere/ui/itum,PossibleVerb.
555,555/0/0,quia,conj. sub.
551,322/334/229,pars/partis,f.
516,372/199/144,animus/i,m.
499,198/1986/301,eo/is/ire/iui/itum,PossibleVerb.
498,498/0/0,d,abr.
488,176/399/312,utor/eris/i/usus sum,PossibleVerb.
485,485/0/0,ratio/onis,f.
481,481/0/0,nisi,conj. sub.
476,318/210/158,jus/iuris,n.
474,445/39/29,nomen/inis,n.
474,375/202/99,vis/-,f.
473,324/236/149,dies/ei,m. et f.
467,101/472/366,parvus,adj.
449,449/0/0,pro,prep. + abl.
448,389/101/59,nullus,adj.
448,306/176/142,fero/fers/ferre/tuli/latum,PossibleVerb.
443,443/0/0,ubi,adv. interr. ou rel.
443,410/38/33,quaero/is/ere/siui/situm,PossibleVerb.
439,439/0/0,inter,prep. + acc.
437,400/77/37,noster/tra/trum,adj. pron.
432,432/0/0,an,conj.
427,427/0/0,sic/seic,adv.
425,22/576/403,genus/eris,n.
402,402/0/0,post/adv,prep. + acc.
401,400/1/1,alter/era/erum,PossibleVerb.
400,400/0/0,igitur/adv.,conj.
396,152/332/244,venio/is/ire/ueni/uentum,PossibleVerb.
