Total,Ambiguous,Word,POS
4090,1209/4691/2881,is/ea/id,adj. et pron.
3624,1821/2839/1803,sum/es/esse/fui,PossibleVerb.
2825,2825/0/0,et,conj. adv.
2721,0/5230/2721,qui/quae/quod,pron. rel.
2321,2321/0/0,in/indu,prep. + acc. ou + abl.
2190,0/4811/2190,quis/quae/quid,pron. interr.
1902,98/4237/1804,eo/is/ire/iui/itum,PossibleVerb.
1383,1383/0/0,non,adv. neg.
1203,1203/0/0,ut/utut,conj. sub. + ind. ou subj.
1056,1/2786/1055,edo/edis/esse/edi/esum,PossibleVerb.
1042,1042/0/0,si/sei,conj. sub.
902,902/0/0,ad,prep. + acc.
860,528/405/332,hic/haec/hoc,adj. pron.
786,354/722/432,a/ab/abs,prep. + abl.
724,724/0/0,ex,prep. + abl.
680,587/113/93,res/rei,f.
649,463/214/186,dico/is/ere/dixi/dictum,PossibleVerb.
635,635/0/0,sed,conj.
631,500/183/131,se/sui,pron. refl.
572,555/18/17,possum/potes/posse/potui,PossibleVerb.
539,4/1069/535,cum/quom/quum,prep. + abl. et adv.
534,0/1069/534,cum,conj.
516,516/0/0,ipse/ipsa/ipsum,pron.
510,475/38/35,habeo/es/ere/bui/bitum,PossibleVerb.
503,503/0/0,aut,conj. coord.
498,498/0/0,de,prep. + abl.
481,319/184/162,ille/illa/illud,pron.
389,389/0/0,autem,conj. coord.
386,257/155/129,magnus,adj.
380,345/72/35,facio/is/ere/feci/factum,PossibleVerb.
378,348/35/30,video/es/ere/uidi/uisum,PossibleVerb.
376,376/0/0,etiam,adv.
374,374/0/0,vel,adv.
350,350/0/0,enim,conj.
342,227/178/115,fio/is/fieri/factus sum,PossibleVerb.
338,338/0/0,atque,conj. coord.
318,98/396/220,omnis,e
309,303/10/6,ego/mei,pron.
306,223/100/83,do/das/dare/dedi/datum,PossibleVerb.
292,6/1914/286,queo/is/ire/ii ou iui/itum,PossibleVerb.
290,0/722/290,a,interj.
278,72/417/206,suus/a/um,adj. et pron.
275,275/0/0,quidem,adv.
275,275/0/0,nec,adv.
266,266/0/0,per,prep. + acc.
266,266/0/0,causa/caussa/ae,f.
266,259/10/7,tu/tui,sing. pron.
263,163/122/100,idem/eadem/idem,adj. pron.
255,255/0/0,homo/minis,m.
239,83/266/156,quisque/quaeque/quidque,pron.
238,238/0/0,tum,adv.
236,236/0/0,tamen/attamen,adv.
233,222/11/11,debeo/es/ere/ui/itum,PossibleVerb.
233,144/135/89,pars/partis,f.
232,0/1784/232,qui,adv.
230,1/350/229,ito/avi/1,intr.
229,229/0/0,neque,conj. coord.
228,101/208/127,alius/a/ud,pron.
224,224/0/0,ac,conj. coord.
215,215/0/0,nam,conj.
213,18/306/195,multus,adj.
207,15/300/192,verus,adj.
201,201/0/0,nihil,pron.
193,67/185/126,bonus,adj.
192,192/0/0,pro,prep. + abl.
191,84/139/107,utor/eris/i/usus sum,PossibleVerb.
188,188/0/0,quidam/quaedam/quoddam/quiddam,PossibleVerb.
188,136/60/52,ago/is/ere/egi/actum,PossibleVerb.
185,178/8/7,filius/ii,m.
181,112/92/69,volo/uis/uelle/uolui,PossibleVerb.
178,178/0/0,tempus/oris,n.
178,178/0/0,S/abreviation de salutem [dat],PossibleVerb.
177,85/169/92,locus/i,m.
177,122/82/55,dies/ei,m. et f.
176,0/396/176,omne/is,n.
172,172/0/0,jam/jamjam,adv.
168,168/0/0,inter,prep. + acc.
167,48/152/119,primus,adj.
165,94/123/71,aliquis/a/id,pron.
164,123/52/41,animus/i,m.
163,34/219/129,modus/i,m.
163,133/36/30,unus/a/um,sing.
160,160/0/0,an,conj.
156,111/74/45,consul/is,m.
153,110/52/43,fero/fers/ferre/tuli/latum,PossibleVerb.
151,126/45/25,vis/-,f.
146,141/7/5,nomen/inis,n.
145,145/0/0,ubi,adv. interr. ou rel.
145,145/0/0,quia,conj. sub.
143,87/88/56,pater/tris,m.
141,30/140/111,parvus,adj.
141,141/0/0,apud/aput,prep. + acc.
140,46/132/94,venio/is/ire/ueni/uentum,PossibleVerb.
138,90/64/48,jus/iuris,n.
137,137/0/0,nisi,conj. sub.
136,129/8/7,cio/is/ire,PossibleVerb.
133,133/0/0,post/adv,prep. + acc.
133,133/0/0,deinde/dein,adv.
133,109/44/24,nullus,adj.
131,82/65/49,scribo/is/ere/scripsi/scriptum,PossibleVerb.
131,131/0/0,C,npr.
130,130/0/0,sic/seic,adv.
130,130/0/0,senatus/us,m.
129,123/11/6,nos/nostrum,pron. pl.
128,111/22/17,accipio/is/ere/cepi/ceptum : recevoir/apprendre (acceptus,adj.
127,127/0/0,corpus/oris,n.
126,126/0/0,verbum/i,n.
125,93/42/32,annus/i,m.
125,125/0/0,alter/era/erum,PossibleVerb.
122,122/0/0,ratio/onis,f.
122,122/0/0,M,npr.
121,76/64/45,capio/is/ere/cepi/captum,PossibleVerb.
121,74/56/47,jubeo/es/ere/iussi/iussum,PossibleVerb.
120,91/36/29,mitto/is/ere/misi/missum,PossibleVerb.
120,83/82/37,rex/regis,m.
117,54/99/63,imperator/induperator/oris,m.
116,116/0/0,mors/mortis,f.
115,115/0/0,igitur/adv.,conj.
114,114/0/0,P,P.
113,113/0/0,heres/edis,m.
112,85/37/27,vir/uiri,m.
110,84/28/26,audio/is/ire/iui/itum,PossibleVerb.
110,0/259/110,quoque,adv.
109,47/117/62,lex/legis,f.
108,48/94/60,tantus,adj.
108,0/339/108,suum/i,n.
106,98/14/8,noster/tra/trum,adj. pron.
106,98/14/8,judicium/ii,n.
106,106/0/0,at,conj. coord.
104,91/17/13,quaero/is/ere/siui/situm,PossibleVerb.
103,99/7/4,relinquo/is/ere/reliqui/relictum,PossibleVerb.
103,0/249/103,ita,adv.
102,89/15/13,teneo/es/ere/ui/tentum,PossibleVerb.
101,101/0/0,urbs/urbis,f.
100,81/23/19,credo/is/ere/didi/ditum,PossibleVerb.
100,100/0/0,potestas/atis,f.
100,100/0/0,pecunia/ae,f.
99,73/32/26,scio/is/ire/sciui/scitum,PossibleVerb.
99,0/770/99,quod,conj. sub.
97,74/56/23,nemo/nullius/nt. nihil/nil (rart. neminis),pron.
96,96/0/0,inquit/vb. defectif,PossibleVerb.
96,85/20/11,deus/i,m.
95,95/0/0,L,num. abrev.
94,94/0/0,actio/onis,f.
94,72/30/22,miles/itis,m.
94,10/151/84,sino/is/ere/siui/situm,PossibleVerb.
93,93/0/0,itaque,conj.
93,87/6/6,intellego/intelligo/is/ere/lexi/lectum,PossibleVerb.
92,90/9/2,tuus,adj.
92,48/66/44,judico/as/are,PossibleVerb.
91,91/0/0,aqua/ae,f.
91,89/2/2,peto/is/ere/iui/itum,PossibleVerb.
91,27/166/64,nascor/eris/i/natus sum,PossibleVerb.
91,25/140/66,Romanus,adj.
90,74/36/16,caput/itis,n.
87,0/198/87,modo,adv.
86,61/43/25,vivo/is/ere/uixi/uictum,PossibleVerb.
86,3/124/83,genus/eris,n.
86,23/144/63,pario/is/ere/peperi/partum,PossibleVerb.
86,16/138/70,rego/is/ere/rexi/rectum,PossibleVerb.
86,0/245/86,neo/es/ere/nevi/netum,PossibleVerb.
85,85/0/0,tam,adv.
85,85/0/0,sive,(seu) conj.
85,85/0/0,oporteo/v. defectif utilise seulement a la 3eme personne du singulier,PossibleVerb.
85,69/19/16,gero/is/ere/gessi/gestum,PossibleVerb.
84,84/0/0,d,abr.
84,77/21/7,iste/a/ud,pron.
84,61/35/23,vita/ae,f.
83,67/28/16,hostis/is,m.
82,82/0/0,duo/ae/o,pl.
82,82/0/0,consilium/ii,n.
82,50/45/32,longus,adj.
82,0/207/82,vero,adv.
82,0/154/82,publicus,adj.
81,69/14/12,puto/as/are,PossibleVerb.
81,1/160/80,antes/ium,m.
80,80/0/0,Q,,PossibleVerb.
80,80/0/0,civitas/atis,f.
80,73/8/7,sequor/eris/i/secutus sum,PossibleVerb.
80,71/11/9,dominus/i,m.
80,55/32/25,quisquam/quaequam/quidquam ou quic-,PossibleVerb.
80,0/160/80,ante,prep. +acc.
79,79/0/0,virtus/utis,f.
79,79/0/0,trado/is/ere/didi/ditum,PossibleVerb.
79,79/0/0,frater/tris,m.
79,40/57/39,manus/us,f.
78,78/0/0,quasi,conj.
77,77/0/0,annona/ae,f.
77,58/23/19,moveo/es/ere/moui/motum,PossibleVerb.
77,36/68/41,totus,adj.
76,0/232/76,ne,conj. sub. + subj.
76,0/232/76,ne,adv.
75,75/0/0,semper,adv.
75,65/15/10,voco/as/are,PossibleVerb.
74,74/0/0,sententia/ae,f.
74,26/63/48,certus,adj.
74,0/154/74,bellus,adj.
74,0/154/74,bellum/i,n.
73,73/0/0,nunc,adv.
73,69/5/4,civis/is,m.
73,46/38/27,duco/is/ere/duxi/ductum,PossibleVerb.
73,2/184/71,no/as/are,PossibleVerb.
72,72/0/0,Caesar/aris,m.
72,0/194/72,alium/ii,n.
71,28/117/43,solus,adj.
70,60/12/10,pono/is/ere/posui/situm,PossibleVerb.
70,40/48/30,appello/as/are,PossibleVerb.
70,40/38/30,domus/us ou i,f.
69,69/0/0,Roma/ae,f.
69,44/32/25,curo/coiro/as/are : se charger de/prendre soin de (curatus,adj.
68,68/0/0,ob,prep. + acc.
68,68/0/0,dum,conj. sub.
68,17/111/51,lego/is/ere/legi/lectum,PossibleVerb.
67,7/132/60,malus,adj.
67,63/7/4,vos/uestrum,pl. pron.
67,35/68/32,meus/mea/meum,PossibleVerb.
67,3/132/64,lego/as/are,PossibleVerb.
67,0/263/67,suo/is/ere/sui/sutum,PossibleVerb.
66,66/0/0,ergo,conj.
66,19/100/47,consulo/is/ere/sului/sultum,PossibleVerb.
66,0/132/66,contra,prep. + acc.
66,0/132/66,contra,adv.
65,65/0/0,sub,prep. + acc. / abl.
65,65/0/0,provincia/ae,f.
65,65/0/0,postea,adv.
65,65/0/0,imperium/ii,n.
65,53/15/12,solvo/is/ere/ui/utum,PossibleVerb.
65,0/282/65,hoc,adv.
64,7/111/57,solidus/soldus,adj.
64,18/123/46,aliqui/qua/quod,adj.
64,0/172/64,locum/cf. locus,PossibleVerb.
63,63/0/0,tribunus/i,m.
63,63/0/0,oratio/onis,f.
63,0/135/63,populus/poplus/i,m.
63,0/135/63,populus/i,f.
62,62/0/0,nego/as/are,PossibleVerb.
62,62/0/0,morbus/i,m.
62,62/0/0,aetas/atis,f.
62,5/107/57,summus,adj.
62,0/135/62,sine,prep. + abl.
61,50/13/11,cogo/is/ere/egi/actum,PossibleVerb.
61,49/21/12,dolor/oris,m.
61,49/15/12,eques/itis,m.
61,46/17/15,uterque/utraque/utrumque,PossibleVerb.
61,43/24/18,absum/es/esse/afui,PossibleVerb.
61,16/77/45,soleo/es/ere/solitus sum : avoir l'habitude de (solitus,adj.
60,60/0/0,e,prep. + abl.
60,53/7/7,efficio/is/ere/effeci/effectum,PossibleVerb.
59,59/0/0,restituo/is/ere/tui/tutum,PossibleVerb.
59,59/0/0,ager/agri,m.
59,50/18/9,mos/moris,m.
59,34/38/25,tertius,adj.
59,10/89/49,liber/era/erum,PossibleVerb.
58,58/0/0,periculum/periclum/i,n.
58,55/4/3,gratia/ae,f.
58,36/115/22,reus/i,m.
58,22/85/36,impero/as/are,PossibleVerb.
58,13/105/45,exerceo/es/ere/cui/citum,PossibleVerb.
57,57/0/0,pertineo/es/ere/tinui,PossibleVerb.
57,49/10/8,respondeo/es/ere/di/sum,PossibleVerb.
57,42/21/15,sentio/is/ire/sensi/sensum,PossibleVerb.
57,27/42/30,honor/oris,m.
56,56/0/0,testamentum/i,n.
56,56/0/0,simul/semul,adv.
56,56/0/0,loquor/eris/i/locutus sum,PossibleVerb.
56,56/0/0,defendo/is/ere/fendi/fensum,PossibleVerb.
56,55/1/1,refero/fers/ferre/tuli/latum,PossibleVerb.
56,42/19/14,doceo/es/ere/cui/ctum,PossibleVerb.
56,29/54/27,morior/eris/i/mortuus sum,PossibleVerb.
56,0/140/56,Romanus/i,m.
55,55/0/0,V,adj. num.
54,54/0/0,quoniam,conj. sub.
54,50/9/4,praetor/oris,m.
54,49/6/5,coepio/is/ere/coepi/coeptum,PossibleVerb.
54,0/111/54,solidum/i,n.
53,53/0/0,oculus/i,m.
