Total,Ambiguous,Word,POS
5820,5733/102/87,nos/nostrum,pron. pl.
4640,4640/0/0,et,conj. adv.
4294,2208/3169/2086,sum/es/esse/fui,PossibleVerb.
3270,0/5760/3270,qui/quae/quod,pron. rel.
2705,2705/0/0,in/indu,prep. + acc. ou + abl.
2645,0/5196/2645,quis/quae/quid,pron. interr.
2093,2093/0/0,non,adv. neg.
1904,1223/846/681,is/ea/id,adj. et pron.
1634,985/806/649,hic/haec/hoc,adj. pron.
1524,1524/0/0,ut/utut,conj. sub. + ind. ou subj.
1301,1301/0/0,ad,prep. + acc.
1286,839/509/447,ille/illa/illud,pron.
1173,1173/0/0,si/sei,conj. sub.
1158,812/409/346,dico/is/ere/dixi/dictum,PossibleVerb.
1098,1/3021/1097,edo/edis/esse/edi/esum,PossibleVerb.
1072,1072/0/0,sed,conj.
899,437/754/462,a/ab/abs,prep. + abl.
888,845/131/43,noster/tra/trum,adj. pron.
862,862/0/0,ipse/ipsa/ipsum,pron.
832,815/19/17,possum/potes/posse/potui,PossibleVerb.
831,831/0/0,de,prep. + abl.
751,751/0/0,enim,conj.
699,612/103/87,res/rei,f.
694,694/0/0,aut,conj. coord.
660,585/91/75,deus/i,m.
613,578/39/35,video/es/ere/uidi/uisum,PossibleVerb.
591,571/29/20,tu/tui,sing. pron.
570,197/660/373,omnis,e
570,10/1116/560,cum/quom/quum,prep. + abl. et adv.
556,0/1116/556,cum,conj.
555,500/83/55,facio/is/ere/feci/factum,PossibleVerb.
528,528/0/0,ex,prep. + abl.
512,512/0/0,nec,adv.
507,507/0/0,etiam,adv.
483,465/19/18,habeo/es/ere/bui/bitum,PossibleVerb.
465,465/0/0,autem,conj. coord.
464,464/0/0,per,prep. + acc.
436,292/165/144,magnus,adj.
422,405/26/17,ego/mei,pron.
419,207/333/212,alius/a/ud,pron.
408,408/0/0,homo/minis,m.
402,266/164/136,volo/uis/uelle/uolui,PossibleVerb.
395,301/149/94,se/sui,pron. refl.
389,389/0/0,atque,conj. coord.
388,388/0/0,ac,conj. coord.
381,361/30/20,vos/uestrum,pl. pron.
353,353/0/0,quidem,adv.
351,152/285/199,bonus,adj.
345,345/0/0,tamen/attamen,adv.
340,340/0/0,nihil,pron.
334,334/0/0,causa/caussa/ae,f.
329,223/127/106,idem/eadem/idem,adj. pron.
318,224/154/94,fio/is/fieri/factus sum,PossibleVerb.
317,13/466/304,verus,adj.
314,23/455/291,multus,adj.
302,269/60/33,iste/a/ud,pron.
301,301/0/0,jam/jamjam,adv.
298,298/0/0,neque,conj. coord.
292,292/0/0,nam,conj.
292,0/754/292,a,interj.
289,77/424/212,suus/a/um,adj. et pron.
287,0/660/287,omne/is,n.
282,282/0/0,vel,adv.
280,280/0/0,quia,conj. sub.
279,222/71/57,unus/a/um,sing.
276,169/173/107,aliquis/a/id,pron.
273,273/0/0,apud/aput,prep. + acc.
267,0/438/267,ito/avi/1,intr.
257,257/0/0,pro,prep. + abl.
257,257/0/0,nunc,adv.
257,102/258/155,quisque/quaeque/quidque,pron.
255,255/0/0,inter,prep. + acc.
255,176/100/79,do/das/dare/dedi/datum,PossibleVerb.
247,0/1323/247,quod,conj. sub.
245,237/27/8,tuus,adj.
243,243/0/0,verbum/i,n.
242,242/0/0,nisi,conj. sub.
240,240/0/0,sic/seic,adv.
235,183/57/52,ago/is/ere/egi/actum,PossibleVerb.
231,212/21/19,debeo/es/ere/ui/itum,PossibleVerb.
228,213/16/15,credo/is/ere/didi/ditum,PossibleVerb.
223,223/0/0,quidam/quaedam/quoddam/quiddam,PossibleVerb.
218,61/557/157,eo/is/ire/iui/itum,PossibleVerb.
216,216/0/0,ergo,conj.
214,214/0/0,S/abreviation de salutem [dat],PossibleVerb.
213,86/175/127,venio/is/ire/ueni/uentum,PossibleVerb.
213,185/46/28,nullus,adj.
211,158/78/53,animus/i,m.
211,102/154/109,tantus,adj.
210,51/259/159,modus/i,m.
197,197/0/0,tempus/oris,n.
196,162/42/34,dominus/i,m.
195,172/26/23,puto/as/are,PossibleVerb.
191,47/185/144,primus,adj.
189,155/42/34,scio/is/ire/sciui/scitum,PossibleVerb.
187,96/116/91,utor/eris/i/usus sum,PossibleVerb.
185,185/0/0,inquit/vb. defectif,PossibleVerb.
185,185/0/0,an,conj.
185,170/22/15,nomen/inis,n.
181,118/91/63,pars/partis,f.
174,174/0/0,ratio/onis,f.
174,164/30/10,vester/tra/trum,PossibleVerb.
174,122/75/52,vita/ae,f.
173,137/39/36,audio/is/ire/iui/itum,PossibleVerb.
169,169/0/0,corpus/oris,n.
168,168/0/0,tam,adv.
168,168/0/0,sicut,adv.
164,84/103/80,scribo/is/ere/scripsi/scriptum,PossibleVerb.
163,0/361/163,ita,adv.
160,160/0/0,mors/mortis,f.
160,160/0/0,igitur/adv.,conj.
160,151/10/9,filius/ii,m.
158,27/228/131,sino/is/ere/siui/situm,PossibleVerb.
158,27/164/131,parvus,adj.
158,103/67/55,fero/fers/ferre/tuli/latum,PossibleVerb.
157,150/8/7,quaero/is/ere/siui/situm,PossibleVerb.
152,75/117/77,pater/tris,m.
146,130/19/16,accipio/is/ere/cepi/ceptum : recevoir/apprendre (acceptus,adj.
145,132/14/13,sequor/eris/i/secutus sum,PossibleVerb.
144,39/262/105,nascor/eris/i/natus sum,PossibleVerb.
144,0/584/144,hoc,adv.
142,110/61/32,dies/ei,m. et f.
141,141/0/0,loquor/eris/i/locutus sum,PossibleVerb.
