Total,Ambiguous,Word,POS
4523,4434/105/89,tu/tui,sing. pron.
2426,2426/0/0,et,conj. adv.
2388,1100/2010/1288,sum/es/esse/fui,PossibleVerb.
1965,0/3532/1965,qui/quae/quod,pron. rel.
1779,0/3355/1779,quis/quae/quid,pron. interr.
1428,1428/0/0,in/indu,prep. + acc. ou + abl.
1344,1344/0/0,non,adv. neg.
1253,1223/44/30,ego/mei,pron.
1173,729/550/444,is/ea/id,adj. et pron.
1115,665/561/450,hic/haec/hoc,adj. pron.
942,942/0/0,ut/utut,conj. sub. + ind. ou subj.
942,707/258/235,ille/illa/illud,pron.
805,805/0/0,si/sei,conj. sub.
755,479/332/276,dico/is/ere/dixi/dictum,PossibleVerb.
727,0/1903/727,edo/edis/esse/edi/esum,PossibleVerb.
700,686/99/14,tuus,adj.
635,635/0/0,ad,prep. + acc.
570,570/0/0,sed,conj.
509,429/109/80,possum/potes/posse/potui,PossibleVerb.
445,202/406/243,a/ab/abs,prep. + abl.
444,375/83/69,res/rei,f.
442,442/0/0,de,prep. + abl.
427,410/19/17,video/es/ere/uidi/uisum,PossibleVerb.
416,416/0/0,enim,conj.
416,22/778/394,cum/quom/quum,prep. + abl. et adv.
384,0/778/384,cum,conj.
383,295/111/88,facio/is/ere/feci/factum,PossibleVerb.
378,378/0/0,ipse/ipsa/ipsum,pron.
338,338/0/0,ex,prep. + abl.
333,333/0/0,aut,conj. coord.
328,313/16/15,habeo/es/ere/bui/bitum,PossibleVerb.
319,105/381/214,omnis,e
313,269/71/44,iste/a/ud,pron.
302,146/211/156,volo/uis/uelle/uolui,PossibleVerb.
298,298/0/0,inquit/vb. defectif,PossibleVerb.
286,286/0/0,quidem,adv.
271,271/0/0,etiam,adv.
271,183/99/88,magnus,adj.
270,254/26/16,nos/nostrum,pron. pl.
242,179/95/63,se/sui,pron. refl.
235,235/0/0,nec,adv.
232,109/254/123,meus/mea/meum,PossibleVerb.
230,99/181/131,bonus,adj.
227,227/0/0,homo/minis,m.
223,223/0/0,causa/caussa/ae,f.
217,183/45/34,deus/i,m.
206,11/309/195,verus,adj.
203,203/0/0,autem,conj. coord.
194,194/0/0,jam/jamjam,adv.
194,194/0/0,atque,conj. coord.
190,190/0/0,an,conj.
190,102/135/88,alius/a/ud,pron.
187,187/0/0,ac,conj. coord.
187,141/53/46,idem/eadem/idem,adj. pron.
186,186/0/0,nihil,pron.
184,161/26/23,puto/as/are,PossibleVerb.
181,181/0/0,nisi,conj. sub.
177,177/0/0,tamen/attamen,adv.
174,136/43/38,do/das/dare/dedi/datum,PossibleVerb.
170,129/45/41,ago/is/ere/egi/actum,PossibleVerb.
168,168/0/0,per,prep. + acc.
168,151/33/17,noster/tra/trum,adj. pron.
167,0/381/167,omne/is,n.
165,165/0/0,verbum/i,n.
165,165/0/0,nunc,adv.
164,145/21/19,filius/ii,m.
163,0/406/163,a,interj.
156,40/381/116,eo/is/ire/iui/itum,PossibleVerb.
156,129/32/27,scio/is/ire/sciui/scitum,PossibleVerb.
154,154/0/0,nam,conj.
152,11/223/141,multus,adj.
150,150/0/0,neque,conj. coord.
146,82/98/64,pater/tris,m.
146,37/223/109,suus/a/um,adj. et pron.
146,146/0/0,S/abreviation de salutem [dat],PossibleVerb.
146,122/28/24,unus/a/um,sing.
145,0/230/145,ito/avi/1,intr.
144,144/0/0,tam,adv.
144,144/0/0,pro,prep. + abl.
143,35/180/108,modus/i,m.
143,126/18/17,audio/is/ire/iui/itum,PossibleVerb.
142,0/783/142,quod,conj. sub.
141,141/0/0,quia,conj. sub.
141,132/10/9,debeo/es/ere/ui/itum,PossibleVerb.
136,65/98/71,tantus,adj.
