Total,Ambiguous,Word,POS
3509,3446/76/63,vos/uestrum,pl. pron.
2378,2378/0/0,et,conj. adv.
2265,1166/1666/1099,sum/es/esse/fui,PossibleVerb.
1714,0/3132/1714,qui/quae/quod,pron. rel.
1585,0/3015/1585,quis/quae/quid,pron. interr.
1521,1521/0/0,in/indu,prep. + acc. ou + abl.
1180,1180/0/0,non,adv. neg.
1083,654/519/429,hic/haec/hoc,adj. pron.
996,643/436/353,is/ea/id,adj. et pron.
868,843/42/25,ego/mei,pron.
778,778/0/0,ut/utut,conj. sub. + ind. ou subj.
771,771/0/0,si/sei,conj. sub.
654,654/0/0,ad,prep. + acc.
650,637/76/13,vester/tra/trum,PossibleVerb.
647,449/223/198,ille/illa/illud,pron.
573,0/1583/573,edo/edis/esse/edi/esum,PossibleVerb.
540,540/0/0,sed,conj.
507,420/108/87,res/rei,f.
504,239/436/265,a/ab/abs,prep. + abl.
472,312/190/160,dico/is/ere/dixi/dictum,PossibleVerb.
459,459/0/0,de,prep. + abl.
448,440/8/8,possum/potes/posse/potui,PossibleVerb.
403,403/0/0,ipse/ipsa/ipsum,pron.
389,322/88/67,deus/i,m.
387,339/69/48,facio/is/ere/feci/factum,PossibleVerb.
356,343/21/13,nos/nostrum,pron. pl.
337,126/369/211,omnis,e
335,335/0/0,aut,conj. coord.
334,315/20/19,habeo/es/ere/bui/bitum,PossibleVerb.
330,314/17/16,video/es/ere/uidi/uisum,PossibleVerb.
329,329/0/0,atque,conj. coord.
324,2/644/322,cum/quom/quum,prep. + abl. et adv.
322,0/644/322,cum,conj.
319,319/0/0,nec,adv.
309,309/0/0,enim,conj.
263,151/129/112,volo/uis/uelle/uolui,PossibleVerb.
251,251/0/0,etiam,adv.
250,155/111/95,magnus,adj.
247,247/0/0,per,prep. + acc.
246,246/0/0,ex,prep. + abl.
236,183/81/53,se/sui,pron. refl.
222,107/234/115,meus/mea/meum,PossibleVerb.
217,217/0/0,ac,conj. coord.
215,115/148/100,alius/a/ud,pron.
214,197/30/17,noster/tra/trum,adj. pron.
203,203/0/0,pro,prep. + abl.
203,203/0/0,neque,conj. coord.
200,200/0/0,homo/minis,m.
197,197/0/0,apud/aput,prep. + acc.
193,193/0/0,causa/caussa/ae,f.
178,178/0/0,tamen/attamen,adv.
174,150/27/24,credo/is/ere/didi/ditum,PossibleVerb.
171,0/436/171,a,interj.
168,66/161/102,pater/tris,m.
166,166/0/0,jam/jamjam,adv.
164,109/67/55,idem/eadem/idem,adj. pron.
161,58/143/103,bonus,adj.
161,161/0/0,quidem,adv.
160,68/156/92,judico/as/are,PossibleVerb.
159,43/240/116,suus/a/um,adj. et pron.
158,0/369/158,omne/is,n.
157,157/0/0,nunc,adv.
156,156/0/0,nihil,pron.
156,129/49/27,iste/a/ud,pron.
155,80/99/75,tantus,adj.
152,138/15/14,debeo/es/ere/ui/itum,PossibleVerb.
151,151/0/0,vel,adv.
151,116/39/35,ago/is/ere/egi/actum,PossibleVerb.
149,149/0/0,autem,conj. coord.
148,96/72/52,animus/i,m.
148,107/50/41,do/das/dare/dedi/datum,PossibleVerb.
147,147/0/0,inquit/vb. defectif,PossibleVerb.
141,12/200/129,verus,adj.
141,113/35/28,unus/a/um,sing.
138,117/31/21,hostis/is,m.
137,117/34/20,nullus,adj.
135,131/6/4,tu/tui,sing. pron.
134,134/0/0,nisi,conj. sub.
134,0/226/134,ito/avi/1,intr.
131,131/0/0,nam,conj.
130,75/110/55,fio/is/fieri/factus sum,PossibleVerb.
128,128/0/0,an,conj.
127,6/194/121,multus,adj.
127,127/0/0,tam,adv.
123,55/112/68,quisque/quaeque/quidque,pron.
119,119/0/0,quia,conj. sub.
118,95/26/23,audio/is/ire/iui/itum,PossibleVerb.
116,35/281/81,eo/is/ire/iui/itum,PossibleVerb.
115,94/26/21,puto/as/are,PossibleVerb.
111,107/5/4,nomen/inis,n.
109,109/0/0,inter,prep. + acc.
108,84/33/24,scio/is/ire/sciui/scitum,PossibleVerb.
108,108/0/0,urbs/urbis,f.
106,23/145/83,modus/i,m.
103,69/46/34,imperator/induperator/oris,m.
103,0/204/103,publicus,adj.
102,66/42/36,fero/fers/ferre/tuli/latum,PossibleVerb.
102,56/76/46,aliquis/a/id,pron.
102,102/0/0,tempus/oris,n.
100,100/0/0,senatus/us,m.
99,99/0/0,virtus/utis,f.
99,99/0/0,S/abreviation de salutem [dat],PossibleVerb.
97,97/0/0,verbum/i,n.
97,62/48/35,jus/iuris,n.
97,16/182/81,Romanus,adj.
96,89/9/7,accipio/is/ere/cepi/ceptum : recevoir/apprendre (acceptus,adj.
96,0/597/96,quod,conj. sub.
95,72/31/23,dominus/i,m.
94,94/0/0,igitur/adv.,conj.
94,56/57/38,vir/uiri,m.
93,35/116/58,lex/legis,f.
92,92/0/0,sic/seic,adv.
92,90/2/2,filius/ii,m.
92,67/41/25,fides/ei,f.
91,8/728/83,queo/is/ire/ii ou iui/itum,PossibleVerb.
90,65/34/25,quisquam/quaequam/quidquam ou quic-,PossibleVerb.
90,25/90/65,utor/eris/i/usus sum,PossibleVerb.
90,0/266/90,neo/es/ere/nevi/netum,PossibleVerb.
89,89/0/0,conscribo/is/ere/scripsi/scriptum : composer/rediger conscriptus,adj.
89,86/3/3,civis/is,m.
89,65/33/24,vita/ae,f.
89,0/193/89,ita,adv.
88,0/264/88,ne,conj. sub. + subj.
88,0/264/88,ne,adv.
87,67/24/20,gero/is/ere/gessi/gestum,PossibleVerb.
86,22/85/64,parvus,adj.
83,69/36/14,nemo/nullius/nt. nihil/nil (rart. neminis),pron.
83,51/50/32,vivo/is/ere/uixi/uictum,PossibleVerb.
82,82/0/0,semper,adv.
82,57/32/25,patior/eris/i/passus sum,PossibleVerb.
82,16/152/66,judex/icis,m.
81,81/0/0,tum,adv.
81,81/0/0,at,conj. coord.
81,75/8/6,cio/is/ire,PossibleVerb.
81,65/36/16,dies/ei,m. et f.
81,52/55/29,consul/is,m.
81,0/168/81,populus/poplus/i,m.
81,0/168/81,populus/i,f.
80,80/0/0,ratio/onis,f.
80,16/129/64,sino/is/ere/siui/situm,PossibleVerb.
78,78/0/0,Quiris/itis,m.
78,78/0/0,consilium/ii,n.
78,22/75/56,certus,adj.
76,0/339/76,hoc,adv.
75,0/182/75,Romanus/i,m.
74,20/73/54,primus,adj.
74,0/178/74,publica/ae,f.
74,0/157/74,bellus,adj.
74,0/157/74,bellum/i,n.
73,68/6/5,quaero/is/ere/siui/situm,PossibleVerb.
73,62/12/11,teneo/es/ere/ui/tentum,PossibleVerb.
73,29/65/44,venio/is/ire/ueni/uentum,PossibleVerb.
72,72/0/0,imperium/ii,n.
72,26/71/46,quantus/a/um/adj./pron. excl et interr,PossibleVerb.
71,71/0/0,periculum/periclum/i,n.
71,54/42/17,vis/-,f.
71,51/41/20,rex/regis,m.
71,38/52/33,pars/partis,f.
70,0/223/70,meum/i,n.
69,33/59/36,miles/itis,m.
68,68/0/0,sententia/ae,f.
68,68/0/0,civitas/atis,f.
67,58/11/9,sentio/is/ire/sensi/sensum,PossibleVerb.
65,65/0/0,loquor/eris/i/locutus sum,PossibleVerb.
65,65/0/0,ergo,conj.
65,65/0/0,auctoritas/atis,f.
65,60/5/5,sequor/eris/i/secutus sum,PossibleVerb.
64,63/4/1,judicium/ii,n.
64,35/47/29,fortuna/ae,f.
64,0/200/64,suum/i,n.
63,63/0/0,existimo/existumo/as/are,PossibleVerb.
63,44/31/19,duco/is/ere/duxi/ductum,PossibleVerb.
62,62/0/0,oratio/onis,f.
62,57/5/5,refero/fers/ferre/tuli/latum,PossibleVerb.
62,24/55/38,honor/oris,m.
62,24/53/38,pax/pacis,f.
62,0/137/62,modo,adv.
61,61/0/0,potestas/atis,f.
61,49/16/12,mitto/is/ere/misi/missum,PossibleVerb.
61,20/92/41,locus/i,m.
60,60/0/0,itaque,conj.
60,3/83/57,genus/eris,n.
59,59/0/0,ullus,adj.
59,21/72/38,consulo/is/ere/sului/sultum,PossibleVerb.
59,14/79/45,liber/era/erum,PossibleVerb.
58,58/0/0,terra/ae,f.
58,56/4/2,relinquo/is/ere/reliqui/relictum,PossibleVerb.
58,56/2/2,intellego/intelligo/is/ere/lexi/lectum,PossibleVerb.
58,46/20/12,voco/as/are,PossibleVerb.
58,13/110/45,lego/is/ere/legi/lectum,PossibleVerb.
57,57/0/0,ubi,adv. interr. ou rel.
57,57/0/0,quoniam,conj. sub.
57,57/0/0,dum,conj. sub.
57,57/0/0,corpus/oris,n.
57,44/18/13,oro/as/are,PossibleVerb.
57,38/22/19,jubeo/es/ere/iussi/iussum,PossibleVerb.
57,28/56/29,fortis,e
56,56/0/0,frater/tris,m.
56,47/11/9,libertas/atis,f.
56,34/34/22,capio/is/ere/cepi/captum,PossibleVerb.
55,55/0/0,spes/ei,f.
55,55/0/0,quidam/quaedam/quoddam/quiddam,PossibleVerb.
55,55/0/0,oporteo/v. defectif utilise seulement a la 3eme personne du singulier,PossibleVerb.
54,54/0/0,tribunus/i,m.
54,54/0/0,dignitas/atis,f.
54,1/116/53,lego/as/are,PossibleVerb.
53,53/0/0,nego/as/are,PossibleVerb.
53,53/0/0,mors/mortis,f.
53,48/6/5,censeo/es/ere/censui/censum,PossibleVerb.
53,44/11/9,dignus,adj.
53,38/18/15,colo/is/ere/colui/cultum,PossibleVerb.
53,33/33/20,salus/utis,f.
53,21/86/32,solus,adj.
52,52/0/0,cur,adv.
52,52/0/0,Christus/i,m.
52,37/21/15,talis,e
52,33/23/19,domus/us ou i,f.
51,51/0/0,provincia/ae,f.
51,51/0/0,oculus/i,m.
51,51/0/0,gens/gentis,f.
51,1/100/50,antes/ium,m.
50,44/7/6,pono/is/ere/posui/situm,PossibleVerb.
50,0/610/50,qui,adv.
50,0/100/50,ante,prep. +acc.
49,7/93/42,patrius,adj.
49,49/0/0,o,excl.
49,39/13/10,plebs/plebis,f.
49,11/70/38,rego/is/ere/rexi/rectum,PossibleVerb.
48,48/0/0,tamquam,adv.
48,37/23/11,mos/moris,m.
48,31/26/17,regnum/i,n.
47,47/0/0,studium/ii,n.
47,47/0/0,sicut,adv.
47,45/6/2,tuus,adj.
47,44/4/3,finis/is,m. f.
47,0/129/47,patro/as/are,PossibleVerb.
46,46/0/0,mater/tris,f.
46,28/27/18,totus,adj.
46,0/104/46,locum/cf. locus,PossibleVerb.
45,9/81/36,malus,adj.
45,41/4/4,arbitror/aris/ari/atus sum,PossibleVerb.
45,40/6/5,respondeo/es/ere/di/sum,PossibleVerb.
45,39/7/6,convenio/is/ire/ueni/uentum,PossibleVerb.
45,21/34/24,opus/operis,n.
45,0/74/45,arma/orum,n. pl.
44,44/0/0,voluptas/atis,f.
44,44/0/0,reddo/is/ere/ddidi/dditum,PossibleVerb.
44,44/0/0,propter,prep. + acc.
44,44/0/0,post/adv,prep. + acc.
44,42/2/2,peto/is/ere/iui/itum,PossibleVerb.
44,41/7/3,miser,adj.
44,39/6/5,scelus/eris,n.
