Source,Pre,Pro,Post
"prose,Seneca, Lucius Annaeus","solet tueri fidei commissa. </s><s> Quandoque autem reddere iubebitur, non queretur cum fortuna, sed dicet:; Gratias","ago","pro eo quod possedi habuique. </s><s> Magna quidem res tuas mercede colui, sed, quia ita imperas, do, cedo gratus libensque. </s><s> Si"
"prose,Seneca, Lucius Annaeus",", postquam abeunti Phalaris ille dixit:; Ne forte inepta spe tibi blandiaris, duci te iussi. </s><s> Gratias, inquit,","ago",", optime princeps. </s><s> ; Quid senserit dubito; multa enim mihi occurrunt. </s><s> Contumeliosus esse voluit et ostendere quanta"
"prose,Cicero, Marcus Tullius","non modo metu, quod ipsum esset turpe, se alium alia de causa deesse dignitati suae. </s><s> Quare primum maximas gratias et","ago","et habeo Pisoni, qui, non quid efficere posset in re publica, cogitavit, sed quid facere ipse deberet. </s><s> Deinde a vobis,"
"prose,Cicero, Marcus Tullius","sempiternae? </s><s> In huius me tu consili societatem tamquam in equum Troianum cum principibus includis; Non recuso;","ago","etiam gratias, quoquo animo facis. </s><s> Tanta enim res est, ut invidiam istam, quam tu in me vis concitare, cum laude non"
"prose,Cicero, Marcus Tullius",". </s><s> Ego autem( vide, quam tecum agam non inimice! </s><s> ), quod bene cogitasti aliquando, laudo, quod non indicasti, gratias","ago",", quod non fecisti, ignosco. </s><s> Virum res illa quaerebat. </s><s> Quodsi te in iudicium quis adducat usurpetque illud Cassianum,"
"prose,Cicero, Marcus Tullius","quo iudicare debetis me non cum homine solere, sed cum causa dissidere. </s><s> Itaque non adsentior solum, sed etiam gratias","ago","Fufio; dixit enim severam, gravem, re publica[ dignam] sententiam, iudicavit hostem Dolabellam, bona censuit"
"prose,Seneca, Lucius Annaeus","; ne virus quidem istud quo alios spargitis, quo vos necatis, me inpediet quominus perseverem laudare vitam non quam","ago","sed quam agendam scio, quominus virtutem adorem et ex intervallo ingenti reptabundus sequar. </s><s> Expectabo scilicet ut"
"prose,Cicero, Marcus Tullius","et controversiis societatis volt diiudicari. </s><s> Sero, verum aliquando tamen; concedamus. </s><s> ; Non,; inquit,; id","ago",", C. Aquili, neque in eo nunc laboro. </s><s> Pecunia mea tot annos utitur P. Quinctius. </s><s> Utatur sane; non peto. </s><s> ; Quid igitur"
"prose,Cicero, Marcus Tullius","quidem te consuluisti, ne hoc quidem tecum locutus es:; Horae duae fuerunt: Quinctius ad vadimonium non venit. </s><s> Quid","ago","? </s><s> ; Si me hercule haec tecum duo verba fecisses:; Quid ago? </s><s> ; respirasset cupiditas atque avaritia, paulum aliquid loci"
"prose,Cicero, Marcus Tullius",":; Horae duae fuerunt: Quinctius ad vadimonium non venit. </s><s> Quid ago? </s><s> ; Si me hercule haec tecum duo verba fecisses:; Quid","ago","? </s><s> ; respirasset cupiditas atque avaritia, paulum aliquid loci rationi et consilio dedisses, tu te conlegisses, non in"
