Source,Pre,Pro,Post
"prose,Augustinus, Aurelius","quis mundabit eam? </s><s> aut cui alteri praeter te clamabo: ab occultis meis munda me, domine, et ab alienis parce servo tuo? </s><s>","credo",", propter quod et loquor. </s><s> domine, tu scis. </s><s> nonne tibi prolocutus sum adversum me delicta mea, deus meus, et tu dimisisti"
"prose,Augustinus, Aurelius","cantantem? </s><s> nam et Homerus peritus texere tales fabellas, et dulcissime vanus est, et mihi tamen amarus erat puero. </s><s>","credo","etiam graecis pueris Vergilius ita sit, cum eum sic discere coguntur ut ego illum videlicet difficultas, difficultas"
"prose,Sallustius Crispus, Caius","parcunt, bonos omnis perditum eant. </s><s> Bene et composite C. Caesar paulo ante in hoc ordine de vita et morte disseruit,","credo","falsa existimans ea, quae de inferis memorantur: diverso itinere malos a bonis loca taetra, inculta, foeda atque"
"prose,Sallustius Crispus, Caius",", praetereundum puto, simul ne per insolentiam quis existimet memet studium meum laudando extollere. </s><s> Atque ego","credo","fore qui, quia decrevi procul a re publica aetatem agere, tanto tamque utili labori meo nomen inertiae imponant, certe"
"prose,Sallustius Crispus, Caius",": cibus illis adversum famem atque sitim, non libidini neque luxuriae erat. </s><s> Igitur consul omnibus exploratis,","credo","dis fretus- nam contra tantas difficultates consilio satis providere non poterat, quippe etiam frumenti inopia"
"prose,Apuleius, Lucius","excipit diligenter, ut nulla stilla compareret usquam. </s><s> Haec ego meis oculis aspexi. </s><s> Nam etiam, ne quid demutaret,","credo",", a victimae religione, immissa dextera per vulnus illud ad viscera penitus cor miseri contubernalis mei Meroe bona"
"prose,Apuleius, Lucius","et; Non; inquit; inmerito stabularios hos omnes hospites detestantur. </s><s> Nam iste curiosus dum inportune irrumpit-","credo","studio rapiendi aliquid- clamore vasto marcidum alioquin me altissimo somno excussit. </s><s> ; Emergo laetus atque alacer"
"prose,Apuleius, Lucius","et cunctis hominibus multa usu venire mira et paene infecta, quae tamen ignaro relata fidem perdant. </s><s> Sed ego huic et","credo","hercules et gratas gratias memini, quod lepidae fabulae festivitate nos avocavit, asperam denique ac prolixam viam"
"prose,Apuleius, Lucius","nos avocavit, asperam denique ac prolixam viam sine labore ac taedio evasi. </s><s> Quod beneficium etiam illum vectorem meum","credo","laetari, sine fatigatione sui me usque ad istam civitatis portam non dorso illius sed meis auribus pervecto. </s><s> ; Is finis"
"prose,Apuleius, Lucius","cubiculum meum contendo atque illic deprehendo epularum dispositiones satis concinnas. </s><s> Nam et pueris extra limen,","credo","ut arbitrio nocturni gannitus ablegarentur, humi quam procul distratum fuerat et grabattulum meum adstitit mensula"
