Source,Pre,Pro,Post
"prose,Aelianus, Claudius","auctorem, et Aesculapii morborum depulsoris parentem, si noxiae homini ferae metuant, nihil mirum. </s><s> Iis, quae","dico",", Nicander etiam consentit, his versibus: In Clario luco non laedit scorpius ictu, Vipera non morsu, sed neque dira"
"prose,Aelianus, Claudius",", nec somno ejus palpebrae cedunt]; imo vero cum reliqua memba somnum accipiunt, interea tamen oculi vident. </s><s>","Dico","autem ea, quae a viris rei venatoriae peritis intellexi. </s><s> In pastionibus tum nocturnis tum longinquis pabulum"
"prose,Augustinus, Aurelius",", sed conversus misereberismei. </s><s> quid enim est quod volo dicere, domine, nisi quia nescio, unde venerim huc, in istam,","dico","vitam mortalem, an mortalem vitalem? </s><s> nescio. </s><s> et susceperunt me consolationes miserationum tuarum, sicut audivi a"
"prose,Augustinus, Aurelius","palaestra erat illa, ubi magis timebam barbarismum facere, quam cavebam, si facerem, non facientibus invidere. </s><s>","dico","haec et confiteor tibi, deus meus, in quibus laudabar ab eis, quibus placere tunc mihi erat honeste vivere. </s><s> non enim"
"prose,Cicero, Marcus Tullius","omnem rerum memoriam breviter et, ut mihi quidem visum est, perdiligenter complexus est? </s><s> Istum ipsum, inquam, Brute,","dico","librum mihi saluti fuisse. </s><s> Tum Atticus: optatissimum mihi quidem est quod dicis; sed quid tandem habuit liber iste,"
"prose,Cicero, Marcus Tullius","scio; sed cum in ceteris rebus tum in dicendo semper, quo iam nihil est melius, id laudari qualecumque est solet. </s><s>","dico","idem de Gracchis, etsi de eis ea sunt a te dicta, quibus ego adsentior. </s><s> omitto ceteros; venio ad eos in quibus iam"
"prose,Cicero, Marcus Tullius","ad aetatem laus eloquentiae perfecta nondum fuit; Antonius, Crassus, post Cotta, Sulpicius, Hortensius. </s><s> nihil","dico","amplius, tantum dico: si mihi accidisset, ut numerarer in multis si operosa est concursatio magis oportunorum. </s>"
"prose,Cicero, Marcus Tullius","perfecta nondum fuit; Antonius, Crassus, post Cotta, Sulpicius, Hortensius. </s><s> nihil dico amplius, tantum","dico",": si mihi accidisset, ut numerarer in multis si operosa est concursatio magis oportunorum. </s><s> Pandora Prometheus Iapeti"
"prose,Varro, Marcus Terentius",". </s><s> Stolo, Isti, inquit, libri non tam idonei iis qui agrum colere volunt, quam qui scholas philosophorum; neque eo","dico",", quo non habeant et utilia et communia quaedam. </s><s> Quapropter tu potius agri culturae partes nobis expone. </s><s> Scrofa, Agri"
"prose,Varro, Marcus Terentius","esse, qui sub radice montis situs sit et spectet ad meridianam caeli partem. </s><s> Subicit Scrofa, De formae cultura hoc","dico",", quae specie fiant venustiora, sequi ut maiore quoque fructu sint, ut qui habent arbusta, si sata sunt in quincuncem,"
"prose,Varro, Marcus Terentius","nostri vocitarunt et etiam nunc sunt in Asia atque Aegypto et in Illyrico complures. </s><s> De quibus universis hoc","dico",", gravia loca utilius esse mercennariis colere quam servis, et in salubribus quoque locis opera rustica maiora, ut"
"prose,Varro, Marcus Terentius","brevi, gurgulione longiore. </s><s> Melior fit grex, si non est ex collectis comparatus, sed ex consuetis una. </s><s> De seminio","dico","eadem, quae Atticus in ovibus; hoc aliter, ovium semen tardius esse, quo eae sint placidiores; contra caprile"
"prose,Varro, Marcus Terentius","operam ut ex insula Melia capras habeant, quod ibi maximi ac pulcherrimi existimantur fieri haedi. </s><s> De emptione aliter","dico","atque fit, quod capras sanas sanus nemo promittit; numquam enim sine febri sunt. </s><s> Itaque stipulantur paucis exceptis"
"prose,Varro, Marcus Terentius",", sed auribus spiritum ducere solere pastores curiosiores aliquot dicunt. </s><s> De alteris quattuor quod est de pastu, hoc","dico",": Stabulatur pecus melius, ad hibernos exortos si spectat, quod est alsiosum. </s><s> Id, ut pleraque, lapide aut testa"
"prose,Varro, Marcus Terentius","pascere pecus vel ad focum afferre ligna ac cibum coquere vel ad casas instrumentum servare possunt. </s><s> De nutricatu hoc","dico",", easdem fere et nutrices et matres. </s><s> Simul aspicit ad me et, ut te audii dicere, inquit, cum in Liburniam venisses, te"
"prose,Varro, Marcus Terentius","sint fructui ac delectationi. </s><s> Eius disciplinae genera sunt tria: ornithones, leporaria, piscinae. </s><s> Nunc ornithonas","dico","omnium alitum, quae intra parietes villae solent pasci. </s><s> Leporaria te accipere volo non ea quae tritavi nostri"
"prose,Varro, Marcus Terentius","sint, sed omnia saepta, afficta villae quae sunt et habent inclusa animalia, quae pascantur. </s><s> Similiter piscinas","dico","eas, quae in aqua dulci aut salsa inclusos habent pisces ad villam. </s><s> Harum rerum singula genera minimum in binas species"
"prose,Varro, Marcus Terentius","haec audit physica, macescat, quod de fructu nihil dixi, nunc cursu lampada tibe trado. </s><s> Merula, De fructu, inquit, hoc","dico",", quod fortasse an tibi satis sit, Axi, in quo auctorem habeo non solum Seium, qui alvaria sua locata habet quotannis"
"prose,Varro, Marcus Terentius","operis et nocere solet morsu, quam apes a se secernunt. </s><s> Hae differunt inter se, quod ferae et cicures sunt. </s><s> Nunc feras","dico",", quae in silvestribus locis pascitant, cicures, quae in cultis. </s><s> Silvestres minores sunt magnitudine et pilosae, sed"
"prose,Tertullianus, Quintus Septimius Florens","titulos considerem, licet transierit hoc genus editionis ab honoribus mortuorum ad honores viventium, quaesturas","dico","et magistratus et flaminia et sacerdotia, cum tamen nominis dignitas idololatriae crimine teneatur, necesse est"
"prose,Augustinus, Aurelius","iudicium fit, tamdiu est, donec perveniatur ad summam. </s><s> Summa est autem quae conficitur ex concessis. </s><s> Quod","dico","tale est: qui dicit; si ambulat, movetur;, probare vult aliquid, ut cum hoc concessero verum esse restet illi docere"
"prose,Augustinus, Aurelius","quod et se ipsum sensui et praeter se aliquid animo ostendit. </s><s> Loqui est articulata voce signum dare. </s><s> Articulatam autem","dico","quae conpraehendi litteris potest. </s><s> Haec omnia quae definita sunt, utrum recte definita sint et utrum hactenus verba"
"prose,Augustinus, Aurelius","unde; vietum; flexum dicatur: et his respondeo a similitudine vitis. </s><s> Instat adque exigit, unde ita sit; vitis; nomen;","dico",", quod; vinciat; ea quae conpraehenderit. </s><s> Scrutatur, ipsum; vincire; unde dictum sit; dicemus a; vi;. </s><s> ; verbis;,"
"prose,Augustinus, Aurelius","; omnis miles bipes est;, non ex eo sequeretur, ut cohors ex militibus utique bipedibus ista constaret, ita, cum","dico","ambiguum esse omne verbum, non dico sententiam, non disputationem, quamvis verbis ista texantur. </s><s> Omne igitur"
"prose,Augustinus, Aurelius","ex eo sequeretur, ut cohors ex militibus utique bipedibus ista constaret, ita, cum dico ambiguum esse omne verbum, non","dico","sententiam, non disputationem, quamvis verbis ista texantur. </s><s> Omne igitur ambiguum verbum non ambigua disputatione"
"prose,Augustinus, Aurelius","igitur quae ab aequivocis veniunt prima genera tria sunt; unum ab arte, alterum ab usu, tertium ab utroque. </s><s> Artem nunc","dico","propter nomina, quae in verborum disciplinis verbis inponuntur. </s><s> Aliter enim definitur apud grammaticos, quid sit"
"prose,Augustinus, Aurelius",". </s><s> Aliter enim definitur apud grammaticos, quid sit aequivocum, aliter apud dialecticos. </s><s> Et tamen unum hoc quod","dico","; Tullius; et nomen est et pes dactylus et aequivocum. </s><s> Itaque si quis ex me flagitet ut definiam quid sit; Tullius;,"
"prose,Augustinus, Aurelius","non potest. </s><s> Cum enim definiero, quid significet; nomen;, possum hoc ipsum exempli gratia supponere. </s><s> Etenim hoc quod","dico","; nomen; utique nomen est; hac enim lege per casus flectitur cum dicimus; nomen nominis nomini; et cetera. </s><s> Item cum"
"prose,Tertullianus, Quintus Septimius Florens","estis. </s><s> Et si aliqua amisistis vitae gaudia:; negotiatio est aliquid amittere, ut maiora lucreris. </s><s> ; Nihil adhuc","dico","de praemio, ad quod Deus martyres invitat. </s><s> Ipsam interim conversationem saeculi et carceris comparemus, si non plus"
"prose,Seneca, Lucius Annaeus","esse principia, tempore illis duramentum et robur accedere. </s><s> Non ignoro etiam quae in speciem laborant, dignitatem","dico","et eloquentiae famam et quicquid ad alienum suffragium venit, mora convalescere: et quae veras vires parant et quae ad"
"prose,Seneca, Lucius Annaeus","quem bella non subigunt nec admota vis hostilis exterret, non cui pingue otium est inter desides populos. </s><s> Hoc igitur","dico",", sapientem nulli esse iniuriae obnoxium; itaque non refert quam multa in illum coiciantur tela, cum sit nulli"
