Source,Pre,Pro,Post
"prose,Aelianus, Claudius","situm esse, jecur autem ad laevum latus collocatum esse. </s><s> Cui quidem rei testimonio est Menander in Messenia inquiens:","Facio","te habere fel callionymo copiosius.Anaxippus item in Epidicazomeno: Me si moveas, et sicut callionymi Fervere"
"prose,Sallustius Crispus, Caius",", ut illa illis, sed quae ego meis plurimis laboribus et periculis quaesivi. </s><s> Non sunt composita verba mea: parui id","facio",". </s><s> Ipsa se virtus satis ostendit; illis artificio opus est, ut turpia facta oratione tegant. </s><s> Neque litteras Graecas"
"prose,Sallustius Crispus, Caius","demitur; neque mox ingenio corporis honestius quam pro vostra salute finem vitae fecerim. </s><s> Adsum en C. Cotta consul;","facio","quod saepe maiores asperis bellis fecere: voueo dedoque me pro re publica, quam deinde cui mandetis circumspicite. </s>"
"prose,Apuleius, Lucius","prata quae praeterit ore in latus detorto pronus adfectat, duobus comitum qui forte paululum processerant tertium me","facio",". </s><s> Ac dum ausculto quid sermonibus agitarent, alter exserto cachinno:; Parce; inquit; in verba ista haec tam absurda"
"prose,Apuleius, Lucius","stabulum prandio participabo. </s><s> Haec tibi merces posita est. </s><s> ; At ille:; Istud quidem quod polliceris aequi bonique","facio",", verum quod inchoaveram porro exordiar. </s><s> Sed tibi prius deierabo solem istum omnividentem deum me vera comperta"
"prose,Apuleius, Lucius","reducemque ab inferis conspectum. </s><s> Quorum desperata ipse etiam facie recreatus oblationes honestas aequi bonique","facio",", quippe cum mihi familiares, quo ad cultum sumptumque largiter succederet, deferre prospicue curassent. </s><s> Adfatis"
"prose,Cicero, Marcus Tullius","teque Bruti dolentem vicem quasi deflevisse iudiciorum vastitatem et fori. </s><s> Feci, inquam, istuc quidem et saepe","facio",". </s><s> Nam mihi, Brute, in te intuenti crebro in mentem venit vereri, ecquodnam curriculum aliquando sit habitura tua et"
"prose,Svetonius Tranquillus, Caius",", spondam interiorem regiae lecticae,'' at Curio'' stabulum Nicomedis et Bithynicum fornicem'' dicunt. </s><s> missa etiam","facio","edicta Bibuli, quibus proscripsit collegam suum Bithynicam reginam, eique antea regem fuisse cordi, nunc esse"
"prose,Varro, Marcus Terentius",", quod existimantur facilius macrae concipere. </s><s> Contra tauros duobus mensibus ante admissuram herba et palea ac faeno","facio","pleniores et a feminis secerno. </s><s> Habeo tauros totidem, quot Atticus, ad matrices LXX duo, unum anniculum, alterum"
"prose,Varro, Marcus Terentius",". </s><s> Habeo tauros totidem, quot Atticus, ad matrices LXX duo, unum anniculum, alterum bimum. </s><s> Haec secundum astri exortum","facio",", quod Graeci vocant lyran, fidem nostri. </s><s> Tum denique tauros in gregem redigo. </s><s> Mas an femina sit concepta, significat"
"prose,Cicero, Marcus Tullius",", malum! </s><s> est ista ratio semper optimis causis veteranorum nomen opponere? </s><s> Quorum etiamsi amplecterer virtutem, ut","facio",", tamen, si essent adrogantes, non possem ferre fastidium. </s><s> An nos conantis servitutis vincla rumpere impediet, si"
"prose,Seneca, Lucius Annaeus","illius admirator cultorque sum. </s><s> Natura autem utrumque facere me voluit, et agere et contemplationi vacare: utrumque","facio",", quoniam ne contemplatio quidem sine actione est. </s><s> '' Sed refert'' inquis'' an ad illam voluptatis causa accesseris,"
"prose,Seneca, Lucius Annaeus","ipsi viverent, sed quemadmodum esset; et; ipsis vivendum. </s><s> De virtute, non de me loquor, et cum vitiis convicium","facio",", in primis meis facio: cum potuero, vivam quomodo oportet. </s><s> Nec malignitas me ista multo veneno tincta deterrebit ab"
"prose,Seneca, Lucius Annaeus",", sed quemadmodum esset; et; ipsis vivendum. </s><s> De virtute, non de me loquor, et cum vitiis convicium facio, in primis meis","facio",": cum potuero, vivam quomodo oportet. </s><s> Nec malignitas me ista multo veneno tincta deterrebit ab optimis; ne virus"
"prose,Seneca, Lucius Annaeus","defuturum; quibusdam offeram, quibusdam etiam inculcabo. </s><s> Non possum in hac re esse neglegens; numquam magis nomina","facio","quam cum dono. </s><s> '' Quid? </s><s> tu'' inquis'' recepturus donas? </s><s> '' Immo non perditurus: eo loco sit donatio unde repeti non debeat,"
"prose,Seneca, Lucius Annaeus","tibi dicet:'' optime loquor, sed adhuc inter mala volutor plurima. </s><s> Non est quod me ad formulam meam exigas: cum maxime","facio","me et formo et ad exemplar ingens attollo; si processero quantumcumque proposui, exige ut dictis facta respondeant. </s><s> ''"
"prose,Cicero, Marcus Tullius","; vita autem haec rustica quam tu agrestem vocas parsimoniae, diligentiae, iustitiae magistra est. </s><s> Verum haec missa","facio","; illud quaero, is homo qui, ut tute dicis, numquam inter homines fuerit, per quos homines hoc tantum facinus, tam"
"prose,Cicero, Marcus Tullius","res adferri possunt, et una quaeque earum multis cum argumentis dici potest. </s><s> Verum ego quod invitus ac necessario","facio","neque diu neque diligenter facere possum. </s><s> Quae praeteriri nullo modo poterant, ea leviter, iudices, attigi, quae"
"prose,Cicero, Marcus Tullius","; non iudicavit;, non, quod in se fuit, iudicavit Roscium suas, non societatis litis redemisse. </s><s> Quid si tandem planum","facio","post decisionem veterem Rosci, post repromissionem recentem hanc Fanni HS ccciccc Fannium a. </s><s> Q. Flavio Panurgi"
"prose,Cicero, Marcus Tullius","tempus contero. </s><s> '' Omnino,'' inquit,'' HS ccciccc a Flavio non abstulit neque Panurgi nomine neque cuiusquam. </s><s> '' Si planum","facio","post hanc recentem stipulationem Rosci HS ccciccc a Flavio te abstulisse, numquid causae est quin ab iudicio abeas"
"prose,Cicero, Marcus Tullius","; consumetur enim in agrorum emptionibus. </s><s> Optime. </s><s> Quis ergo emet agros istos? </s><s> Idem xviri; tu, Rulle, missos enim","facio","ceteros emes quod voles, vendes quod voles; utrumque horum facies quanti voles. </s><s> Cavet enim vir optimus ne emat ab"
"prose,Cicero, Marcus Tullius",", cum oratio argumentationem non habet. </s><s> Quid dicam in ignotum? </s><s> Querendum est ergo et deplorandum, id quod iam dudum","facio",", de omni accusationis iniquitate, primum de communi genere testium; dicit enim natio minime in testimoniis dicendis"
"prose,Cicero, Marcus Tullius",", quia tu semper sic egisses, auspicia fueris augur dissoluturus? </s><s> ac ne diutius loquar de auguratu tuo,- quod invitus","facio","ut recorder ruinas rei publicae; neque enim tu umquam stante non modo maiestate horum, sed etiam urbe te augurem fore"
"prose,Cicero, Marcus Tullius","tum primum facti post L. Iulium et C. Marcium consules contra auctoritatem huius ordinis; quos Q. Metellus-","facio","iniuriam fortissimo viro mortuo, qui illum cuius paucos paris haec civitas tulit cum hac importuna belua conferam-"
"prose,Livius, Titus","Romani Quiritium, vasa comitesque meos? </s><s> ; Rex respondit:; Quod sine fraude mea populique Romani Quiritium fiat,","facio",". </s><s> ; Fetialis erat M. Valerius; is patrem patratum Sp. Fusium fecit, Vena caput capillosque tangens. </s><s> Pater patratus ad"
"prose,Livius, Titus","auctor esset, concilio populi advocato; Duumviros; inquit,; qui Horatio perduellionem iudicent, secundum legem","facio",". </s><s> ; Lex horrendi carminis erat:; Duumviri perduellionem iudicent; si a duumviris provocarit, provocatione certato;"
"prose,Livius, Titus","cruore prae se tenens,; Per hunc; inquit; castissimum ante regiam iniuriam sanguinem iuro, vosque, di, testes","facio","me L. Tarquinium Superbum cum scelerata coniuge et omni liberorum stirpe ferro igni quacumque dehinc vi possim"
"prose,Livius, Titus","adicere patiar. </s><s> Omnium igitur tibi, Appi Claudi, quae impie nefarieque per biennium alia super alia es ausus, gratiam","facio",". </s><s> Unius tantum criminis nisi iudicem dices, te ab libertate in servitutem contra leges vindicias non dedisse, in"
"prose,Velleius Paterculus, Caius","enixa erat, sed in Neronis adoptione illud adiectum his ipsis Caesaris verbis:; hoc;, inquit,; rei publicae causa","facio",";. </s><s> Non diu vindicem custodemque imperii sui morata in urbe patria protinus in Germaniam misit, ubi ante triennium sub"
"prose,Cicero, Marcus Tullius","plura Aristotelem Theophrastumque de istis rebus, quam omnis dicendi magistros scripsisse ostenderent. </s><s> Missos","facio","mathematicos, grammaticos, musicos, quorum artibus vestra ista dicendi vis ne minima quidem societate coniungitur"
"prose,Cicero, Marcus Tullius","suo genere Roscius diceretur. </s><s> Hanc ego absolutionem perfectionemque in oratore desiderans, a qua ipse longe absum,","facio","impudenter; mihi enim volo ignosci, ceteris ipse non ignosco; nam qui non potest, qui vitiose facit, quem denique non"
"prose,Cicero, Marcus Tullius","vivendi rationem tenere et persequi, nomine hoc appelletur. </s><s> Oratorem autem, quoniam de eo quaerimus, equidem non","facio","eundem quem Crassus, qui mihi visus est omnem omnium rerum atque artium scientiam comprehendere uno oratoris officio"
"prose,Cicero, Marcus Tullius","reus, urgent advocati, ut invehamur, ut male dicamus, denique ut interrogemus: non moveor, non obtempero, non satis","facio","; neque tamen ullam adsequor laudem; homines enim imperiti facilius quod stulte dixeris reprehendere quam quod"
"prose,Cicero, Marcus Tullius","Carneadem nec philosophorum quemquam desidero. </s><s> Vel me licet existimes desperare ista posse perdiscere vel, id quod","facio",", contemnere; mihi rerum forensium et communium vulgaris haec cognitio satis magna est ad eam, quam specto,"
"prose,Cicero, Marcus Tullius","res publica adduxit. </s><s> Credo, Cato, te isto animo atque ea opinione venisse; sed tu imprudentia laberis. </s><s> Ego quod","facio",", iudices, cum amicitiae dignitatisque L. Murenae gratia facio, tum me pacis, oti, concordiae, libertatis, salutis,"
"prose,Cicero, Marcus Tullius","venisse; sed tu imprudentia laberis. </s><s> Ego quod facio, iudices, cum amicitiae dignitatisque L. Murenae gratia","facio",", tum me pacis, oti, concordiae, libertatis, salutis, vitae denique omnium nostrum causa facere clamo atque testor. </s>"
"prose,Seneca, Lucius Annaeus",", nec minus adversus ceteras pestes; et cum multa percurreris, unum excerpe quod illo die concoquas. </s><s> Hoc ipse quoque","facio","; ex pluribus quae legi aliquid apprehendo. </s><s> Hodiernum hoc est quod apud Epicurum nanctus sum- soleo enim et in aliena"
"prose,Seneca, Lucius Annaeus",", an res ista magis infamis est quam mala? </s><s> '' Ipse te interroga,'' numquid sine causa crucior et maereo et quod non est malum","facio","? </s><s> '''' Quomodo'' inquis'' intellegam, vana sint an vera quibus angor? </s><s> '' Accipe huius rei regulam: aut praesentibus"
"prose,Seneca, Lucius Annaeus","in autumnum desinit, autumno hiemps instat, quae vere compescitur; omnia sic transeunt ut revertantur. </s><s> Nihil novi","facio",", nihil novi video: fit aliquando et huius rei nausia. </s><s> '' Multi sunt qui non acerbum iudicent vivere sed supervacuum. </s>"
"prose,Seneca, Lucius Annaeus","tuam, inieci manum, exhortatus sum, addidi stimulos nec lente ire passus sum sed subinde incitavi; et nunc idem","facio",", sed iam currentem hortor et invicem hortantem. </s><s> '' Quid illud? </s><s> '' inquis'' adhuc volo. </s><s> '' In hoc plurimum est, non sic"
"prose,Seneca, Lucius Annaeus","me in mare, quomodo psychrolutam decet, gausapatus. </s><s> Quae putas me passum dum per aspera erepo, dum viam quaero, dum","facio","? </s><s> Intellexi non immerito nautis terram timeri. </s><s> Incredibilia sunt quae tulerim, cum me ferre non possem: illud scito,"
"prose,Seneca, Lucius Annaeus","enim aliquando spiritus ille quod saepe conatus est. </s><s> Hilarem me putas haec tibi scribere quia effugi? </s><s> Tam ridicule","facio",", si hoc fine quasi bona valetudine delector, quam ille, quisquis vicisse se putat cum vadimonium distulit. </s><s> Ego vero et"
"prose,Seneca, Lucius Annaeus","hominis magno pondere extriti permanere non posse et statim spargi, quia non fuerit illi exitus liber? </s><s> Ego vero non","facio",": qui hoc dicunt videntur mihi errare. </s><s> Quemadmodum flamma non potest opprimi- nam circa id diffugit quo urgetur-,"
"prose,Seneca, Lucius Annaeus","occurrunt. </s><s> Sic in animo nostro sunt quaedam quasi causariae partes quibus adhibenda curatio est. </s><s> Quid in otio","facio","? </s><s> ulcus meum curo. </s><s> Si ostenderem tibi pedem turgidum, lividam manum, aut contracti cruris aridos nervos, permitteres"
"prose,Seneca, Lucius Annaeus","potestatem: inaestimabile bonum est suum fieri. </s><s> Vale. </s><s> Inimicitias mihi denuntias si quicquam ex iis quae cotidie","facio","ignoraveris. </s><s> Vide quam simpliciter tecum vivam: hoc quoque tibi committam. </s><s> Philosophum audio et quidem quintum iam"
"prose,Seneca, Lucius Annaeus","est quibus succursura mors est:'' mori times: nunc enim vivis? </s><s> '''' Sed ego'' inquit'' vivere volo, qui multa honeste","facio","; invitus relinquo officia vitae, quibus fideliter et industrie fungor. </s><s> '' Quid? </s><s> tu nescis unum esse ex vitae officiis"
"prose,Seneca, Lucius Annaeus","velum: licebit tuto vadere, quod magis necessarium est per se eunti et suam sequenti viam. </s><s> Non ergo sequor priores? </s><s>","facio",", sed permitto mihi et invenire aliquid et mutare et relinquere; non servio illis, sed assentior. </s><s> Magnum tamen verbum"
