Source,Pre,Pro,Post
"prose,Aelianus, Claudius",", sed multi etiam solutae orationis scriptores, Apollinis ministrum faciunt, quid musica vel cantu possit, non","habeo","quod affirmem; veteres tamen persuasum sibi habuerunt, cycnea, ut appellant, modulatione decantata, mox eum"
"prose,Aelianus, Claudius","egentes, neque ad ventilandum operis, quae homines exarant seruntque, cibus sibi conficiunt. </s><s> Illud etiam auditum","habeo","prudenter factum, eas humatione mortuas aliqua necessitate sibi conjunctas adficere, et in granorum folliculis"
"prose,Aelianus, Claudius","se occultat. </s><s> De viro rei venatoriae bene perito, et cetera quam bono, et a mendaciis alieno, sermonem accepi, cum fidem","habeo",", ideoque dicetur. </s><s> Dixit igitur mares lepores parere, et uno eodemque tempore tum alios implere, tum ex sese parere,"
"prose,Aelianus, Claudius",", respiciat; ejusmodi mutuus adspectus hominem morbo, quem dixi, liberat. </s><s> Eudoxus ait, cui ego hac in re fidem non","habeo",", alios non prohibeo, se cum Herculis columnas superasset, aves quasdam in stagnis seu lacubus vidisse, bubus majores"
"prose,Augustinus, Aurelius","vidi feminas. </s><s> quid ante hanc etiam, dulcedo mea, deus meus? </s><s> fuine alicubi aut aliquis? </s><s> nam quis mihi dicat ista, non","habeo","; nec pater nec mater potuerunt, nec aliorum experimentum, nec memoria mea. </s><s> an irrides me ista quaerentem, teque de hoc"
"prose,Augustinus, Aurelius","non revertens? </s><s> nam utique meliores, quia certiores, erant primae illae litterae, quibus fiebat in me et factum est et","habeo","illud, ut et legam, si quid scriptum invenio, et scribam ipse, si quid volo, quam illae, quibus tenere cogebar Aeneae"
"prose,Sallustius Crispus, Caius","audacia in bello, ubi pax evenerat aequitate, seque remque publicam curabant. </s><s> Quarum rerum ego maxima documenta haec","habeo",", quod in bello saepius vindicatum est in eos, qui contra imperium in hostem pugnaverant quique tardius revocati"
"prose,Sallustius Crispus, Caius","hoc ordine feci, saepe de luxuria atque avaritia nostrorum civium questus sum, multosque mortalis ea causa adversos","habeo",". </s><s> Qui mihi atque animo meo nullius umquam delicti gratiam fecissem, haut facile alterius libidini male facta"
"prose,Sallustius Crispus, Caius","statuit cum Antonio quam primum confligere. </s><s> Itaque contione advocata huiusce modi orationem habuit:; Compertum ego","habeo",", milites, verba virtutem non addere, neque ex ignavo strenuom neque fortem ex timido exercitum oratione imperatoris"
"prose,Sallustius Crispus, Caius",", quam iniqui sint. </s><s> Quod ex aliena virtute sibi arrogant, id mihi ex mea non concedunt, scilicet quia imagines non","habeo","et quia mihi nova nobilitas est, quam certe peperisse melius est quam acceptam corrupisse. </s><s> Equidem ego non ignoro, si"
