Source,Pre,Pro,Post
"prose,Apuleius, Lucius","animam gaudio recrea. </s><s> nec quicquam amplius in tuo vultu requiro, iam nil officiunt mihi nec ipsae nocturnae tenebrae:","teneo","te, meum lumen. </s><s> '' His verbis et amplexibus mollibus decantatus maritus lacrimasque eius suis crinibus detergens se"
"prose,Apuleius, Lucius","voculas et adsidua savia et dulces gannitus commorsicantibus oculis iterabat illa, et in summa:; Teneo te; inquit;","teneo",", meum palumbulum, meum passerem; et cum dicto vanas fuisse cogitationes meas ineptumque monstrat metus. </s><s> Artissime"
"prose,Svetonius Tranquillus, Caius",", profectionem aduersus Scipionem et Iubam non distulit. </s><s> prolapsus etiam in egressu nauis uerso ad melius omine:''","teneo","te,'' inquit,'' Africa. </s><s> '' ad eludendas autem uaticinationes, quibus felix et inuictum in ea prouincia fataliter"
"prose,Tertullianus, Quintus Septimius Florens","una vox est. </s><s> cognosce dementiam de vanitate:; misit;, dicunt et nuntiant invicem quod simul ab omnibus visum est. </s><s>","teneo","testimonium caecitatis: non vident missum quid sit; mappam putant, sed est diaboli ab alto praecipitati figura. </s><s> ex eo"
"prose,Seneca, Lucius Annaeus",", nescio; solus et senior et hostilia circa me omnia videns tamen integrum incolumemque esse censum meum profiteor:","teneo",", habeo quidquid mei habui. </s><s> Non est quod me victum victoremque te credas: vicit fortuna tua fortunam meam. </s><s> Caduca illa"
"prose,Cicero, Marcus Tullius","aliquid pro re publica aut cogitare aut facere aut dicere. </s><s> Ego, patres conscripti, Q. Scaevolam augurem memoria","teneo","bello Marsico, cum esset summa senectute et perdita valetudine, cotidie, simul atque luceret, facere omnibus"
"prose,Cicero, Marcus Tullius","consulem, C. Caesarem deorum beneficio natum ad haec tempora, quorum epistulas spem victoriae declarantis in manu","teneo",", pacem velle censetis? </s><s> Vincere illi expetunt pacisque dulcissimum et pulcherrimum nomen non pactione, sed victoria"
"prose,Seneca, Lucius Annaeus","itaque te,'' carissima'' inquit'' filia et hoc unum tota celata vita, iter mortis ingressus sum et iam medium fere","teneo","; revocare me nec debes nec potes. </s><s> '' Atque ita iussit lumen omne praecludi et se in tenebras condidit. </s><s> Cognito consilio"
"prose,Cicero, Marcus Tullius",";; recusabat Alfenus. </s><s> ; Ita, verum praetor decernebat. </s><s> ;- Tribuni igitur appellabantur. </s><s> -; Hic te;, inquit,;","teneo","; non est istud iudicio pati neque iudicio defendere, auxilium a tribunis petas. </s><s> ; Hoc ego, cum attendo qua prudentia"
"prose,Cicero, Marcus Tullius","P. Mucium consuli. </s><s> '' Tum Philus:'' nihil novi vobis adferam, neque quod a me sit excogitatumaut inventum; nam memoria","teneo","C. Sulpicium Gallum, doctissimum ut scitis hominem, cum idem hoc visum diceretur et esset casu apud M. Marcellum, qui"
"prose,Cicero, Marcus Tullius","sanctum esse posse, a cuius audacia fratris liberos ne materni quidem corporis custodiae tegere potuissent. </s><s> Memoria","teneo","Milesiam quandam mulierem, cum essem in Asia, quod ab heredibus[ secundis] accepta pecunia partum sibi ipsa"
