Source,Pre,Pro,Post
"prose,Augustinus, Aurelius",", sed non illa magis honorem secreti quam tegimentum erroris significant. </s><s> non clament adversus me quos iam non","timeo",", dum confiteor tibi quae vult anima mea, deus meus, et adquiesco in reprehensione malarum viarum mearum, ut diligam"
"prose,Svetonius Tranquillus, Caius","veneno remedium dedisse, excusantique minus datum ad occultandam facinoris invidiam:; Sane; inquit,; legem Iuliam","timeo",",; coegitque se coram in cubiculo quam posset velocissimum ac praesentaneum coquere. </s><s> Deinde in haedo expertus,"
"prose,Cicero, Marcus Tullius","gravior rei publicae casus, si bellum, si morbus, si fames, facile possem defendere, quae partim iam sunt, partim","timeo","ne impendeant. </s><s> Sed hoc ignoscant di immortales velim et populo Romano, qui id non probat, et huic ordini, qui decrevit"
"prose,Cicero, Marcus Tullius","tenetis, privata atque vestra, dominante homine furioso quod ius perpetuae possessionis habere potuissent? </s><s> Non,","timeo",", iudices, ne odio inimicitiarum mearum inflammatus libentius haec in illum evomere videar quam verius. </s><s> Etenim si"
"prose,Cicero, Marcus Tullius","constituatis, ne urbem hanc urbe alia premere atque urgere possitis? </s><s> '' Non faciemus,'' inquit. </s><s> Primum nescio, deinde","timeo",", postremo non committam ut vestro beneficio potius quam nostro consilio salvi esse possimus. </s><s> Quod vero totam Italiam"
"prose,Cicero, Marcus Tullius","liberalitatis tuae, quod saepe audivi patri tuo Curtio magno adiumento in iudicio capitis fuisse; sed iam omnia","timeo","; bonitatis ipsius invidiam reformido. </s><s> nam indicat tot hominum fletus quam sis carus tuis, et me dolor debilitat"
"prose,Cicero, Marcus Tullius","aequiorem quam reo praebeat: sed tua, C. Caesar, praestans singularisque natura hunc mihi metum minuit. </s><s> Non enim tam","timeo","quid tu de rege Deiotaro, quam intellego quid de te ceteros velis iudicare. </s><s> Moveor etiam loci ipsius insolentia, quod"
"prose,Livius, Titus","est? </s><s> parum est, si, cuius pars tua nulla adhuc fuit, in partem eius venis, nisi partem petendo totum traxeris? </s><s> ;","timeo","; inquit,; ne, si duos licebit creari patricios, neminem creetis plebeium. </s><s> ; quid est dicere aliud; quia indignos"
"prose,Livius, Titus","facturum se id negaret,'' quem tandem'' inquit Quinctius'' times? </s><s> '' Ad hoc ille superbo et regio animo:'' neminem equidem","timeo","praeter deos immortales: non omnium autem credo fidei quos circa te video, atque omnium minime Aetolis''. </s><s> '' istuc"
"prose,Cicero, Marcus Tullius","ducere exercitum hostium atque in armis volitare audiatis, sed triduo tamen audietis; multoque magis illud","timeo",", ne mihi sit invidiosum aliquando, quod illum emiserim potius quam quod eiecerim. </s><s> Sed cum sint homines, qui illum, cum"
"prose,Cicero, Marcus Tullius","uno hoste loquimur, et de eo hoste, qui iam fatetur se esse hostem, et quem, quia, quod semper volui, murus interest, non","timeo","; de his, qui dissimulant, qui Romae remanent, qui nobiscum sunt, nihil dicimus? </s><s> Quos quidem ego, si ullo modo fieri"
"prose,Seneca, Lucius Annaeus","non posse te detorqueri mansurumque in proposito, etiam si sollicitantium turba circumeat. </s><s> Quid ergo est? </s><s> non","timeo","ne mutent te, timeo ne impediant. </s><s> Multum autem nocet etiam qui moratur, utique in tanta brevitate vitae, quam"
"prose,Seneca, Lucius Annaeus","detorqueri mansurumque in proposito, etiam si sollicitantium turba circumeat. </s><s> Quid ergo est? </s><s> non timeo ne mutent te,","timeo","ne impediant. </s><s> Multum autem nocet etiam qui moratur, utique in tanta brevitate vitae, quam breviorem inconstantia"
"prose,Seneca, Lucius Annaeus","iniurias, non vulnera, non vincula, non egestatem. </s><s> Mors quid est? </s><s> aut finis aut transitus. </s><s> Nec desinere","timeo","- idem est enim quod non coepisse-, nec transire, quia nusquam tam anguste ero. </s><s> Vale. </s><s> Claranum condiscipulum meum vidi"
"prose,Seneca, Lucius Annaeus","ac boni amatorem. </s><s> In tuto pars tui melior est. </s><s> Potest fortuna tibi iniuriam facere: quod ad rem magis pertinet, non","timeo","ne tu facias tibi. </s><s> I qua ire coepisti et in isto te vitae habitu compone placide, non molliter. </s><s> Male mihi esse malo quam"
"prose,Curtius Rufus, Quintus","parcas: didici esse infelix, et saepe calamitatis solacium est nosse sortem suam. </s><s> Num, quod maxime suspicor, et loqui","timeo",", ludibria meorum nuntiaturus es mihi et, ut credo, ipsis quoque omni tristiora supplicio? </s><s> ; Ad haec Tyriotes:; Istud"
"prose,Curtius Rufus, Quintus","gentis barbarae civis, qui tuam magnitudinem novit? </s><s> Horret animus cogitationem rei, quam paulo ante vidimus. </s><s> Eloqui","timeo","invicti corporis spolia inertissimas manus fuisse infecturas, nisi te interceptum misericors in nos fortuna"
"prose,Quintilianus, Marcus Fabius","ne parum hic liber mellis et absinthii multum habere videatur, sitque salubrior studiis quam dulcior. </s><s> Quin etiam hoc","timeo",", ne ex eo minorem gratiam ineat, quod pleraque non inventa per me sed ab allis tradita continebit, habeat etiam quosdam"
"prose,Martinus Bracarensis","sine custodia oris proficere hominem vel in una virtute. </s><s> Prima enim virtus custodia oris est. </s><s> Dixit senex: Ego tres res","timeo",", id est, cum anima egressura est de corpore, et cum in praesentia Dei venturus sum, et cum sententia contra me data"
"prose,Cassiodorus, Flavius Magnus Aurelius","veritatis tamen testimonio errores eorum merito perculerunt, de quibus dicit Apostolus: Dies observatis et menses;","timeo","ne sine causa laboraverim in vobis. </s><s> unde et in Deuteronomio Dominus plenius iubet: Non inveniatur in te qui lustrat"
"prose,Tertullianus, Quintus Septimius Florens",". </s><s> Possum dicere: quod permittitur, bonum non est. </s><s> Quid enim? </s><s> Necesse est mori mihi. </s><s> Si probor, bonum est. </s><s> Quod si","timeo",". </s><s> . . Quod permittitur, suspectam habet permissionis suae causam. </s><s> Quod autem melius est, nemo permisit, ut"
"prose,Tertullianus, Quintus Septimius Florens","solita in duritia catenae stupescere sustineat; nescio an crus de periscelio laetatum in neruum se patiatur artari;","timeo","ceruicem ne margaritarum et smaragdorum laqueis occupata locum spathae non det. </s><s> Quare, benedictae, meditemur"
"prose,Calpurnius Flaccus","] summa pernicies. </s><s> ;...; Vel velle ad me redire vel nolle: si vult, non delectat qui retinetur invitus; si non vult, iam","timeo",", quod divitias amare coepit. </s><s> Permissae licentiae magna securitas est potestas cum moderatione. </s><s> Recordare, quantis"
"prose,Thomas Edessenus",", ne. </s><s> . . . .;. </s><s> . . . . facile reputer ab iis qui cum causa et sine causa reprehendere amant; item, mandato non obtemperare","timeo",", no praecepti violator consiliique transgressor a viris habear qui nihil dicunt nisi intuitu religionis Dei vivi. </s>"
"prose,Thomas Edessenus","conveniens mihi esse, voluntati vestrae satisfacere, aliis quidem relinquens loqui prout velint, ne, dum","timeo","verba invida quae nullam apud Deum faciunt iniuriam, vobis per voluntatem bonam atque vitam perfectam Christo"
"prose,Hieronymus","est, saepe Evagrius presbyter, dum adhuc Antiochiae essem, me praesente corripuit. </s><s> cui ille respondit:'' ego nihil","timeo","''. </s><s> dicit se a domino suo fuisse dimissum et, si vobis placet, ecce hic est; transmittite eum, quo vultis. </s><s> arbitror me non"
"prose,Hieronymus",", quod diabolus inflixerat, praestitit vivam reddendo pro mortua. </s><s> huic ego, ut ait gentilis poeta, omnia etiam tuta","timeo","[ cf. </s><s> Verg. </s><s> Aen. </s><s> ]. </s><s> scitis ipsi lubricum adulescentiae iter, in quo et ego lapsus sum et vos sine timore transistis. </s><s> hoc"
"prose,Isidorus Hispalensis Episcopus","inexplicabilibus nodis astrictum; si enim susceptum regimen ecclesiastici ordinis retentem, criminis conscius","timeo","; si deseram, ne deterior sit culpa susceptum gregem relinquere, amplius reformido; undique miser metuo et in tanto"
