Source,Pre,Pro,Post
"prose,Augustinus, Aurelius","te, nec infans, cuius est unius diei vita super terram? </s><s> quis me commemorat? </s><s> an quilibet tantillus nunc parvulus, in quo","video","quod non memini de me? </s><s> quid ergo tunc peccabam? </s><s> an quis uberibus inhiabam plorans? </s><s> nam si nunc faciam, non quidem"
"prose,Apuleius, Lucius","testudo factus. </s><s> Ac dum in fimum deiectus obliquo aspectu quid rei sit grabatuli sollertia munitus opperior,","video","mulieres duas altioris aetatis; lucernam lucidam gerebat una, spongiam et nudum gladium altera: Hoc habitu Socratem"
"prose,Apuleius, Lucius","aliquid indidem sumo eumque avide essitantem aspiciens aliquanto intentiore macie atque pallore buxeo deficientem","video",". </s><s> Sic denique eum vitalis color turbaverat ut mihi prae metu, nocturnas etiam Furias illas imaginanti, frustulum"
"prose,Apuleius, Lucius","ad balneas, ut prius aliquid nobis cibatui prospicerem, forum cupidinis peto, inque eo piscatum opiparem expositum","video","et percontato pretio, quod centum nummis indicaret, aspernatus viginti denariis praestinavi. </s><s> Inde me commodum"
"prose,Apuleius, Lucius","scies,; inquam. </s><s> ; Sed quid istud? </s><s> Voti gaudeo. </s><s> Nam et lixas et virgas et habitum prorsus magistratui congruentem in te","video",". </s><s> ;; Annonam curamus; ait; et aedilem gerimus et siquid obsonare cupis utique commodabimus. </s><s> ; Abnuebam, quippe qui iam"
"prose,Apuleius, Lucius",", quod plane verum crimen meum non diffitebor, ante ipsas fores hospitii ad bonum autem Milonem civem vestrum devorto","video","quosdam saevissimos latrones aditum temptantes et domus ianuas cardinibus obtortis evellere gestientes"
"prose,Apuleius, Lucius","et nares hiantes et labiae pendulae; sic et aures inmodicis horripilant auctibus. </s><s> Nec ullum miserae reformationis","video","solacium, nisi quod mihi iam nequeunti tenere Photidem natura crescebat. </s><s> Ac dum salutis inopia cuncta corporis mei"
"prose,Apuleius, Lucius","tenere Photidem natura crescebat. </s><s> Ac dum salutis inopia cuncta corporis mei considerans non avem me sed asinum","video",", querens de facto Photidis sed iam humano gestu simul et voce privatus, quod solum poteram, postrema deiecta labia"
"prose,Apuleius, Lucius","beatae spinae generant, ac ne convallem quidem usquam nisi tantum ripae fluvialis marginem densis arboribus septam","video",". </s><s> Hae arbores in lauri faciem prolixe foliatae pariunt in odor) modum floris[ inodori] porrectos caliculos modice"
"prose,Apuleius, Lucius","ore consono nuncuparent, tunc dolere, tunc flere, tunc me iam quasi peremptam lugere debuistis. </s><s> iam sentio, iam","video","solo me nomine Veneris perisse. </s><s> ducite me et cui sors addixit scopulo sistite. </s><s> festino felices istas nuptias obire,"
"prose,Apuleius, Lucius","hauriret, ancipiti novacula peremerem. </s><s> sed cum primum, ut aeque placuerat, conscio lumine vultus eius aspexi,","video","mirum divinumque prorsus spectaculum, ipsum illum deae Veneris filium, ipsum inquam Cupidinem, leni quiete sopitum"
"prose,Apuleius, Lucius",":; Quin igitur; inquit; supplicatum Marti Comiti pergimus et puellam simul vendituri et socios indagaturi? </s><s> Sed, ut","video",", nullum uspiam pecus sacrificatui ac ne vinum quidem potatui adfatim vel sufficiens habemus. </s><s> Decem mihi itaque"
"prose,Apuleius, Lucius","; inquit; ancilla et satis fecunda, quae multo iam tempore cotidianis nos partubus saginasti. </s><s> Nunc etiam cogitas, ut","video",", gustulum nobis praeparare. </s><s> ; Et; heus;, inquit; puer calathum fetui gallinaceo destinatum angulo solito collocato"
"prose,Apuleius, Lucius","traditum dulcis somnus oppresserat. </s><s> LIBER UNDECIMUS Circa primam ferme noctis vigiliam experrectus pavore subito,","video","praemicantis lunae candore nimio completum orbem commodum marinis emergentem fluctibus; nanctusque opacae noctis"
