Source,Pre,Pro,Post
"prose,Aelianus, Claudius","perit, unde prius alebatur. </s><s> Cynospastus herba alio nomine aglaophotis dicitur( recordatus enim fidem liberare","volo",") haec per diem inter ceteras herbas, a quibus ne minimum quidem differt, delitescit, nec ullo modo agnoscitur; nocte"
"prose,Augustinus, Aurelius","est, non homo, inrisormeus, cui loquor. </s><s> et tu fortasse inrides me, sed conversus misereberismei. </s><s> quid enim est quod","volo","dicere, domine, nisi quia nescio, unde venerim huc, in istam, dico vitam mortalem, an mortalem vitalem? </s><s> nescio. </s><s> et"
"prose,Augustinus, Aurelius",", quibus fiebat in me et factum est et habeo illud, ut et legam, si quid scriptum invenio, et scribam ipse, si quid","volo",", quam illae, quibus tenere cogebar Aeneae nescio cuius errores, oblitus errorum meorum, et plorare Didonem mortuam,"
"prose,Apuleius, Lucius","tunc clavis suae crebra immissione patefiunt. </s><s> Et; Heus tu, ubi es? </s><s> ; inquam;; valvas stabuli absolve, antelucio","volo","ire. </s><s> ; Ianitor pone stabuli ostium humi cubitans etiam nunc semisomnus:; Quid? </s><s> Tu; inquit; ignoras latronibus"
"prose,Apuleius, Lucius","proxumi stabuli recepti cognoscimus lepidam de adulterio cuiusdam pauperis fabulam, quam vos etiam cognoscatis","volo",". </s><s> Is gracili pauperie laborans fabriles operas praebendo parvis illis mercedibus vitam tenebat. </s><s> Erat ei tamen"
"prose,Cicero, Marcus Tullius","antiquis; utrumque tamen laudemus, quoniam per illos ne haec quidem in civitate genera hac oratoria laude caruerunt. </s><s>","volo","enim ut in scaena sic etiam in foro non eos modo laudari, qui celeri motu et difficili utantur, sed eos etiam, quos"
"prose,Cicero, Marcus Tullius","nec ipsorum? </s><s> de his autem quos ipsi vidimus neminem fere praetermittimus eorum quos aliquando dicentis audivimus. </s><s>","Volo","enim sciri in tanta et tam vetere re publica maxumis praemiis eloquentiae propositis omnes cupisse dicere, non"
"prose,Cicero, Marcus Tullius","te ambitione me labi, quippe de mortuis; sed ordinem sequens in memoriam notam et aequalem necessario incurro. </s><s>","volo","autem hoc perspici, omnibus conquisitis, qui in multitudine dicere ausi sint, memoria quidem dignos perpaucos,"
"prose,Cicero, Marcus Tullius","; alia meliora, videat ne ignoret et gradus et dissimilitudines et vim et varietatem Atticorum. </s><s> ; Atticos;, inquit,;","volo","imitari. </s><s> ; quos? </s><s> nec enim est unum genus. </s><s> nam quid est tam dissimile quam Demosthenes et Lysias, quam idem et Hyperides,"
"prose,Cicero, Marcus Tullius","Attici; sed in comitium veniant, ad stantem iudicem dicant: subsellia grandiorem et pleniorem vocem desiderant. </s><s>","Volo","hoc oratori contingat, ut cum auditum sit eum esse dicturum, locus in subselliis occupetur, compleatur tribunal,"
"prose,Svetonius Tranquillus, Caius","illa tractans lanuginem eius, ut assolet, iam grandis natu per blanditias forte dixisset:; Simul hac excepero, mori","volo",",; conversus ad proximos confestim se positurum velu irridens ait, praecepitque medicis ut largius purgarent aegram"
"prose,Varro, Marcus Terentius",". </s><s> Appius subridens, Quoniam ego ignoro, inquit, quid sit villa, velim me doceas, ne labar imprudentia, quod","volo","emere a M. Seio in Ostiensi villam. </s><s> Quod si ea aedificia villae non sunt, quae asinum tuum, quem mihi quadraginta"
