, -2.354544831924757
et, -3.270835563798912
ambulo, -3.676300671907076
in, -3.676300671907076
hoc, -3.676300671907076
cum, -3.676300671907076
me, -3.963982744358857
tunc, -3.963982744358857
oportet, -3.963982744358857
adsensio, -3.963982744358857
non, -4.3694478524670215
quisquis, -4.3694478524670215
dicit, -4.3694478524670215
quid, -4.3694478524670215
nam, -4.3694478524670215
ut, -4.3694478524670215
aut, -4.3694478524670215
demum, -4.3694478524670215
enim, -4.3694478524670215
tamen, -5.062595033026967
inter, -5.062595033026967
coniuncta, -5.062595033026967
verba, -5.062595033026967
numerabitur, -5.062595033026967
quia, -5.062595033026967
simplicem, -5.062595033026967
habet, -5.062595033026967
significationem, -5.062595033026967
siquidem, -5.062595033026967
ambulationem, -5.062595033026967
facit, -5.062595033026967
intellegi, -5.062595033026967
se, -5.062595033026967
ipsum, -5.062595033026967
qui, -5.062595033026967
ambulat, -5.062595033026967
ambulas, -5.062595033026967
similiter, -5.062595033026967
rem, -5.062595033026967
quae, -5.062595033026967
fit, -5.062595033026967
eumbono, -5.062595033026967
a, -5.062595033026967
iudicio, -5.062595033026967
sumentur, -5.062595033026967
erit, -5.062595033026967
illis, -5.062595033026967
bonum, -5.062595033026967
unum, -5.062595033026967
bene, -5.062595033026967
eligi, -5.062595033026967
vestem, -5.062595033026967
qualem, -5.062595033026967
decet, -5.062595033026967
sumo, -5.062595033026967
ceno, -5.062595033026967
quemadmodum, -5.062595033026967
debeo, -5.062595033026967
cena, -5.062595033026967
ambulatio, -5.062595033026967
vestis, -5.062595033026967
bona, -5.062595033026967
sunt, -5.062595033026967
sed, -5.062595033026967
meum, -5.062595033026967
iis, -5.062595033026967
propositumimpetum, -5.062595033026967
cepit, -5.062595033026967
deinde, -5.062595033026967
confirmavit, -5.062595033026967
hunc, -5.062595033026967
impetum, -5.062595033026967
sit, -5.062595033026967
dicam, -5.062595033026967
ambulare, -5.062595033026967
mihi, -5.062595033026967
dixi, -5.062595033026967
adprobavi, -5.062595033026967
hanc, -5.062595033026967
opinionem, -5.062595033026967
meam, -5.062595033026967
sedere, -5.062595033026967
sedeo, -5.062595033026967
haec, -5.062595033026967
virtute, -5.062595033026967
nonesse, -5.062595033026967
rationem, -5.062595033026967
nec, -5.062595033026967
aliam, -5.062595033026967
quam, -5.062595033026967
barbarismi, -5.062595033026967
fiat, -5.062595033026967
adiectione, -5.062595033026967
de, -5.062595033026967
susum, -5.062595033026967
alexandriam, -5.062595033026967
detractione, -5.062595033026967
viam, -5.062595033026967
aegypto, -5.062595033026967
venio, -5.062595033026967
ne, -5.062595033026967
fecit, -5.062595033026967
transmutatione, -5.062595033026967
qua, -5.062595033026967
ordo, -5.062595033026967
turbatur, -5.062595033026967
quoque, -5.062595033026967
ego, -5.062595033026967
voluit, -5.062595033026967
autem, -5.062595033026967
