, -2.1358218751159437
et, -3.5629382307560893
audio, -3.5919257676293417
in, -4.07376385452208
non, -4.479228962630244
ut, -4.647365884432243
est, -4.690538056297451
cum, -4.766911035082026
esse, -4.8846940707384086
quod, -4.95880204289213
ad, -4.998022756045412
sed, -5.081404364984463
de, -5.148845645779995
qui, -5.2724596017471725
enim, -5.2724596017471725
si, -5.354697699984144
quae, -5.354697699984144
a, -5.383685236857397
vero, -5.444309858673831
etiam, -5.476058556988412
ex, -5.476058556988412
quid, -5.476058556988412
autem, -5.577841251298354
ab, -5.651949223452076
quam, -5.651949223452076
hoc, -5.731991931125612
aut, -5.731991931125612
te, -5.7745515455444085
atque, -5.819003308115242
ego, -5.819003308115242
nec, -5.865523323750135
sunt, -5.965606782307117
se, -5.965606782307117
quoque, -5.965606782307117
quidem, -6.019674003577394
tum, -6.019674003577394
sit, -6.019674003577394
ea, -6.076832417417342
nunc, -6.137457039233777
me, -6.137457039233777
ita, -6.201995560371348
nam, -6.201995560371348
nihil, -6.201995560371348
inquit, -6.270988431858299
fuisse, -6.345096404012021
tamen, -6.425139111685557
eo, -6.425139111685557
vel, -6.425139111685557
mihi, -6.425139111685557
quos, -6.425139111685557
ille, -6.425139111685557
tibi, -6.425139111685557
maxime, -6.5121504886751875
sint, -6.5121504886751875
eum, -6.607460668479512
eos, -6.607460668479512
ne, -6.607460668479512
hanc, -6.607460668479512
hac, -6.607460668479512
apud, -6.712821184137339
cui, -6.712821184137339
nisi, -6.712821184137339
minus, -6.712821184137339
id, -6.712821184137339
neque, -6.712821184137339
facere, -6.712821184137339
eis, -6.712821184137339
per, -6.712821184137339
modo, -6.712821184137339
quo, -6.712821184137339
dicere, -6.712821184137339
ac, -6.712821184137339
pro, -6.712821184137339
quem, -6.830604219793722
eorum, -6.830604219793722
haec, -6.830604219793722
mari, -6.830604219793722
primum, -6.830604219793722
nos, -6.830604219793722
iam, -6.830604219793722
e, -6.964135612418245
sic, -6.964135612418245
habere, -6.964135612418245
ipsum, -6.964135612418245
sicut, -6.964135612418245
iis, -6.964135612418245
tantum, -6.964135612418245
eam, -6.964135612418245
an, -6.964135612418245
aliud, -6.964135612418245
supra, -6.964135612418245
causa, -6.964135612418245
tu, -6.964135612418245
satis, -6.964135612418245
alii, -7.118286292245503
dicunt, -7.118286292245503
nomen, -7.118286292245503
re, -7.118286292245503
quibus, -7.118286292245503
solum, -7.118286292245503
omni, -7.118286292245503
sane, -7.118286292245503
at, -7.118286292245503
tempore, -7.118286292245503
ait, -7.118286292245503
inter, -7.118286292245503
unum, -7.118286292245503
ipse, -7.118286292245503
solent, -7.118286292245503
ante, -7.118286292245503
tam, -7.118286292245503
genere, -7.118286292245503
illa, -7.118286292245503
tanquam, -7.118286292245503
sine, -7.118286292245503
fuit, -7.118286292245503
verba, -7.118286292245503
video, -7.118286292245503
quaero, -7.118286292245503
his, -7.118286292245503
eius, -7.118286292245503
ob, -7.118286292245503
deinde, -7.300607849039458
facit, -7.300607849039458
sedes, -7.300607849039458
suum, -7.300607849039458
possit, -7.300607849039458
opus, -7.300607849039458
quas, -7.300607849039458
aristoteles, -7.300607849039458
ejus, -7.300607849039458
quum, -7.300607849039458
hominibus, -7.300607849039458
idem, -7.300607849039458
ipsis, -7.300607849039458
is, -7.300607849039458
sua, -7.300607849039458
graeci, -7.300607849039458
semper, -7.300607849039458
hunc, -7.300607849039458
arte, -7.300607849039458
quosdam, -7.300607849039458
rei, -7.300607849039458
cur, -7.300607849039458
equos, -7.300607849039458
pater, -7.300607849039458
ipso, -7.300607849039458
vos, -7.300607849039458
immo, -7.300607849039458
qua, -7.300607849039458
opinor, -7.300607849039458
aetate, -7.300607849039458
tamquam, -7.300607849039458
dici, -7.300607849039458
o, -7.300607849039458
quantum, -7.523751400353667
natura, -7.523751400353667
oculos, -7.523751400353667
quis, -7.523751400353667
ova, -7.523751400353667
ore, -7.523751400353667
aspidis, -7.523751400353667
animalia, -7.523751400353667
sive, -7.523751400353667
grues, -7.523751400353667
s, -7.523751400353667
quendam, -7.523751400353667
urbe, -7.523751400353667
eodem, -7.523751400353667
quando, -7.523751400353667
leonem, -7.523751400353667
post, -7.523751400353667
illud, -7.523751400353667
dicentem, -7.523751400353667
bello, -7.523751400353667
caput, -7.523751400353667
ajunt, -7.523751400353667
omnes, -7.523751400353667
veluti, -7.523751400353667
quidam, -7.523751400353667
esset, -7.523751400353667
verum, -7.523751400353667
animo, -7.523751400353667
alia, -7.523751400353667
alterum, -7.523751400353667
illi, -7.523751400353667
illum, -7.523751400353667
omnium, -7.523751400353667
eadem, -7.523751400353667
hominum, -7.523751400353667
nobis, -7.523751400353667
sermonis, -7.523751400353667
circa, -7.523751400353667
inquam, -7.523751400353667
hic, -7.523751400353667
ista, -7.523751400353667
igitur, -7.523751400353667
dicit, -7.523751400353667
rem, -7.523751400353667
primam, -7.523751400353667
lege, -7.523751400353667
potest, -7.523751400353667
vulgo, -7.523751400353667
dicam, -7.811433472805448
genera, -7.811433472805448
idque, -7.811433472805448
testatur, -7.811433472805448
leones, -7.811433472805448
suis, -7.811433472805448
operam, -7.811433472805448
animal, -7.811433472805448
propter, -7.811433472805448
instar, -7.811433472805448
avem, -7.811433472805448
locis, -7.811433472805448
avis, -7.811433472805448
donec, -7.811433472805448
nasci, -7.811433472805448
luna, -7.811433472805448
sibi, -7.811433472805448
aliunde, -7.811433472805448
genus, -7.811433472805448
quorum, -7.811433472805448
boves, -7.811433472805448
fama, -7.811433472805448
cibum, -7.811433472805448
jam, -7.811433472805448
itineris, -7.811433472805448
magna, -7.811433472805448
rerum, -7.811433472805448
imo, -7.811433472805448
hiberno, -7.811433472805448
suas, -7.811433472805448
forma, -7.811433472805448
hujus, -7.811433472805448
pullum, -7.811433472805448
ventrem, -7.811433472805448
ferunt, -7.811433472805448
solere, -7.811433472805448
item, -7.811433472805448
ei, -7.811433472805448
quasi, -7.811433472805448
dicitur, -7.811433472805448
somno, -7.811433472805448
quibusdam, -7.811433472805448
filium, -7.811433472805448
praeterea, -7.811433472805448
pisces, -7.811433472805448
tenent, -7.811433472805448
idcirco, -7.811433472805448
nominant, -7.811433472805448
saepe, -7.811433472805448
multo, -7.811433472805448
ceu, -7.811433472805448
aliquando, -7.811433472805448
vivit, -7.811433472805448
aliquem, -7.811433472805448
lupum, -7.811433472805448
possidere, -7.811433472805448
canes, -7.811433472805448
causam, -7.811433472805448
toto, -7.811433472805448
nomine, -7.811433472805448
appellant, -7.811433472805448
factum, -7.811433472805448
huc, -7.811433472805448
sub, -7.811433472805448
totum, -7.811433472805448
diem, -7.811433472805448
ideo, -7.811433472805448
alias, -7.811433472805448
habent, -7.811433472805448
tuae, -7.811433472805448
sermonem, -7.811433472805448
meum, -7.811433472805448
certe, -7.811433472805448
publicae, -7.811433472805448
antonium, -7.811433472805448
es, -7.811433472805448
tua, -7.811433472805448
iudices, -7.811433472805448
rebus, -7.811433472805448
quoniam, -7.811433472805448
l, -7.811433472805448
res, -7.811433472805448
tuam, -7.811433472805448
vita, -7.811433472805448
deus, -7.811433472805448
cuius, -7.811433472805448
noster, -7.811433472805448
verbo, -7.811433472805448
vobis, -7.811433472805448
quia, -7.811433472805448
multos, -7.811433472805448
dis, -7.811433472805448
prima, -7.811433472805448
tecum, -7.811433472805448
manus, -7.811433472805448
quintum, -7.811433472805448
habeo, -7.811433472805448
bona, -7.811433472805448
horam, -7.811433472805448
voluptatem, -7.811433472805448
omnia, -7.811433472805448
nescio, -7.811433472805448
verbum, -7.811433472805448
antiquos, -7.811433472805448
suo, -8.216898580913613
dolore, -8.216898580913613
cane, -8.216898580913613
amatam, -8.216898580913613
ariete, -8.216898580913613
ansere, -8.216898580913613
piscium, -8.216898580913613
venerea, -8.216898580913613
hujusmodi, -8.216898580913613
acie, -8.216898580913613
minime, -8.216898580913613
armis, -8.216898580913613
hostes, -8.216898580913613
expertes, -8.216898580913613
