, -2.0861533714097114
credo, -3.5801213603532602
et, -3.827234101780466
in, -4.0530767100638405
non, -4.217983225256117
ut, -4.584380865173372
quod, -4.67453196216767
est, -4.7530035776091655
qui, -4.9312518090154835
ad, -5.016048345675561
si, -5.016048345675561
sed, -5.052088282158757
cum, -5.061304937263682
de, -5.108707176158266
esse, -5.189559272787361
quae, -5.277528045733318
enim, -5.277528045733318
quam, -5.289088868134393
quid, -5.4259480508515905
aut, -5.494940922338542
ne, -5.509329659790642
nec, -5.600301437996369
hoc, -5.61630177934281
a, -5.61630177934281
etiam, -5.700384896553351
ex, -5.718084473652752
me, -5.754452117823627
sunt, -5.754452117823627
id, -5.773144250835779
ac, -5.851615866277275
te, -5.893288562677843
se, -5.893288562677843
quidem, -5.914794767898806
autem, -5.936773674617582
atque, -5.982236048694339
ego, -6.005766546104533
sit, -6.0298640976835935
nihil, -6.0298640976835935
mihi, -6.054556710273965
tamen, -6.079874518258255
quia, -6.079874518258255
haec, -6.105850004661516
ab, -6.132518251743677
fuisse, -6.132518251743677
iam, -6.159917225931792
nam, -6.1880881028984875
quo, -6.1880881028984875
eius, -6.246928602921421
ita, -6.2777002615881745
esset, -6.2777002615881745
eum, -6.342238782725746
per, -6.342238782725746
illa, -6.376140334401427
at, -6.376140334401427
vero, -6.376140334401427
eo, -6.376140334401427
quem, -6.411231654212697
neque, -6.447599298383572
omnia, -6.447599298383572
tum, -6.485339626366419
quis, -6.565382334039955
erat, -6.565382334039955
post, -6.565382334039955
nisi, -6.565382334039955
res, -6.565382334039955
causa, -6.607941948458752
qua, -6.607941948458752
quibus, -6.607941948458752
tu, -6.652393711029585
tibi, -6.652393711029585
aliquid, -6.698913726664478
ipse, -6.698913726664478
inquit, -6.74770389083391
ille, -6.74770389083391
nunc, -6.74770389083391
ea, -6.79899718522146
an, -6.79899718522146
vos, -6.79899718522146
pro, -6.79899718522146
satis, -6.853064406491736
illud, -6.853064406491736
vel, -6.853064406491736
quoque, -6.853064406491736
sibi, -6.853064406491736
his, -6.853064406491736
ei, -6.853064406491736
igitur, -6.910222820331685
ergo, -6.910222820331685
hic, -6.910222820331685
omnium, -6.910222820331685
tam, -6.910222820331685
fuit, -6.910222820331685
eam, -6.97084744214812
quos, -6.97084744214812
filium, -6.97084744214812
contra, -7.035385963285691
apud, -7.035385963285691
minus, -7.035385963285691
illi, -7.035385963285691
magis, -7.035385963285691
sic, -7.104378834772643
omnes, -7.104378834772643
nos, -7.104378834772643
posse, -7.104378834772643
hanc, -7.104378834772643
habet, -7.104378834772643
dicere, -7.104378834772643
loco, -7.104378834772643
inter, -7.104378834772643
nemo, -7.104378834772643
sua, -7.104378834772643
re, -7.178486806926364
multa, -7.178486806926364
is, -7.178486806926364
rem, -7.178486806926364
causam, -7.178486806926364
cur, -7.178486806926364
patris, -7.178486806926364
cuius, -7.178486806926364
deinde, -7.178486806926364
itaque, -7.178486806926364
omne, -7.178486806926364
deum, -7.178486806926364
cui, -7.258529514599901
sine, -7.258529514599901
illo, -7.258529514599901
rei, -7.258529514599901
ipsum, -7.258529514599901
homines, -7.258529514599901
animo, -7.258529514599901
iudices, -7.258529514599901
verbum, -7.258529514599901
idem, -7.258529514599901
ob, -7.258529514599901
propter, -7.345540891589531
illum, -7.345540891589531
c, -7.345540891589531
ante, -7.345540891589531
certe, -7.345540891589531
omnibus, -7.345540891589531
hos, -7.345540891589531
quamquam, -7.345540891589531
m, -7.345540891589531
eos, -7.345540891589531
modo, -7.345540891589531
aliud, -7.345540891589531
numquam, -7.345540891589531
fieri, -7.345540891589531
videtur, -7.345540891589531
equidem, -7.345540891589531
dei, -7.345540891589531
praeter, -7.440851071393856
sum, -7.440851071393856
bene, -7.440851071393856
publica, -7.440851071393856
ista, -7.440851071393856
iure, -7.440851071393856
nescio, -7.440851071393856
populi, -7.440851071393856
potest, -7.440851071393856
intellego, -7.440851071393856
quando, -7.440851071393856
eodem, -7.440851071393856
recte, -7.440851071393856
sicut, -7.440851071393856
meis, -7.5462115870516815
nomen, -7.5462115870516815
neminem, -7.5462115870516815
alia, -7.5462115870516815
legis, -7.5462115870516815
dixit, -7.5462115870516815
illam, -7.5462115870516815
item, -7.5462115870516815
cn, -7.5462115870516815
bonum, -7.5462115870516815
hominem, -7.5462115870516815
eorum, -7.5462115870516815
scio, -7.5462115870516815
nobis, -7.5462115870516815
adhuc, -7.5462115870516815
tantum, -7.5462115870516815
factum, -7.5462115870516815
hunc, -7.5462115870516815
pater, -7.5462115870516815
usque, -7.663994622708065
consules, -7.663994622708065
urbe, -7.663994622708065
saepe, -7.663994622708065
erit, -7.663994622708065
homo, -7.663994622708065
nomine, -7.663994622708065
aliquando, -7.663994622708065
romani, -7.663994622708065
quisquam, -7.663994622708065
posset, -7.663994622708065
eadem, -7.663994622708065
civitate, -7.663994622708065
rebus, -7.663994622708065
potius, -7.663994622708065
nondum, -7.663994622708065
quasi, -7.663994622708065
dicitur, -7.663994622708065
terra, -7.663994622708065
suum, -7.663994622708065
filio, -7.663994622708065
tunc, -7.663994622708065
die, -7.663994622708065
plura, -7.663994622708065
augustinus, -7.663994622708065
caesar, -7.797526015332588
bonis, -7.797526015332588
meo, -7.797526015332588
dum, -7.797526015332588
huic, -7.797526015332588
namque, -7.797526015332588
oratio, -7.797526015332588
solum, -7.797526015332588
duo, -7.797526015332588
publicae, -7.797526015332588
num, -7.797526015332588
unde, -7.797526015332588
ferre, -7.797526015332588
potuit, -7.797526015332588
nullum, -7.797526015332588
iudicium, -7.797526015332588
tua, -7.797526015332588
verum, -7.797526015332588
viri, -7.797526015332588
suo, -7.797526015332588
animi, -7.797526015332588
dolore, -7.797526015332588
statim, -7.797526015332588
p, -7.797526015332588
ipsi, -7.797526015332588
hac, -7.797526015332588
natura, -7.797526015332588
deos, -7.797526015332588
essent, -7.797526015332588
rerum, -7.797526015332588
bellum, -7.797526015332588
huius, -7.797526015332588
aliam, -7.797526015332588
regis, -7.797526015332588
ipso, -7.797526015332588
aliis, -7.797526015332588
ipsa, -7.797526015332588
dicam, -7.797526015332588
verba, -7.797526015332588
animam, -7.797526015332588
patrem, -7.797526015332588
christum, -7.797526015332588
patre, -7.797526015332588
sanctum, -7.797526015332588
simul, -7.951676695159846
meum, -7.951676695159846
nulla, -7.951676695159846
viam, -7.951676695159846
aliquo, -7.951676695159846
iis, -7.951676695159846
plus, -7.951676695159846
habere, -7.951676695159846
uel, -7.951676695159846
postea, -7.951676695159846
malum, -7.951676695159846
es, -7.951676695159846
quaedam, -7.951676695159846
nimis, -7.951676695159846
semper, -7.951676695159846
vim, -7.951676695159846
o, -7.951676695159846
boni, -7.951676695159846
arma, -7.951676695159846
quorum, -7.951676695159846
sint, -7.951676695159846
spem, -7.951676695159846
eis, -7.951676695159846
regnum, -7.951676695159846
spiritus, -7.951676695159846
ceteris, -7.951676695159846
maxime, -7.951676695159846
tanta, -7.951676695159846
suis, -7.951676695159846
hominum, -7.951676695159846
videatur, -7.951676695159846
quosdam, -7.951676695159846
