, -2.01541768859274
facio, -3.6306639426225873
et, -3.7545334243353734
non, -4.002713053810908
in, -4.276408884287949
quod, -4.436751534363128
est, -4.50419281515866
ut, -4.739032406236062
si, -4.799657028052496
ego, -4.831405726367077
me, -4.864195549190068
sed, -5.0072963928307415
quae, -5.087339100504278
de, -5.087339100504278
cum, -5.1298987149230735
qui, -5.220870493128801
enim, -5.375021172956059
ad, -5.432179586796007
quam, -5.432179586796007
mihi, -5.432179586796007
haec, -5.492804208612442
a, -5.492804208612442
quia, -5.557342729750013
te, -5.626335601236964
quid, -5.626335601236964
hoc, -5.626335601236964
vel, -5.626335601236964
inquit, -5.700443573390687
tu, -5.700443573390687
esse, -5.8674976580538525
neque, -5.8674976580538525
ille, -5.8674976580538525
ab, -5.8674976580538525
ipse, -5.8674976580538525
sum, -5.8674976580538525
per, -5.8674976580538525
quidem, -5.962807837858177
id, -5.962807837858177
nec, -5.962807837858177
ex, -5.962807837858177
ista, -6.068168353516004
tibi, -6.068168353516004
ne, -6.068168353516004
nihil, -6.068168353516004
sunt, -6.185951389172387
pro, -6.185951389172387
nam, -6.185951389172387
sit, -6.185951389172387
erat, -6.185951389172387
mei, -6.185951389172387
verba, -6.31948278179691
etiam, -6.31948278179691
causa, -6.31948278179691
magis, -6.31948278179691
ergo, -6.31948278179691
omnia, -6.31948278179691
vero, -6.31948278179691
opera, -6.31948278179691
autem, -6.473633461624168
rei, -6.473633461624168
illis, -6.473633461624168
quo, -6.473633461624168
quibus, -6.473633461624168
unum, -6.473633461624168
an, -6.473633461624168
eo, -6.473633461624168
nisi, -6.473633461624168
aut, -6.473633461624168
meum, -6.473633461624168
propter, -6.473633461624168
vos, -6.473633461624168
eum, -6.473633461624168
patris, -6.473633461624168
item, -6.655955018418123
meis, -6.655955018418123
se, -6.655955018418123
satis, -6.655955018418123
nunc, -6.655955018418123
tamen, -6.655955018418123
quoniam, -6.655955018418123
quemadmodum, -6.655955018418123
illud, -6.655955018418123
post, -6.655955018418123
idem, -6.655955018418123
pater, -6.655955018418123
verbis, -6.655955018418123
volo, -6.655955018418123
quem, -6.655955018418123
erit, -6.655955018418123
dei, -6.655955018418123
cui, -6.879098569732332
illa, -6.879098569732332
vitae, -6.879098569732332
ac, -6.879098569732332
dum, -6.879098569732332
tauros, -6.879098569732332
ante, -6.879098569732332
tum, -6.879098569732332
denique, -6.879098569732332
utrumque, -6.879098569732332
facere, -6.879098569732332
inquis, -6.879098569732332
esset, -6.879098569732332
loquor, -6.879098569732332
quomodo, -6.879098569732332
possum, -6.879098569732332
inter, -6.879098569732332
fuerit, -6.879098569732332
potest, -6.879098569732332
modo, -6.879098569732332
ea, -6.879098569732332
iudices, -6.879098569732332
hanc, -6.879098569732332
numquid, -6.879098569732332
iam, -6.879098569732332
sic, -6.879098569732332
l, -6.879098569732332
huius, -6.879098569732332
respondit, -6.879098569732332
atque, -6.879098569732332
magna, -6.879098569732332
multa, -6.879098569732332
illo, -6.879098569732332
quoque, -6.879098569732332
aliquid, -6.879098569732332
res, -6.879098569732332
debeo, -6.879098569732332
ait, -6.879098569732332
credere, -6.879098569732332
latus, -7.166780642184113
mea, -7.166780642184113
ipsa, -7.166780642184113
facta, -7.166780642184113
saepe, -7.166780642184113
re, -7.166780642184113
publica, -7.166780642184113
deinde, -7.166780642184113
parce, -7.166780642184113
tam, -7.166780642184113
verum, -7.166780642184113
quorum, -7.166780642184113
quasi, -7.166780642184113
aliquando, -7.166780642184113
dicunt, -7.166780642184113
suum, -7.166780642184113
facilius, -7.166780642184113
contra, -7.166780642184113
duo, -7.166780642184113
secundum, -7.166780642184113
semper, -7.166780642184113
nos, -7.166780642184113
sine, -7.166780642184113
ipsis, -7.166780642184113
virtute, -7.166780642184113
vitiis, -7.166780642184113
vivam, -7.166780642184113
oportet, -7.166780642184113
quibusdam, -7.166780642184113
hac, -7.166780642184113
numquam, -7.166780642184113
loco, -7.166780642184113
unde, -7.166780642184113
adhuc, -7.166780642184113
dicis, -7.166780642184113
homines, -7.166780642184113
tantum, -7.166780642184113
quaeque, -7.166780642184113
invitus, -7.166780642184113
hs, -7.166780642184113
ccciccc, -7.166780642184113
flavio, -7.166780642184113
omnino, -7.166780642184113
nomine, -7.166780642184113
voles, -7.166780642184113
vir, -7.166780642184113
omni, -7.166780642184113
iudicent, -7.166780642184113
omnium, -7.166780642184113
es, -7.166780642184113
rebus, -7.166780642184113
dicendi, -7.166780642184113
vestra, -7.166780642184113
facit, -7.166780642184113
uno, -7.166780642184113
animo, -7.166780642184113
interroga, -7.166780642184113
sint, -7.166780642184113
fit, -7.166780642184113
vivere, -7.166780642184113
putas, -7.166780642184113
tecum, -7.166780642184113
curam, -7.166780642184113
ago, -7.166780642184113
itaque, -7.166780642184113
ita, -7.166780642184113
faciam, -7.166780642184113
nobis, -7.166780642184113
dico, -7.166780642184113
partem, -7.166780642184113
integrum, -7.166780642184113
quando, -7.166780642184113
captus, -7.166780642184113
latro, -7.166780642184113
imperator, -7.166780642184113
rem, -7.166780642184113
deo, -7.166780642184113
habere, -7.572245750292278
sicut, -7.572245750292278
salute, -7.572245750292278
finem, -7.572245750292278
en, -7.572245750292278
c, -7.572245750292278
duobus, -7.572245750292278
forte, -7.572245750292278
at, -7.572245750292278
aequi, -7.572245750292278
bonique, -7.572245750292278
deum, -7.572245750292278
vera, -7.572245750292278
feci, -7.572245750292278
venit, -7.572245750292278
missa, -7.572245750292278
habeo, -7.572245750292278
totidem, -7.572245750292278
quot, -7.572245750292278
atticus, -7.572245750292278
matrices, -7.572245750292278
lxx, -7.572245750292278
anniculum, -7.572245750292278
alterum, -7.572245750292278
fidem, -7.572245750292278
malum, -7.572245750292278
optimis, -7.572245750292278
nomen, -7.572245750292278
possem, -7.572245750292278
ferre, -7.572245750292278
voluit, -7.572245750292278
vivendum, -7.572245750292278
convicium, -7.572245750292278
primis, -7.572245750292278
potuero, -7.572245750292278
malignitas, -7.572245750292278
multo, -7.572245750292278
veneno, -7.572245750292278
tincta, -7.572245750292278
deterrebit, -7.572245750292278
optime, -7.572245750292278
mala, -7.572245750292278
iustitiae, -7.572245750292278
quaero, -7.572245750292278
is, -7.572245750292278
quos, -7.572245750292278
facinus, -7.572245750292278
possunt, -7.572245750292278
dici, -7.572245750292278
diu, -7.572245750292278
iudicavit, -7.572245750292278
planum, -7.572245750292278
rosci, -7.572245750292278
recentem, -7.572245750292278
q, -7.572245750292278
quis, -7.572245750292278
missos, -7.572245750292278
horum, -7.572245750292278
quanti, -7.572245750292278
dicam, -7.572245750292278
primum, -7.572245750292278
genere, -7.572245750292278
dicit, -7.572245750292278
fueris, -7.572245750292278
publicae, -7.572245750292278
urbe, -7.572245750292278
