, -2.0884417980909635
habeo, -3.5948804710529174
et, -3.739619316697829
non, -3.9485205112964956
in, -4.3847572780714135
quod, -4.554656314866811
est, -4.6416676918564415
si, -4.6416676918564415
ut, -4.7708794233364475
me, -4.960121422974976
ad, -5.002681037393772
quam, -5.047132799964605
qui, -5.047132799964605
quae, -5.062400272095394
de, -5.062400272095394
sed, -5.176344531444611
cum, -5.193736274156481
ego, -5.247803495426757
mihi, -5.247803495426757
enim, -5.285543823409603
quid, -5.304961909266705
ipse, -5.386639940280973
nec, -5.475587426297468
esse, -5.475587426297468
ex, -5.523215475286723
te, -5.6258696293468065
hoc, -5.740279980524551
quidem, -5.771051639191304
pater, -5.802800337505885
quo, -5.802800337505885
quem, -5.835590160328875
nihil, -5.835590160328875
aut, -5.869491712004557
inquit, -5.869491712004557
a, -5.904583031815827
sum, -5.904583031815827
etiam, -5.940950675986702
tibi, -5.940950675986702
ne, -5.940950675986702
quia, -5.978691003969549
haec, -5.978691003969549
autem, -5.978691003969549
ero, -5.978691003969549
se, -6.01791171712283
iam, -6.01791171712283
tamen, -6.101293326061882
neque, -6.101293326061882
eius, -6.145745088632715
filius, -6.145745088632715
ita, -6.192265104267608
atque, -6.24105526843704
pro, -6.24105526843704
sunt, -6.24105526843704
certum, -6.24105526843704
filium, -6.24105526843704
sit, -6.292348562824591
eum, -6.292348562824591
ea, -6.346415784094867
nisi, -6.346415784094867
vos, -6.346415784094867
sine, -6.346415784094867
ab, -6.403574197934815
nunc, -6.403574197934815
patrem, -6.403574197934815
an, -6.46419881975125
id, -6.46419881975125
c, -6.528737340888821
ac, -6.528737340888821
quoque, -6.528737340888821
sic, -6.528737340888821
illud, -6.597730212375772
mea, -6.597730212375772
nam, -6.597730212375772
satis, -6.597730212375772
vero, -6.597730212375772
eo, -6.597730212375772
tu, -6.597730212375772
ista, -6.671838184529494
quos, -6.671838184529494
modo, -6.671838184529494
dum, -6.671838184529494
tum, -6.7518808922030304
hic, -6.7518808922030304
omnia, -6.7518808922030304
apud, -6.7518808922030304
cuius, -6.7518808922030304
p, -6.7518808922030304
alterum, -6.7518808922030304
illi, -6.7518808922030304
at, -6.7518808922030304
quis, -6.838892269192661
unum, -6.838892269192661
mei, -6.838892269192661
tantum, -6.838892269192661
ille, -6.838892269192661
cur, -6.838892269192661
habere, -6.838892269192661
igitur, -6.934202448996985
ante, -6.934202448996985
quibus, -6.934202448996985
causa, -6.934202448996985
gratiam, -6.934202448996985
magis, -6.934202448996985
solum, -6.934202448996985
meum, -6.934202448996985
illa, -6.934202448996985
rem, -6.934202448996985
qua, -6.934202448996985
tamquam, -6.934202448996985
sim, -6.934202448996985
fuit, -7.039562964654811
his, -7.039562964654811
adhuc, -7.039562964654811
tam, -7.039562964654811
potest, -7.039562964654811
sibi, -7.157346000311195
cui, -7.157346000311195
re, -7.157346000311195
rerum, -7.157346000311195
contra, -7.157346000311195
equidem, -7.157346000311195
uti, -7.157346000311195
licet, -7.157346000311195
ergo, -7.157346000311195
animi, -7.157346000311195
tua, -7.157346000311195
deinde, -7.157346000311195
rebus, -7.157346000311195
dicere, -7.157346000311195
tuam, -7.157346000311195
auctores, -7.157346000311195
per, -7.157346000311195
tunc, -7.157346000311195
vel, -7.290877392935718
hanc, -7.290877392935718
primum, -7.290877392935718
itaque, -7.290877392935718
ipsa, -7.290877392935718
omnibus, -7.290877392935718
aliquid, -7.290877392935718
meam, -7.290877392935718
vobis, -7.290877392935718
fuisse, -7.290877392935718
ei, -7.290877392935718
semper, -7.290877392935718
potestatem, -7.290877392935718
posse, -7.290877392935718
nusquam, -7.290877392935718
es, -7.290877392935718
senex, -7.290877392935718
faciunt, -7.445028072762976
factum, -7.445028072762976
fidem, -7.445028072762976
dixit, -7.445028072762976
seu, -7.445028072762976
meus, -7.445028072762976
ubi, -7.445028072762976
verba, -7.445028072762976
esset, -7.445028072762976
aliud, -7.445028072762976
alium, -7.445028072762976
iudices, -7.445028072762976
publica, -7.445028072762976
minus, -7.445028072762976
eam, -7.445028072762976
nullum, -7.445028072762976
ipso, -7.445028072762976
inter, -7.445028072762976
nobis, -7.445028072762976
nos, -7.445028072762976
huius, -7.445028072762976
nomine, -7.445028072762976
habes, -7.445028072762976
illum, -7.445028072762976
manus, -7.445028072762976
quomodo, -7.445028072762976
bona, -7.445028072762976
ius, -7.445028072762976
opus, -7.445028072762976
accepi, -7.627349629556931
uno, -7.627349629556931
ait, -7.627349629556931
hac, -7.627349629556931
publicam, -7.627349629556931
eos, -7.627349629556931
animo, -7.627349629556931
meo, -7.627349629556931
facile, -7.627349629556931
certe, -7.627349629556931
melius, -7.627349629556931
deos, -7.627349629556931
l, -7.627349629556931
verbis, -7.627349629556931
hunc, -7.627349629556931
habui, -7.627349629556931
e, -7.627349629556931
credo, -7.627349629556931
animus, -7.627349629556931
animum, -7.627349629556931
vita, -7.627349629556931
quantum, -7.627349629556931
multis, -7.627349629556931
necesse, -7.627349629556931
voluntatem, -7.627349629556931
iure, -7.627349629556931
natura, -7.627349629556931
tuis, -7.627349629556931
suo, -7.627349629556931
responsum, -7.627349629556931
essem, -7.627349629556931
nemo, -7.627349629556931
s, -7.627349629556931
praeter, -7.627349629556931
publicae, -7.627349629556931
illis, -7.627349629556931
unde, -7.627349629556931
erat, -7.627349629556931
signis, -7.627349629556931
dicam, -7.627349629556931
nondum, -7.627349629556931
loco, -7.627349629556931
res, -7.627349629556931
tuo, -7.627349629556931
quando, -7.627349629556931
velim, -7.627349629556931
plus, -7.627349629556931
eorum, -7.627349629556931
possum, -7.627349629556931
quoniam, -7.627349629556931
frater, -7.627349629556931
multa, -7.627349629556931
vellem, -7.627349629556931
tuae, -7.627349629556931
respondit, -7.627349629556931
possit, -7.8504931808711405
homines, -7.8504931808711405
eas, -7.8504931808711405
tempore, -7.8504931808711405
alios, -7.8504931808711405
hominem, -7.8504931808711405
deus, -7.8504931808711405
utique, -7.8504931808711405
illae, -7.8504931808711405
volo, -7.8504931808711405
scilicet, -7.8504931808711405
fortuna, -7.8504931808711405
fecerit, -7.8504931808711405
quin, -7.8504931808711405
annis, -7.8504931808711405
ipsis, -7.8504931808711405
quidam, -7.8504931808711405
quaerere, -7.8504931808711405
sicut, -7.8504931808711405
vestrum, -7.8504931808711405
vitae, -7.8504931808711405
paenitet, -7.8504931808711405
bonum, -7.8504931808711405
quasi, -7.8504931808711405
q, -7.8504931808711405
auctorem, -7.8504931808711405
sua, -7.8504931808711405
habet, -7.8504931808711405
curam, -7.8504931808711405
is, -7.8504931808711405
solus, -7.8504931808711405
corpora, -7.8504931808711405
ipsum, -7.8504931808711405
posset, -7.8504931808711405
facere, -7.8504931808711405
o, -7.8504931808711405
homine, -7.8504931808711405
adversus, -7.8504931808711405
sui, -7.8504931808711405
postulat, -7.8504931808711405
amplius, -7.8504931808711405
una, -7.8504931808711405
potuit, -7.8504931808711405
die, -7.8504931808711405
erit, -7.8504931808711405
quas, -7.8504931808711405
dignum, -7.8504931808711405
virium, -7.8504931808711405
fore, -7.8504931808711405
sententiam, -7.8504931808711405
causam, -7.8504931808711405
altero, -7.8504931808711405
illo, -7.8504931808711405
hercule, -7.8504931808711405
interim, -7.8504931808711405
exercitus, -7.8504931808711405
omnes, -7.8504931808711405
inde, -7.8504931808711405
aetas, -7.8504931808711405
forte, -7.8504931808711405
videtur, -7.8504931808711405
memoriam, -7.8504931808711405
quaeque, -7.8504931808711405
aliquem, -7.8504931808711405
omnino, -7.8504931808711405
f, -7.8504931808711405
quemadmodum, -7.8504931808711405
porro, -7.8504931808711405
scio, -7.8504931808711405
isto, -7.8504931808711405
corporis, -7.8504931808711405
valet, -7.8504931808711405
maxime, -7.8504931808711405
status, -7.8504931808711405
facit, -7.8504931808711405
fugiam, -7.8504931808711405
sequar, -7.8504931808711405
dixerit, -7.8504931808711405
gravem, -7.8504931808711405
fit, -7.8504931808711405
uxorem, -7.8504931808711405
vestri, -7.8504931808711405
utrumque, -7.8504931808711405
habendo, -7.8504931808711405
debeo, -7.8504931808711405
sub, -7.8504931808711405
filio, -7.8504931808711405
rei, -8.138175253322922
cetera, -8.138175253322922
feminas, -8.138175253322922
bello, -8.138175253322922
pax, -8.138175253322922
umquam, -8.138175253322922
orationem, -8.138175253322922
compertum, -8.138175253322922
milites, -8.138175253322922
virtutem, -8.138175253322922
sint, -8.138175253322922
aiunt, -8.138175253322922
parum, -8.138175253322922
quirites, -8.138175253322922
aliis, -8.138175253322922
castra, -8.138175253322922
bis, -8.138175253322922
quorum, -8.138175253322922
arbitror, -8.138175253322922
m, -8.138175253322922
