, -2.430940067575828
pono, -3.6205241344496644
et, -3.7746748142769224
in, -3.7746748142769224
si, -4.062356886728703
quam, -4.31367131500961
est, -4.467821994836868
cum, -4.650143551630823
sunt, -4.650143551630823
ut, -4.873287102945032
ego, -4.873287102945032
quae, -4.873287102945032
non, -4.873287102945032
quid, -4.873287102945032
hoc, -5.160969175396813
me, -5.160969175396813
sed, -5.160969175396813
mihi, -5.160969175396813
esse, -5.160969175396813
eodem, -5.160969175396813
omnia, -5.160969175396813
ad, -5.160969175396813
ac, -5.160969175396813
enim, -5.160969175396813
supra, -5.160969175396813
incertum, -5.566434283504978
propter, -5.566434283504978
pone, -5.566434283504978
ab, -5.566434283504978
quod, -5.566434283504978
hanc, -5.566434283504978
a, -5.566434283504978
hunc, -5.566434283504978
debere, -5.566434283504978
loco, -5.566434283504978
qui, -5.566434283504978
gratia, -5.566434283504978
etiam, -5.566434283504978
videbitur, -5.566434283504978
tantum, -5.566434283504978
alteram, -5.566434283504978
nec, -5.566434283504978
beneficium, -5.566434283504978
nihil, -5.566434283504978
analogia, -5.566434283504978
posui, -5.566434283504978
amari, -5.566434283504978
avium, -5.566434283504978
item, -5.566434283504978
verba, -5.566434283504978
haec, -5.566434283504978
occultum, -6.259581464064923
primae, -6.259581464064923
syllabae, -6.259581464064923
spatium, -6.259581464064923
acumine, -6.259581464064923
autem, -6.259581464064923
scribitur, -6.259581464064923
utrum, -6.259581464064923
eo, -6.259581464064923
an, -6.259581464064923
dictum, -6.259581464064923
sequens, -6.259581464064923
namque, -6.259581464064923
dederat, -6.259581464064923
proserpina, -6.259581464064923
legem, -6.259581464064923
latentem, -6.259581464064923
acuminis, -6.259581464064923
locumceteris, -6.259581464064923
quibus, -6.259581464064923
defensus, -6.259581464064923
plurimum, -6.259581464064923
video, -6.259581464064923
quantum, -6.259581464064923
ei, -6.259581464064923
debeam, -6.259581464064923
alio, -6.259581464064923
principio, -6.259581464064923
orationis, -6.259581464064923
omnibus, -6.259581464064923
amici, -6.259581464064923
fuerint, -6.259581464064923
saluti, -6.259581464064923
dignitati, -6.259581464064923
meae, -6.259581464064923
minus, -6.259581464064923
referenda, -6.259581464064923
satis, -6.259581464064923
facere, -6.259581464064923
potuerim, -6.259581464064923
praedicanda, -6.259581464064923
vir, -6.259581464064923
quoque, -6.259581464064923
bonus, -6.259581464064923
obsecrabo, -6.259581464064923
excellenti, -6.259581464064923
oratore, -6.259581464064923
bono, -6.259581464064923
viro, -6.259581464064923
ornamenti, -6.259581464064923
universae, -6.259581464064923
civitati, -6.259581464064923
sin, -6.259581464064923
summe, -6.259581464064923
fecerit, -6.259581464064923
tamen, -6.259581464064923
mediocris, -6.259581464064923
oratores, -6.259581464064923
essein, -6.259581464064923
eandem, -6.259581464064923
illam, -6.259581464064923
spem, -6.259581464064923
rapinarum, -6.259581464064923
veterum, -6.259581464064923
impulerunt, -6.259581464064923
quos, -6.259581464064923
utrosque, -6.259581464064923
genere, -6.259581464064923
praedatorum, -6.259581464064923
direptorumque, -6.259581464064923
eos, -6.259581464064923
moneo, -6.259581464064923
desinant, -6.259581464064923
furere, -6.259581464064923
proscriptiones, -6.259581464064923
dictaturas, -6.259581464064923
cogitare, -6.259581464064923
tantus, -6.259581464064923
illorum, -6.259581464064923
temporum, -6.259581464064923
dolorexcidat, -6.259581464064923
tum, -6.259581464064923
maxime, -6.259581464064923
luminosae, -6.259581464064923
quasi, -6.259581464064923
actuosae, -6.259581464064923
partes, -6.259581464064923
duae, -6.259581464064923
quarum, -6.259581464064923
universi, -6.259581464064923
generis, -6.259581464064923
quaestione, -6.259581464064923
dixi, -6.259581464064923
graeci, -6.259581464064923
appellant, -6.259581464064923
thesin, -6.259581464064923
augendis, -6.259581464064923
amplificandisque, -6.259581464064923
rebus, -6.259581464064923
isdem, -6.259581464064923
auxesis, -6.259581464064923
estmaiorem, -6.259581464064923
partem, -6.259581464064923
erogare, -6.259581464064923
negat, -6.259581464064923
cicero, -6.259581464064923
duplicetur, -6.259581464064923
sibi, -6.259581464064923
aetas, -6.259581464064923
habiturum, -6.259581464064923
se, -6.259581464064923
tempus, -6.259581464064923
quo, -6.259581464064923
legat, -6.259581464064923
lyricos, -6.259581464064923
dialecticos, -6.259581464064923
tristius, -6.259581464064923
inepti, -6.259581464064923
illi, -6.259581464064923
ex, -6.259581464064923
professo, -6.259581464064923
lasciviunt, -6.259581464064923
hi, -6.259581464064923
agere, -6.259581464064923
ipsos, -6.259581464064923
aliquid, -6.259581464064923
existimant, -6.259581464064923
negoadducit, -6.259581464064923
hic, -6.259581464064923
aures, -6.259581464064923
implet, -6.259581464064923
verat, -6.259581464064923
his, -6.259581464064923
sine, -6.259581464064923
avocatione, -6.259581464064923
circumstrepunt, -6.259581464064923
essedas, -6.259581464064923
transcurrentes, -6.259581464064923
fabrum, -6.259581464064923
inquilinum, -6.259581464064923
serrarium, -6.259581464064923
vicinum, -6.259581464064923
aut, -6.259581464064923
metam, -6.259581464064923
sudantem, -6.259581464064923
tubulas, -6.259581464064923
experitur, -6.259581464064923
tibias, -6.259581464064923
cantat, -6.259581464064923
seds, -6.259581464064923
nam, -6.259581464064923
cui, -6.259581464064923
merita, -6.259581464064923
antecessissent, -6.259581464064923
oportebat, -6.259581464064923
ignosci, -6.259581464064923
post, -6.259581464064923
beneficia, -6.259581464064923
laedenti, -6.259581464064923
plus, -6.259581464064923
venia, -6.259581464064923
debetur, -6.259581464064923
utrique, -6.259581464064923
par, -6.259581464064923
pretium, -6.259581464064923
pluris, -6.259581464064923
aestimo, -6.259581464064923
iniuriam, -6.259581464064923
omnes, -6.259581464064923
grati, -6.259581464064923
sciunt, -6.259581464064923
potestmagis, -6.259581464064923
longo, -6.259581464064923
albanum, -6.259581464064923
meum, -6.259581464064923
multa, -6.259581464064923
nocte, -6.259581464064923
perveni, -6.259581464064923
habeo, -6.259581464064923
parati, -6.259581464064923
nisi, -6.259581464064923
itaque, -6.259581464064923
lectulo, -6.259581464064923
lassitudinem, -6.259581464064923
coci, -6.259581464064923
pistoris, -6.259581464064923
moram, -6.259581464064923
boni, -6.259581464064923
consulo, -6.259581464064923
mecum, -6.259581464064923
de, -6.259581464064923
ipso, -6.259581464064923
loquor, -6.259581464064923
sit, -6.259581464064923
grave, -6.259581464064923
leviter, -6.259581464064923
excipiasillud, -6.259581464064923
dico, -6.259581464064923
nullo, -6.259581464064923
modo, -6.259581464064923
prodesse, -6.259581464064923
possum, -6.259581464064923
magis, -6.259581464064923
tibi, -6.259581464064923
bonum, -6.259581464064923
tuum, -6.259581464064923
ostendo, -6.259581464064923
te, -6.259581464064923
mutis, -6.259581464064923
animalibus, -6.259581464064923
separo, -6.259581464064923
deo, -6.259581464064923
inquam, -6.259581464064923
vires, -6.259581464064923
corporis, -6.259581464064923
alis, -6.259581464064923
exerces, -6.259581464064923
pecudibus, -6.259581464064923
istas, -6.259581464064923
maiores, -6.259581464064923
ferisque, -6.259581464064923
natura, -6.259581464064923
concessit, -6.259581464064923
excolisipsa, -6.259581464064923
confitetur, -6.259581464064923
quidem, -6.259581464064923
facit, -6.259581464064923
cado, -6.259581464064923
cecidi, -6.259581464064923
spondeo, -6.259581464064923
spopondi, -6.259581464064923
pingo, -6.259581464064923
pinxi, -6.259581464064923
lego, -6.259581464064923
legi, -6.259581464064923
frango, -6.259581464064923
fregi, -6.259581464064923
laudo, -6.259581464064923
laudavi, -6.259581464064923
primum, -6.259581464064923
fingerentur, -6.259581464064923
homines, -6.259581464064923
demissa, -6.259581464064923
caeloetiam, -6.259581464064923
iocis, -6.259581464064923
frigidum, -6.259581464064923
equidem, -6.259581464064923
tradi, -6.259581464064923
inter, -6.259581464064923
praecepta, -6.259581464064923
miror, -6.259581464064923
eorumque, -6.259581464064923
exempla, -6.259581464064923
vitandi, -6.259581464064923
potius, -6.259581464064923
imitandi, -6.259581464064923
iucundum, -6.259581464064923
curetur, -6.259581464064923
ne, -6.259581464064923
insit, -6.259581464064923
dulcedo, -6.259581464064923
ducit, -6.259581464064923
apud, -6.259581464064923
ovidium, -6.259581464064923
ludentem, -6.259581464064923
cur, -6.259581464064923
contra, -6.259581464064923
inveniuntur, -6.259581464064923
praesenti, -6.259581464064923
tempore, -6.259581464064923
producta, -6.259581464064923
praeterito, -6.259581464064923
breviantur, -6.259581464064923
cogo, -6.259581464064923
coegi, -6.259581464064923
do, -6.259581464064923
dedi, -6.259581464064923
sto, -6.259581464064923
steti, -6.259581464064923
praeteritis, -6.259581464064923
antecrescunt, -6.259581464064923
primis, -6.259581464064923
syllabismehercule, -6.259581464064923
vulnera, -6.259581464064923
rorantia, -6.259581464064923
hostili, -6.259581464064923
cruore, -6.259581464064923
arma, -6.259581464064923
conspexi, -6.259581464064923
animum, -6.259581464064923
necessitates, -6.259581464064923
erigo, -6.259581464064923
fatum, -6.259581464064923
iam, -6.259581464064923
discussa, -6.259581464064923
consumpta, -6.259581464064923
honeste, -6.259581464064923
pereundi, -6.259581464064923
ratione, -6.259581464064923
victa, -6.259581464064923
cesserunt, -6.259581464064923
amplius, -6.259581464064923
