, -2.277267285009756
et, -3.6635616461296463
sedeo, -3.6635616461296463
ut, -3.7813446817860297
in, -4.069026754237811
cum, -4.251348311031766
non, -4.251348311031766
an, -4.4744918623459755
inter, -4.762173934797756
sunt, -4.762173934797756
o, -4.762173934797756
ex, -5.16763904290592
ibi, -5.16763904290592
aut, -5.16763904290592
ambulare, -5.16763904290592
tunc, -5.16763904290592
demum, -5.16763904290592
hoc, -5.16763904290592
oportet, -5.16763904290592
me, -5.16763904290592
puta, -5.16763904290592
quotiens, -5.16763904290592
advia, -5.16763904290592
loco, -5.16763904290592
iungamus, -5.16763904290592
quae, -5.16763904290592
sto, -5.16763904290592
significant, -5.16763904290592
ad, -5.16763904290592
huius, -5.16763904290592
modi, -5.16763904290592
ideo, -5.16763904290592
habet, -5.16763904290592
k, -5.16763904290592
video, -5.16763904290592
per, -5.16763904290592
quam, -5.16763904290592
humanam, -5.860786223465865
dediscere, -5.860786223465865
balneo, -5.860786223465865
manus, -5.860786223465865
elatus, -5.860786223465865
sella, -5.860786223465865
positus, -5.860786223465865
esset, -5.860786223465865
dixisse, -5.860786223465865
interrogando, -5.860786223465865
iam, -5.860786223465865
hunc, -5.860786223465865
tu, -5.860786223465865
ignorantem, -5.860786223465865
sedeat, -5.860786223465865
putas, -5.860786223465865
scire, -5.860786223465865
uiuat, -5.860786223465865
uideat, -5.860786223465865
otiosus, -5.860786223465865
sit, -5.860786223465865
facile, -5.860786223465865
dixerim, -5.860786223465865
utrum, -5.860786223465865
magiset, -5.860786223465865
totidem, -5.860786223465865
custodibus, -5.860786223465865
corporis, -5.860786223465865
filiis, -5.860786223465865
ternos, -5.860786223465865
inermes, -5.860786223465865
se, -5.860786223465865
introducerent, -5.860786223465865
permisit, -5.860786223465865
consedisset, -5.860786223465865
inquit, -5.860786223465865
miserrimus, -5.860786223465865
pater, -5.860786223465865
iudex, -5.860786223465865
duos, -5.860786223465865
filios, -5.860786223465865
accusatorem, -5.860786223465865
parricidii, -5.860786223465865
reum, -5.860786223465865
conficti, -5.860786223465865
admissime, -5.860786223465865
ambulo, -5.860786223465865
mihi, -5.860786223465865
dixi, -5.860786223465865
adprobavi, -5.860786223465865
hanc, -5.860786223465865
opinionem, -5.860786223465865
meam, -5.860786223465865
sedere, -5.860786223465865
haec, -5.860786223465865
adsensio, -5.860786223465865
virtute, -5.860786223465865
est, -5.860786223465865
enim, -5.860786223465865
prudentiam, -5.860786223465865
esse, -5.860786223465865
quomodo, -5.860786223465865
adsentietur, -5.860786223465865
natura, -5.860786223465865
fuerint, -5.860786223465865
verba, -5.860786223465865
habent, -5.860786223465865
significationem, -5.860786223465865
sum, -5.860786223465865
illic, -5.860786223465865
intus, -5.860786223465865
similia, -5.860786223465865
autem, -5.860786223465865
locum, -5.860786223465865
ea, -5.860786223465865
his, -5.860786223465865
verbis, -5.860786223465865
similiter, -5.860786223465865
quaepraeponenda, -5.860786223465865
ratione, -5.860786223465865
colligitur, -5.860786223465865
nam, -5.860786223465865
pergo, -5.860786223465865
proficiscor, -5.860786223465865
vado, -5.860786223465865
mutationem, -5.860786223465865
dormio, -5.860786223465865
permansionem, -5.860786223465865
loquellares, -5.860786223465865
praepositiones, -5.860786223465865
dicuntur, -5.860786223465865
quia, -5.860786223465865
semper, -5.860786223465865
cohaerent, -5.860786223465865
conduco, -5.860786223465865
te, -5.860786223465865
dico, -5.860786223465865
dicimus, -5.860786223465865
prima, -5.860786223465865
persona, -5.860786223465865
ante, -5.860786223465865
ultimam, -5.860786223465865
septem, -5.860786223465865
litteras, -5.860786223465865
h, -5.860786223465865
f, -5.860786223465865
q, -5.860786223465865
y, -5.860786223465865
z, -5.860786223465865
ceteras, -5.860786223465865
vero, -5.860786223465865
e, -5.860786223465865
i, -5.860786223465865
audio, -5.860786223465865
u, -5.860786223465865
annuo, -5.860786223465865
b, -5.860786223465865
libo, -5.860786223465865
reliqua, -5.860786223465865
sicut, -5.860786223465865
arte, -5.860786223465865
scripta, -5.860786223465865
potest, -5.860786223465865
praeponi, -5.860786223465865
litteraelegero, -5.860786223465865
faveo, -5.860786223465865
favi, -5.860786223465865
faveram, -5.860786223465865
favero, -5.860786223465865
venio, -5.860786223465865
veni, -5.860786223465865
veneram, -5.860786223465865
venero, -5.860786223465865
fugio, -5.860786223465865
fugi, -5.860786223465865
fugeram, -5.860786223465865
fugero, -5.860786223465865
facio, -5.860786223465865
feci, -5.860786223465865
feceram, -5.860786223465865
fecero, -5.860786223465865
sedi, -5.860786223465865
sederam, -5.860786223465865
sedero, -5.860786223465865
fodio, -5.860786223465865
fodi, -5.860786223465865
foderam, -5.860786223465865
fodero, -5.860786223465865
vidi, -5.860786223465865
videram, -5.860786223465865
videro, -5.860786223465865
voveo, -5.860786223465865
vovi, -5.860786223465865
voveram, -5.860786223465865
vovero, -5.860786223465865
foveo, -5.860786223465865
fovifidus, -5.860786223465865
gregis, -5.860786223465865
pastor, -5.860786223465865
solitudinem, -5.860786223465865
formicarum, -5.860786223465865
exemplo, -5.860786223465865
excitatur, -5.860786223465865
post, -5.860786223465865
grande, -5.860786223465865
intervallum, -5.860786223465865
dum, -5.860786223465865
solus, -5.860786223465865
eremo, -5.860786223465865
praeter, -5.860786223465865
caelum, -5.860786223465865
terramque, -5.860786223465865
nihil, -5.860786223465865
coepi, -5.860786223465865
mecum, -5.860786223465865
tacitus, -5.860786223465865
volvere, -5.860786223465865
multa, -5.860786223465865
monachorum, -5.860786223465865
quoque, -5.860786223465865
contuberniifuratum, -5.860786223465865
ficus, -5.860786223465865
dumque, -5.860786223465865
currunt, -5.860786223465865
una, -5.860786223465865
iis, -5.860786223465865
cecidit, -5.860786223465865
tollens, -5.860786223465865
comedi, -5.860786223465865
quoties, -5.860786223465865
ergo, -5.860786223465865
ejus, -5.860786223465865
rei, -5.860786223465865
redit, -5.860786223465865
memoria, -5.860786223465865
plorans, -5.860786223465865
narravit, -5.860786223465865
abbas, -5.860786223465865
macarius, -5.860786223465865
iter, -5.860786223465865
agens, -5.860786223465865
aliquando, -5.860786223465865
eremum, -5.860786223465865
inveni, -5.860786223465865
calvariam, -5.860786223465865
mortui, -5.860786223465865
solum, -5.860786223465865
jacentem, -5.860786223465865
