, -1.9318583955996629
timeo, -3.6389347775976795
non, -3.747148362237912
et, -3.9352005937408516
in, -4.006659557722997
ne, -4.1244425933793805
est, -4.1244425933793805
quod, -4.257973986003902
si, -4.412124665831161
qui, -4.46928307967111
quam, -4.817589773939325
sed, -4.904601150928955
me, -4.99991133073328
quid, -4.99991133073328
te, -5.22305488204749
etiam, -5.22305488204749
cum, -5.22305488204749
ego, -5.22305488204749
iam, -5.356586274672012
mihi, -5.356586274672012
de, -5.356586274672012
quo, -5.356586274672012
esse, -5.51073695449927
enim, -5.51073695449927
ut, -5.693058511293225
ad, -5.693058511293225
se, -5.693058511293225
atque, -5.693058511293225
magis, -5.916202062607435
quos, -5.916202062607435
dum, -5.916202062607435
tibi, -5.916202062607435
inquit, -5.916202062607435
hoc, -5.916202062607435
tu, -5.916202062607435
autem, -5.916202062607435
nihil, -5.916202062607435
vel, -5.916202062607435
quae, -6.203884135059216
vult, -6.203884135059216
casus, -6.203884135059216
id, -6.203884135059216
iudices, -6.203884135059216
illum, -6.203884135059216
saepe, -6.203884135059216
fuisse, -6.203884135059216
nisi, -6.203884135059216
quia, -6.203884135059216
multum, -6.203884135059216
tanta, -6.203884135059216
vitae, -6.203884135059216
sine, -6.203884135059216
causa, -6.203884135059216
vobis, -6.203884135059216
pro, -6.203884135059216
propter, -6.203884135059216
anima, -6.60934924316738
meus, -6.60934924316738
mearum, -6.60934924316738
invidiam, -6.60934924316738
deinde, -6.60934924316738
rei, -6.60934924316738
facile, -6.60934924316738
partim, -6.60934924316738
sunt, -6.60934924316738
immortales, -6.60934924316738
huic, -6.60934924316738
habere, -6.60934924316738
haec, -6.60934924316738
hanc, -6.60934924316738
nescio, -6.60934924316738
potius, -6.60934924316738
omnia, -6.60934924316738
ipsius, -6.60934924316738
reformido, -6.60934924316738
tua, -6.60934924316738
tam, -6.60934924316738
parum, -6.60934924316738
pars, -6.60934924316738
adhuc, -6.60934924316738
partem, -6.60934924316738
neminem, -6.60934924316738
dicere, -6.60934924316738
quem, -6.60934924316738
ille, -6.60934924316738
omnium, -6.60934924316738
credo, -6.60934924316738
tamen, -6.60934924316738
illud, -6.60934924316738
sit, -6.60934924316738
hoste, -6.60934924316738
eo, -6.60934924316738
quidem, -6.60934924316738
mansurumque, -6.60934924316738
proposito, -6.60934924316738
sollicitantium, -6.60934924316738
turba, -6.60934924316738
circumeat, -6.60934924316738
ergo, -6.60934924316738
mutent, -6.60934924316738
impediant, -6.60934924316738
nocet, -6.60934924316738
moratur, -6.60934924316738
utique, -6.60934924316738
brevitate, -6.60934924316738
aut, -6.60934924316738
nec, -6.60934924316738
fortuna, -6.60934924316738
iniuriam, -6.60934924316738
facere, -6.60934924316738
malo, -6.60934924316738
infelix, -6.60934924316738
loqui, -6.60934924316738
animus, -6.60934924316738
corporis, -6.60934924316738
manus, -6.60934924316738
nos, -6.60934924316738
hic, -6.60934924316738
per, -6.60934924316738
ab, -6.60934924316738
custodia, -6.60934924316738
oris, -6.60934924316738
tres, -6.60934924316738
dei, -6.60934924316738
sum, -6.60934924316738
dicit, -6.60934924316738
permittitur, -6.60934924316738
bonum, -6.60934924316738
amare, -6.60934924316738
a, -6.60934924316738
apud, -6.60934924316738
susceptum, -6.60934924316738
plus, -6.60934924316738
amplexus, -6.60934924316738
patrem, -6.60934924316738
mehercules, -6.60934924316738
adiuvate, -6.60934924316738
illa, -7.302496423727326
honorem, -7.302496423727326
secreti, -7.302496423727326
tegimentum, -7.302496423727326
erroris, -7.302496423727326
significant, -7.302496423727326
clament, -7.302496423727326
adversus, -7.302496423727326
confiteor, -7.302496423727326
mea, -7.302496423727326
deus, -7.302496423727326
adquiesco, -7.302496423727326
reprehensione, -7.302496423727326
malarum, -7.302496423727326
viarum, -7.302496423727326
diligamveneno, -7.302496423727326
remedium, -7.302496423727326
dedisse, -7.302496423727326
excusantique, -7.302496423727326
minus, -7.302496423727326
datum, -7.302496423727326
occultandam, -7.302496423727326
facinoris, -7.302496423727326
sane, -7.302496423727326
legem, -7.302496423727326
iuliam, -7.302496423727326
coegitque, -7.302496423727326
coram, -7.302496423727326
cubiculo, -7.302496423727326
posset, -7.302496423727326
velocissimum, -7.302496423727326
ac, -7.302496423727326
praesentaneum, -7.302496423727326
coquere, -7.302496423727326
haedo, -7.302496423727326
expertusgravior, -7.302496423727326
publicae, -7.302496423727326
bellum, -7.302496423727326
morbus, -7.302496423727326
fames, -7.302496423727326
possem, -7.302496423727326
defendere, -7.302496423727326
impendeant, -7.302496423727326
ignoscant, -7.302496423727326
di, -7.302496423727326
velim, -7.302496423727326
populo, -7.302496423727326
romano, -7.302496423727326
probat, -7.302496423727326
ordini, -7.302496423727326
decrevittenetis, -7.302496423727326
privata, -7.302496423727326
vestra, -7.302496423727326
dominante, -7.302496423727326
homine, -7.302496423727326
furioso, -7.302496423727326
ius, -7.302496423727326
perpetuae, -7.302496423727326
possessionis, -7.302496423727326
potuissent, -7.302496423727326
odio, -7.302496423727326
inimicitiarum, -7.302496423727326
inflammatus, -7.302496423727326
libentius, -7.302496423727326
evomere, -7.302496423727326
videar, -7.302496423727326
verius, -7.302496423727326
etenim, -7.302496423727326
siconstituatis, -7.302496423727326
urbem, -7.302496423727326
urbe, -7.302496423727326
alia, -7.302496423727326
premere, -7.302496423727326
urgere, -7.302496423727326
possitis, -7.302496423727326
faciemus, -7.302496423727326
primum, -7.302496423727326
postremo, -7.302496423727326
committam, -7.302496423727326
vestro, -7.302496423727326
beneficio, -7.302496423727326
nostro, -7.302496423727326
consilio, -7.302496423727326
salvi, -7.302496423727326
possimus, -7.302496423727326
vero, -7.302496423727326
totam, -7.302496423727326
italiamliberalitatis, -7.302496423727326
tuae, -7.302496423727326
audivi, -7.302496423727326
patri, -7.302496423727326
tuo, -7.302496423727326
curtio, -7.302496423727326
magno, -7.302496423727326
adiumento, -7.302496423727326
iudicio, -7.302496423727326
capitis, -7.302496423727326
bonitatis, -7.302496423727326
nam, -7.302496423727326
indicat, -7.302496423727326
tot, -7.302496423727326
hominum, -7.302496423727326
fletus, -7.302496423727326
sis, -7.302496423727326
carus, -7.302496423727326
tuis, -7.302496423727326
dolor, -7.302496423727326
debilitataequiorem, -7.302496423727326
reo, -7.302496423727326
praebeat, -7.302496423727326
c, -7.302496423727326
caesar, -7.302496423727326
praestans, -7.302496423727326
singularisque, -7.302496423727326
natura, -7.302496423727326
hunc, -7.302496423727326
metum, -7.302496423727326
minuit, -7.302496423727326
rege, -7.302496423727326
deiotaro, -7.302496423727326
intellego, -7.302496423727326
ceteros, -7.302496423727326
velis, -7.302496423727326
iudicare, -7.302496423727326
moveor, -7.302496423727326
loci, -7.302496423727326
insolentia, -7.302496423727326
quodest, -7.302496423727326
cuius, -7.302496423727326
nulla, -7.302496423727326
fuit, -7.302496423727326
eius, -7.302496423727326
venis, -7.302496423727326
petendo, -7.302496423727326
totum, -7.302496423727326
traxeris, -7.302496423727326
duos, -7.302496423727326
licebit, -7.302496423727326
creari, -7.302496423727326
patricios, -7.302496423727326
creetis, -7.302496423727326
plebeium, -7.302496423727326
aliud, -7.302496423727326
indignosfacturum, -7.302496423727326
negaret, -7.302496423727326
tandem, -7.302496423727326
quinctius, -7.302496423727326
times, -7.302496423727326
superbo, -7.302496423727326
regio, -7.302496423727326
animo, -7.302496423727326
equidem, -7.302496423727326
praeter, -7.302496423727326
deos, -7.302496423727326
fidei, -7.302496423727326
circa, -7.302496423727326
video, -7.302496423727326
minime, -7.302496423727326
aetolis, -7.302496423727326
istucducere, -7.302496423727326
exercitum, -7.302496423727326
hostium, -7.302496423727326
armis, -7.302496423727326
volitare, -7.302496423727326
audiatis, -7.302496423727326
triduo, -7.302496423727326
audietis, -7.302496423727326
multoque, -7.302496423727326
invidiosum, -7.302496423727326
aliquando, -7.302496423727326
emiserim, -7.302496423727326
eiecerim, -7.302496423727326
sint, -7.302496423727326
homines, -7.302496423727326
cumuno, -7.302496423727326
loquimur, -7.302496423727326
fatetur, -7.302496423727326
hostem, -7.302496423727326
semper, -7.302496423727326
volui, -7.302496423727326
murus, -7.302496423727326
interest, -7.302496423727326
his, -7.302496423727326
dissimulant, -7.302496423727326
romae, -7.302496423727326
remanent, -7.302496423727326
nobiscum, -7.302496423727326
dicimus, -7.302496423727326
ullo, -7.302496423727326
modo, -7.302496423727326
fierinon, -7.302496423727326
posse, -7.302496423727326
detorqueri, -7.302496423727326
quamdetorqueri, -7.302496423727326
breviorem, -7.302496423727326
inconstantiainiurias, -7.302496423727326
vulnera, -7.302496423727326
vincula, -7.302496423727326
egestatem, -7.302496423727326
mors, -7.302496423727326
finis, -7.302496423727326
transitus, -7.302496423727326
desinere, -7.302496423727326
idem, -7.302496423727326
coepisse, -7.302496423727326
transire, -7.302496423727326
nusquam, -7.302496423727326
anguste, -7.302496423727326
ero, -7.302496423727326
vale, -7.302496423727326
claranum, -7.302496423727326
condiscipulum, -7.302496423727326
meum, -7.302496423727326
vidiac, -7.302496423727326
boni, -7.302496423727326
amatorem, -7.302496423727326
tuto, -7.302496423727326
tui, -7.302496423727326
melior, -7.302496423727326
potest, -7.302496423727326
rem, -7.302496423727326
pertinet, -7.302496423727326
facias, -7.302496423727326
i, -7.302496423727326
qua, -7.302496423727326
ire, -7.302496423727326
coepisti, -7.302496423727326
isto, -7.302496423727326
habitu, -7.302496423727326
compone, -7.302496423727326
placide, -7.302496423727326
molliter, -7.302496423727326
male, -7.302496423727326
quamparcas, -7.302496423727326
didici, -7.302496423727326
calamitatis, -7.302496423727326
solacium, -7.302496423727326
nosse, -7.302496423727326
sortem, -7.302496423727326
suam, -7.302496423727326
num, -7.302496423727326
maxime, -7.302496423727326
suspicor, -7.302496423727326
ludibria, -7.302496423727326
meorum, -7.302496423727326
nuntiaturus, -7.302496423727326
es, -7.302496423727326
ipsis, -7.302496423727326
quoque, -7.302496423727326
omni, -7.302496423727326
tristiora, -7.302496423727326
supplicio, -7.302496423727326
tyriotes, -7.302496423727326
istudgentis, -7.302496423727326
barbarae, -7.302496423727326
civis, -7.302496423727326
tuam, -7.302496423727326
magnitudinem, -7.302496423727326
novit, -7.302496423727326
horret, -7.302496423727326
cogitationem, -7.302496423727326
paulo, -7.302496423727326
ante, -7.302496423727326
vidimus, -7.302496423727326
eloqui, -7.302496423727326
invicti, -7.302496423727326
spolia, -7.302496423727326
inertissimas, -7.302496423727326
infecturas, -7.302496423727326
interceptum, -7.302496423727326
misericors, -7.302496423727326
fortunane, -7.302496423727326
liber, -7.302496423727326
mellis, -7.302496423727326
absinthii, -7.302496423727326
videatur, -7.302496423727326
sitque, -7.302496423727326
salubrior, -7.302496423727326
studiis, -7.302496423727326
dulcior, -7.302496423727326
quin, -7.302496423727326
ex, -7.302496423727326
minorem, -7.302496423727326
gratiam, -7.302496423727326
ineat, -7.302496423727326
pleraque, -7.302496423727326
inventa, -7.302496423727326
allis, -7.302496423727326
tradita, -7.302496423727326
continebit, -7.302496423727326
habeat, -7.302496423727326
quosdamsine, -7.302496423727326
proficere, -7.302496423727326
hominem, -7.302496423727326
una, -7.302496423727326
virtute, -7.302496423727326
prima, -7.302496423727326
virtus, -7.302496423727326
dixit, -7.302496423727326
senex, -7.302496423727326
res, -7.302496423727326
egressura, -7.302496423727326
corpore, -7.302496423727326
praesentia, -7.302496423727326
venturus, -7.302496423727326
sententia, -7.302496423727326
contra, -7.302496423727326
dataveritatis, -7.302496423727326
testimonio, -7.302496423727326
errores, -7.302496423727326
eorum, -7.302496423727326
merito, -7.302496423727326
perculerunt, -7.302496423727326
quibus, -7.302496423727326
apostolus, -7.302496423727326
dies, -7.302496423727326
observatis, -7.302496423727326
menses, -7.302496423727326
laboraverim, -7.302496423727326
unde, -7.302496423727326
deuteronomio, -7.302496423727326
dominus, -7.302496423727326
plenius, -7.302496423727326
