, -2.232717713362162
venio, -3.4698689163854164
ad, -3.5449041023283305
et, -3.811172080276295
in, -3.863357833446865
est, -4.151039905898646
non, -4.305190585725905
ut, -4.392201962715534
quae, -4.630612986160532
de, -4.630612986160532
forum, -4.7106556938340685
quam, -4.797667070823699
nunc, -4.797667070823699
si, -4.797667070823699
sed, -4.892977250628023
cum, -5.0554961801257985
sit, -5.116120801942233
enim, -5.116120801942233
quo, -5.180659323079804
sunt, -5.249652194566756
quod, -5.249652194566756
qui, -5.3237601667204775
ego, -5.403802874394014
esse, -5.403802874394014
me, -5.403802874394014
te, -5.490814251383644
a, -5.490814251383644
hoc, -5.586124431187969
ex, -5.586124431187969
id, -5.691484946845795
illud, -5.691484946845795
nam, -5.8092679825021785
ibi, -5.942799375126701
quibus, -5.942799375126701
eo, -5.942799375126701
aut, -5.942799375126701
autem, -5.942799375126701
ne, -5.942799375126701
tibi, -6.096950054953959
ea, -6.096950054953959
iam, -6.096950054953959
fit, -6.096950054953959
atque, -6.096950054953959
tum, -6.096950054953959
mihi, -6.096950054953959
ipsum, -6.096950054953959
ab, -6.096950054953959
tantum, -6.096950054953959
ac, -6.096950054953959
locum, -6.096950054953959
nec, -6.279271611747914
per, -6.279271611747914
hac, -6.279271611747914
testis, -6.279271611747914
haec, -6.279271611747914
res, -6.279271611747914
nulla, -6.279271611747914
potest, -6.279271611747914
loco, -6.279271611747914
prius, -6.279271611747914
pro, -6.279271611747914
rerum, -6.502415163062124
sine, -6.502415163062124
inquit, -6.502415163062124
ita, -6.502415163062124
vero, -6.502415163062124
omnia, -6.502415163062124
sum, -6.502415163062124
quid, -6.502415163062124
quoque, -6.502415163062124
modo, -6.502415163062124
ante, -6.502415163062124
illa, -6.502415163062124
alia, -6.502415163062124
vis, -6.502415163062124
quem, -6.502415163062124
tua, -6.502415163062124
pergo, -6.502415163062124
etenim, -6.502415163062124
accedo, -6.502415163062124
ingredior, -6.502415163062124
quicquam, -6.790097235513905
meo, -6.790097235513905
quos, -6.790097235513905
audivi, -6.790097235513905
dum, -6.790097235513905
ille, -6.790097235513905
primum, -6.790097235513905
quis, -6.790097235513905
nihil, -6.790097235513905
quorum, -6.790097235513905
nos, -6.790097235513905
potius, -6.790097235513905
verbis, -6.790097235513905
nomine, -6.790097235513905
neque, -6.790097235513905
eam, -6.790097235513905
animi, -6.790097235513905
se, -6.790097235513905
qua, -6.790097235513905
tuum, -6.790097235513905
o, -6.790097235513905
erat, -6.790097235513905
rem, -6.790097235513905
genus, -6.790097235513905
itaque, -6.790097235513905
tamen, -6.790097235513905
re, -6.790097235513905
satis, -6.790097235513905
primo, -6.790097235513905
homines, -6.790097235513905
illuc, -6.790097235513905
vocat, -6.790097235513905
numquam, -6.790097235513905
tuam, -6.790097235513905
fuit, -6.790097235513905
quidem, -6.790097235513905
illo, -6.790097235513905
secundum, -6.790097235513905
vado, -6.790097235513905
intro, -6.790097235513905
advia, -6.790097235513905
praepositiones, -6.790097235513905
e, -6.790097235513905
mane, -6.790097235513905
participium, -6.790097235513905
discretionem, -6.790097235513905
elocutione, -6.790097235513905
propinquantis, -6.790097235513905
nomini, -6.790097235513905
advio, -6.790097235513905
dico, -7.195562343622069
etsi, -7.195562343622069
eis, -7.195562343622069
omitto, -7.195562343622069
eos, -7.195562343622069
villa, -7.195562343622069
quin, -7.195562343622069
adsum, -7.195562343622069
sub, -7.195562343622069
inde, -7.195562343622069
uno, -7.195562343622069
scio, -7.195562343622069
hunc, -7.195562343622069
senatu, -7.195562343622069
iudicio, -7.195562343622069
dolore, -7.195562343622069
querelam, -7.195562343622069
pertinet, -7.195562343622069
audacia, -7.195562343622069
eruci, -7.195562343622069
fecisse, -7.195562343622069
causa, -7.195562343622069
ducit, -7.195562343622069
fides, -7.195562343622069
nomen, -7.195562343622069
saepe, -7.195562343622069
corporis, -7.195562343622069
diu, -7.195562343622069
quas, -7.195562343622069
multa, -7.195562343622069
maior, -7.195562343622069
haberent, -7.195562343622069
animus, -7.195562343622069
ipso, -7.195562343622069
saepius, -7.195562343622069
catonem, -7.195562343622069
perspicere, -7.195562343622069
certum, -7.195562343622069
populi, -7.195562343622069
immo, -7.195562343622069
suam, -7.195562343622069
populum, -7.195562343622069
facilius, -7.195562343622069
recuperatores, -7.195562343622069
veneram, -7.195562343622069
confessione, -7.195562343622069
testimoniis, -7.195562343622069
confitetur, -7.195562343622069
sententia, -7.195562343622069
auctoritate, -7.195562343622069
accedere, -7.195562343622069
ista, -7.195562343622069
quoniam, -7.195562343622069
fundo, -7.195562343622069
testimonium, -7.195562343622069
testem, -7.195562343622069
tu, -7.195562343622069
quia, -7.195562343622069
integrum, -7.195562343622069
etiam, -7.195562343622069
quantum, -7.195562343622069
illi, -7.195562343622069
summa, -7.195562343622069
magis, -7.195562343622069
civibus, -7.195562343622069
romani, -7.195562343622069
meis, -7.195562343622069
facit, -7.195562343622069
invitus, -7.195562343622069
iis, -7.195562343622069
plus, -7.195562343622069
duplex, -7.195562343622069
videatur, -7.195562343622069
gravis, -7.195562343622069
aliquid, -7.195562343622069
ipse, -7.195562343622069
sapiens, -7.195562343622069
sedi, -7.195562343622069
ferri, -7.195562343622069
tanto, -7.195562343622069
extra, -7.195562343622069
naturam, -7.195562343622069
virtus, -7.195562343622069
bonum, -7.195562343622069
illum, -7.195562343622069
eius, -7.195562343622069
sive, -7.195562343622069
videmus, -7.195562343622069
suis, -7.195562343622069
verba, -7.195562343622069
vel, -7.195562343622069
fiat, -7.195562343622069
optime, -7.195562343622069
ceteris, -7.195562343622069
partibus, -7.195562343622069
habent, -7.195562343622069
proficiscor, -7.195562343622069
similia, -7.195562343622069
siqui, -7.195562343622069
dicat, -7.195562343622069
vitiosum, -7.195562343622069
significationis, -7.195562343622069
duo, -7.195562343622069
diversa, -7.195562343622069
nomina, -7.195562343622069
semper, -7.195562343622069
recipiunt, -7.195562343622069
campania, -7.195562343622069
quando, -7.195562343622069
videtur, -7.195562343622069
ei, -7.195562343622069
temptaverunt, -7.195562343622069
plerique, -7.195562343622069
facere, -7.195562343622069
sicut, -7.195562343622069
praepositio, -7.195562343622069
adiungi, -7.195562343622069
interveniente, -7.195562343622069
trans, -7.195562343622069
tiberim, -7.195562343622069
modum, -7.195562343622069
illinc, -7.195562343622069
quasi, -7.195562343622069
particapium, -7.195562343622069
habet, -7.195562343622069
genera, -7.195562343622069
casus, -7.195562343622069
sumite, -7.195562343622069
spiritu, -7.195562343622069
imperii, -7.195562343622069
penes, -7.195562343622069
belvae, -7.888709524182015
istius, -7.888709524182015
corio, -7.888709524182015
protinus, -7.888709524182015
exue, -7.888709524182015
mearum, -7.888709524182015
reformides, -7.888709524182015
arduum, -7.888709524182015
eodem, -7.888709524182015
momento, -7.888709524182015
simul, -7.888709524182015
praesens, -7.888709524182015
sequentia, -7.888709524182015
sacerdoti, -7.888709524182015
quietem, -7.888709524182015
facienda, -7.888709524182015
praecipio, -7.888709524182015
