, -2.056452023455137
in, -3.355735007585398
si, -3.5380565643793527
ab, -3.5380565643793527
vinco, -3.7612001156935624
tu, -3.7612001156935624
esse, -4.048882188145344
oppianico, -4.048882188145344
non, -4.048882188145344
sed, -4.048882188145344
te, -4.048882188145344
ego, -4.048882188145344
ante, -4.048882188145344
corruptum, -4.454347296253507
aut, -4.454347296253507
habito, -4.454347296253507
est, -4.454347296253507
quoque, -4.454347296253507
iam, -4.454347296253507
constet, -5.147494476813453
illud, -5.147494476813453
iudicium, -5.147494476813453
doceo, -5.147494476813453
ostendo, -5.147494476813453
purgo, -5.147494476813453
habitum, -5.147494476813453
qua, -5.147494476813453
re, -5.147494476813453
etsi, -5.147494476813453
satis, -5.147494476813453
docui, -5.147494476813453
rationem, -5.147494476813453
nullam, -5.147494476813453
huic, -5.147494476813453
corrumpendipatrono, -5.147494476813453
uterer, -5.147494476813453
maius, -5.147494476813453
mihi, -5.147494476813453
ista, -5.147494476813453
victoria, -5.147494476813453
prolubium, -5.147494476813453
cum, -5.147494476813453
causa, -5.147494476813453
tantum, -5.147494476813453
argumento, -5.147494476813453
isto, -5.147494476813453
disce, -5.147494476813453
igitur, -5.147494476813453
magister, -5.147494476813453
sapientissime, -5.147494476813453
utroque, -5.147494476813453
modo, -5.147494476813453
fore, -5.147494476813453
uti, -5.147494476813453
reddam, -5.147494476813453
quod, -5.147494476813453
petis, -5.147494476813453
sive, -5.147494476813453
contra, -5.147494476813453
me, -5.147494476813453
ius, -5.147494476813453
meum, -5.147494476813453
reprimo, -5.147494476813453
inter, -5.147494476813453
duos, -5.147494476813453
parentes, -5.147494476813453
c, -5.147494476813453
aecus, -5.147494476813453
adfectus, -5.147494476813453
exorabit, -5.147494476813453
qui, -5.147494476813453
prior, -5.147494476813453
rogaverit, -5.147494476813453
tempore, -5.147494476813453
certe, -5.147494476813453
miser, -5.147494476813453
coepi, -5.147494476813453
adhuc, -5.147494476813453
integra, -5.147494476813453
es, -5.147494476813453
alligatus, -5.147494476813453
sum, -5.147494476813453
sana, -5.147494476813453
domo, -5.147494476813453
paene, -5.147494476813453
defunctus, -5.147494476813453
carcereepistolam, -5.147494476813453
meam, -5.147494476813453
nisi, -5.147494476813453
flentem, -5.147494476813453
consolari, -5.147494476813453
filius, -5.147494476813453
voluisset, -5.147494476813453
caecitatem, -5.147494476813453
tuam, -5.147494476813453
exisset, -5.147494476813453
noli, -5.147494476813453
mirari, -5.147494476813453
gratia, -5.147494476813453
exoravi, -5.147494476813453
filium, -5.147494476813453
quam, -5.147494476813453
rogares, -5.147494476813453
se, -5.147494476813453
quisquam, -5.147494476813453
figuratione, -5.147494476813453
quadam, -5.147494476813453
hac, -5.147494476813453
malorum, -5.147494476813453
condicione, -5.147494476813453
iudicem, -5.147494476813453
ponat, -5.147494476813453
