, -2.019064234838377
volo, -3.5685591113054436
et, -3.8672102151277987
non, -4.208596466551441
in, -4.250856275841323
est, -4.287490409021103
ut, -4.560357395687744
quod, -4.766489601175417
sed, -4.854596868685684
si, -4.867842095435704
esse, -4.936834966922656
cum, -5.058195823926924
te, -5.058195823926924
hoc, -5.090985646749914
de, -5.1077927650662955
ad, -5.124887198425595
quae, -5.159978518236866
quid, -5.177997023739544
mihi, -5.253504576247689
quam, -5.293509910861388
me, -5.314129198064124
qui, -5.314129198064124
enim, -5.335182607261957
nec, -5.401140575053754
ego, -5.424130093278452
a, -5.4964507548580785
aut, -5.521768562842369
ex, -5.54774404924563
etiam, -5.601811270515905
sit, -5.629982147482601
nam, -5.658969684355854
vel, -5.719594306172288
nihil, -5.818034378985541
tibi, -5.818034378985541
tamen, -5.853125698796811
id, -5.853125698796811
inquit, -5.927233670950533
sunt, -5.927233670950533
quo, -5.927233670950533
ne, -5.966454384103814
modo, -6.049835993042866
nunc, -6.094287755613699
sic, -6.094287755613699
tu, -6.140807771248592
illud, -6.140807771248592
se, -6.140807771248592
quem, -6.140807771248592
autem, -6.189597935418024
potest, -6.189597935418024
iam, -6.352116864915799
tantum, -6.352116864915799
quidem, -6.412741486732234
dicere, -6.412741486732234
ipse, -6.412741486732234
ita, -6.412741486732234
quantum, -6.412741486732234
quibus, -6.477280007869805
quia, -6.477280007869805
re, -6.477280007869805
ac, -6.477280007869805
quoque, -6.477280007869805
nos, -6.477280007869805
nolo, -6.477280007869805
vos, -6.546272879356756
quoniam, -6.546272879356756
ea, -6.546272879356756
eo, -6.546272879356756
vis, -6.546272879356756
hac, -6.620380851510478
dum, -6.620380851510478
ab, -6.620380851510478
aliquid, -6.620380851510478
haec, -6.700423559184014
per, -6.700423559184014
nisi, -6.700423559184014
atque, -6.700423559184014
ante, -6.700423559184014
vero, -6.700423559184014
neque, -6.700423559184014
pro, -6.700423559184014
his, -6.787434936173645
tam, -6.787434936173645
mori, -6.787434936173645
illum, -6.787434936173645
sine, -6.787434936173645
legere, -6.787434936173645
verbis, -6.787434936173645
sum, -6.787434936173645
vult, -6.787434936173645
dico, -6.882745115977969
ubi, -6.882745115977969
sint, -6.882745115977969
alia, -6.882745115977969
eius, -6.882745115977969
omnia, -6.882745115977969
hunc, -6.882745115977969
res, -6.882745115977969
item, -6.882745115977969
illa, -6.882745115977969
nobis, -6.882745115977969
scire, -6.882745115977969
ille, -6.882745115977969
agere, -6.882745115977969
prius, -6.988105631635795
cui, -6.988105631635795
es, -6.988105631635795
idem, -6.988105631635795
eum, -6.988105631635795
ait, -6.988105631635795
audire, -6.988105631635795
hic, -6.988105631635795
contra, -6.988105631635795
animo, -6.988105631635795
illi, -6.988105631635795
unde, -7.105888667292179
quos, -7.105888667292179
die, -7.105888667292179
ipsum, -7.105888667292179
sicut, -7.105888667292179
apud, -7.105888667292179
mea, -7.105888667292179
c, -7.105888667292179
quis, -7.105888667292179
qua, -7.105888667292179
bonum, -7.105888667292179
dici, -7.105888667292179
quomodo, -7.105888667292179
multum, -7.105888667292179
diem, -7.239420059916702
factum, -7.239420059916702
cuius, -7.239420059916702
ipsi, -7.239420059916702
genus, -7.239420059916702
simul, -7.239420059916702
primum, -7.239420059916702
facinus, -7.239420059916702
meum, -7.239420059916702
peto, -7.239420059916702
ista, -7.239420059916702
optime, -7.239420059916702
ipsa, -7.239420059916702
hanc, -7.239420059916702
opus, -7.239420059916702
tua, -7.239420059916702
minus, -7.239420059916702
uti, -7.239420059916702
rerum, -7.239420059916702
rem, -7.239420059916702
satis, -7.239420059916702
habere, -7.239420059916702
meo, -7.239420059916702
esto, -7.239420059916702
iudices, -7.239420059916702
inter, -7.39357073974396
an, -7.39357073974396
illis, -7.39357073974396
m, -7.39357073974396
verborum, -7.39357073974396
multa, -7.39357073974396
necesse, -7.39357073974396
intellegi, -7.39357073974396
igitur, -7.39357073974396
tuis, -7.39357073974396
respondeas, -7.39357073974396
esset, -7.39357073974396
adhuc, -7.39357073974396
erit, -7.39357073974396
possit, -7.39357073974396
rebus, -7.39357073974396
loco, -7.39357073974396
fieri, -7.39357073974396
inquis, -7.39357073974396
vivere, -7.39357073974396
ergo, -7.39357073974396
ius, -7.39357073974396
causa, -7.39357073974396
meis, -7.39357073974396
possum, -7.39357073974396
verba, -7.39357073974396
faciunt, -7.39357073974396
dicit, -7.39357073974396
parricidium, -7.39357073974396
fidem, -7.575892296537915
homo, -7.575892296537915
erat, -7.575892296537915
ei, -7.575892296537915
publica, -7.575892296537915
omnes, -7.575892296537915
omnibus, -7.575892296537915
vim, -7.575892296537915
villae, -7.575892296537915
omnium, -7.575892296537915
partem, -7.575892296537915
commisit, -7.575892296537915
voce, -7.575892296537915
verum, -7.575892296537915
totius, -7.575892296537915
