Frequency,Verb
-4.499138985412301,res
-4.791197432463882,magnus
-4.885922987872719,edo
-4.895318241950362,omnis
-4.987330032617544,possum
-5.211120623747276,habeo
-5.229080290145468,video
-5.376117396883925,dico
-5.39344218054123,facio
-5.411072411917501,multus
-5.551971364079735,alius
-5.590236902158689,hostis
-5.6190158667087315,miles
-5.628795895762372,dies
-5.648647664315103,pars
-5.684365746917182,omne
-5.685665292259268,tempus
-5.693498230480455,causa
-5.733610559878261,animus
-5.751505049754811,homo
-5.762678350352936,legio
-5.77397790560687,do
-5.7969674238315685,mitto
-5.80866346359476,tantus
-5.855323545060822,consilium
-5.856865565412638,primus
-5.894605893395484,unus
-5.9123913258287,urbs
-5.940515594699562,senatus
-5.9472496268809065,rex
-5.959144414533055,nullus
-5.959144414533055,ago
-5.960855278936685,venio
-6.019021452611997,locus
-6.035490260325266,civitas
-6.04662210069411,ito
-6.04662210069411,populus
-6.0541127724232675,iubeo
-6.061659978058651,volo
-6.075006220011545,utor
-6.076927450189439,modus
-6.118150166013393,capio
-6.120156184740259,locum
-6.130247087722222,nihil
-6.136350870660239,copia
-6.159055664353996,bonus
-6.180153493318633,castra
-6.195191370683173,publicus
-6.197358218768263,fero
-6.212659063723564,princeps
-6.237186491719776,virtus
-6.239446379687214,verus
-6.248537351388466,lego
-6.255410230676228,vis
-6.257711727664507,domus
-6.257711727664507,exercitus
-6.273972248536287,parvus
-6.2857509477289,bellus
-6.290501550487498,proelium
-6.290501550487498,bellum
-6.295274829240156,oppidum
-6.295274829240156,neo
-6.300071001503649,imperium
-6.304890287939598,periculum
-6.304890287939598,annus
-6.312163047268677,cognosco
-6.31704110572211,duo
-6.31704110572211,eques
-6.326869194658373,vir
-6.356946649895651,alter
-6.362048701779546,pater
-6.367176918146465,accipio
-6.367176918146465,manus
-6.374918892300081,navis
-6.377512927477127,nomen
-6.382721272584266,gero
-6.393220056682486,relinquo
-6.401167118375017,provincia
-6.403830235794501,peto
-6.409177842121096,spes
-6.411862407491766,filius
-6.450223275364212,sino
-6.490114604391514,exerceo
-6.498873784481395,duco
-6.504756154384462,reliquus
-6.507710366281893,consul
-6.519615268788211,vita
-6.528637886387849,audio
-6.543858880398204,propinquus
-6.5562047162205035,interficio
-6.568704878984735,recipio
-6.575014048178,regnum
-6.578183622939279,queo
-6.581363275856659,paro
-6.597414984867166,mos
-6.600656478791337,sequor
-6.603908514177715,cohors
-6.623645997016037,mors
-6.626973787108711,praesidium
-6.633662775259507,finis
-6.633662775259507,augustus
-6.637024122962212,alium
-6.640396807440852,totus
-6.640396807440852,adeo
-6.643780905425092,civis
-6.647176494426231,teneo
-6.66432957365248,multitudo
-6.66432957365248,corpus
-6.667795781628966,ius
-6.671274046005291,credo
-6.695966658595663,consulo
-6.699544479943547,constituo
-6.7067387555775735,novus
-6.710355396047762,puto
-6.71398516409834,existimo
-6.7176281553768415,opus
-6.724954195468914,ratio
-6.724954195468914,fides
-6.732334302766537,castrum
-6.736044882163073,auxilium
-6.7397692812540555,pecunia
-6.7397692812540555,fortuna
-6.743507603364662,publica
-6.75102643577869,arma
