Frequency,Verb
-3.0389866908859515,ego
-3.5272626745252653,sum
-3.566010526522034,et
-3.7478054441394177,qui
-3.885305993129159,quis
-3.9471899657908245,in
-4.012242757960558,non
-4.1866396934222,hic
-4.305580176016312,is
-4.471241774309711,ut
-4.478503970351495,tu
-4.515627758225694,dico
-4.6033270350842335,ille
-4.638624817165257,cum
-4.71781245851906,si
-4.777916382588766,sed
-4.8934894725943465,ad
-4.935185653371934,edo
-4.9715106781552425,a
-5.033030688779447,possum
-5.06265294481079,de
-5.121889641352377,res
-5.1288486116766805,video
-5.2504798242001,ipse
-5.355139568981316,meus
-5.362169474909574,enim
-5.398079976215344,facio
-5.493938752540697,vos
-5.584431580595978,habeo
-5.599970184023757,aut
-5.61348390319048,atque
-5.615754051725019,volo
-5.6387435699497175,omnis
-5.676662804812011,se
-5.701113900676176,magnus
-5.706076690018305,nec
-5.726177869339392,ex
-5.746691409172495,homo
-5.764992573554899,etiam
-5.7890257729990555,inquit
-5.810884566811555,iste
-5.821995792236626,tuus
-5.824792996857687,quidem
-5.844595624153866,neque
-5.8677180415747205,ac
-5.879482883154307,verus
-5.885417618674121,pater
-5.888398246812259,alius
-5.909515170253182,nihil
-5.921785262844996,deus
-5.949956139811693,autem
-5.982217002029914,tamen
-5.985501077231104,causa
-6.032647855656807,multus
-6.05355454047612,iam
-6.05355454047612,bonus
-6.07131699681596,nam
-6.0930569834523665,puto
-6.134184274876229,idem
-6.1380083713146325,nos
-6.153452693742106,nunc
-6.16519451161879,unus
-6.181067860775079,audio
-6.185075882172618,filius
-6.189100032472344,ne
-6.221889855295334,noster
-6.226065226705815,verbum
-6.234468637502195,omne
-6.242943264493167,per
-6.2472076632796245,ago
-6.273183149682885,nisi
-6.304366077119573,fio
-6.304366077119573,tantus
-6.3226314250968665,suus
-6.327250370953161,quia
-6.336552763615474,tum
-6.360194526672515,vester
-6.364990698936007,tam
-6.389322799595538,vel
-6.3992238705782505,ito
-6.3992238705782505,meum
-6.404211412089289,at
-6.404211412089289,animus
-6.409223953912834,sic
-6.429529220073579,credo
-6.429529220073579,aliquis
-6.445033406609545,pro
-6.450255350590696,scio
-6.450255350590696,eo
-6.45550470647684,quidam
-6.460781763577684,quod
-6.4767821049241245,debeo
-6.4767821049241245,do
-6.493042625795905,vir
-6.49852209156053,iudico
-6.5040317473715,respondeo
-6.509571927747116,venio
-6.532044783599174,nullus
-6.560865222134666,quisque
-6.578564799234067,modus
-6.5905409902807826,tempus
-6.6026623508131275,S
-6.6026623508131275,quaero
-6.608778577830564,sentio
-6.639933745610359,populus
-6.652672771387789,primus
-6.652672771387789,an
-6.652672771387789,hoc
-6.665576176223697,aio
-6.67209085724489,lego
-6.712096191858589,loquor
-6.7608863560280215,apud
-6.775275093480121,quisquam
-6.775275093480121,semper
-6.782547852809201,neo
-6.789873892901274,nomen
-6.789873892901274,publicus
-6.797254000198897,fero
-6.8121796504155725,scribo
-6.8121796504155725,intellego
-6.8121796504155725,accipio
-6.8121796504155725,dominus
-6.8121796504155725,vero
-6.819726856050955,consul
-6.858341692178734,parvus
-6.874215041335025,mors
-6.874215041335025,ita
-6.890344423264908,dies
-6.8985077339040695,queo
-6.8985077339040695,virtus
-6.8985077339040695,nemo
-6.9150370358552795,utor
-6.931844154171661,vita
-6.931844154171661,defendo
-6.94035484383957,gero
-6.94035484383957,oratio
-6.94035484383957,alter
-6.948938587530961,quasi
-6.957596650274076,vis
-6.957596650274076,arbitror
-6.957596650274076,Romanus
-6.9663303302428305,rex
-6.975140959924985,inter
-6.984029907342231,ratio
-6.984029907342231,liber
-6.992998577324991,igitur
-7.00204841284491,contra
-7.020397551513106,vivo
-7.020397551513106,existimo
-7.048568428479802,ius
-7.058137879495953,pono
-7.058137879495953,publica
-7.077555965353055,inquam
-7.077555965353055,duo
-7.077555965353055,civitas
-7.0874082617960665,ergo
-7.097358592649234,itaque
-7.097358592649234,manus
-7.117561299966754,amicus
-7.127817800133943,peto
-7.127817800133943,patior
-7.13818058716949,corpus
-7.13818058716949,annus
-7.1486518870367854,ubi
-7.1486518870367854,sermo
-7.1486518870367854,sino
-7.1486518870367854,voco
-7.1486518870367854,pars
-7.1486518870367854,capio
-7.1592339963673215,senatus
-7.1592339963673215,domus
-7.16992928548407,quoniam
-7.16992928548407,numquam
-7.16992928548407,totus
-7.180740201588286,studium
-7.180740201588286,miser
-7.191669272120476,dum
-7.191669272120476,solus
-7.191669272120476,opus
-7.202719108307061,lex
-7.213892408905186,nego
-7.213892408905186,iudicium
-7.213892408905186,modo
-7.225191964159119,consilium
-7.225191964159119,refero
-7.225191964159119,mitto
-7.225191964159119,certus
-7.225191964159119,suum
-7.2366206599827425,cur
-7.2366206599827425,doceo
-7.2366206599827425,quantus
-7.2366206599827425,genus
-7.248181482383818,urbs
-7.248181482383818,ullus
-7.248181482383818,sententia
-7.248181482383818,relinquo
-7.2598775221470095,M
-7.2598775221470095,invenio
-7.2598775221470095,locus
-7.2598775221470095,iudex
-7.2598775221470095,quid
-7.271711979794012,civis
-7.283688170840728,disco
-7.295809531373073,oculus
-7.308079623964887,tunc
-7.308079623964887,periculum
-7.308079623964887,C
-7.308079623964887,aetas
-7.308079623964887,mos
-7.308079623964887,malus
-7.320502143963444,post
-7.320502143963444,frater
-7.320502143963444,gratia
-7.320502143963444,vox
-7.333080926170305,oporteo
-7.333080926170305,inimicus
-7.3458199519477345,orator
-7.358723356783642,fortuna
-7.371795438350995,terra
-7.371795438350995,appello
-7.371795438350995,magus
-7.385040665101015,sequor
-7.385040665101015,fortis
-7.385040665101015,soleo
-7.385040665101015,antes
-7.398463685433156,cognosco
-7.398463685433156,sine
-7.398463685433156,ante
-7.412069337488934,nosco
-7.425862659621271,propter
