Frequency,Verb
-3.160841565875507,is
-3.540403283034823,sum
-3.58379707494345,et
-3.719988860009903,qui
-3.9248577910806315,in
-4.066412083222204,quis
-4.3645020166146455,ei
-4.419055163409044,non
-4.467713410158589,ut
-4.48095863690861,cum
-4.490123311558173,a
-4.674713729223319,ad
-4.680694097324805,si
-4.695368508254065,hic
-4.782538000510053,edo
-4.939380472003022,se
-5.045851481944876,dico
-5.1135224761739115,ille
-5.116167980362336,sed
-5.1946666268489885,ex
-5.258250493976108,de
-5.2782974259214,res
-5.319638766077841,ipse
-5.349294975660729,vel
-5.381583252038365,possum
-5.443936482755418,habeo
-5.522295559511622,do
-5.560800822894729,video
-5.585906744025805,facio
-5.609487686614712,aut
-5.624788531570013,suus
-5.626993604128327,per
-5.635862841869106,enim
-5.644811447445121,autem
-5.647061167179136,omnis
-5.67214800160887,nec
-5.74147085165021,etiam
-5.779306385992914,magnus
-5.896446954553636,ego
-5.934743239630917,causa
-5.959060547281623,tu
-5.996682539071207,idem
-6.029152924101991,atque
-6.042442156220674,neque
-6.042442156220674,fio
-6.0525262752873,tamen
-6.059305962272679,volo
-6.066131927343079,ac
-6.097438831968123,alius
-6.111673947789995,filius
-6.115264615920723,pro
-6.178365322288667,homo
-6.186057667911823,quidem
-6.201622184452934,S
-6.221424811749114,rex
-6.229456983446378,tempus
-6.26642217767985,post
-6.26642217767985,debeo
-6.29184727604566,deus
-6.29614835794505,pater
-6.300468019089567,multus
-6.31354010065692,ito
-6.335713958151242,nullus
-6.340208347739081,bonus
-6.35381399979486,verus
-6.362988376070901,nam
-6.362988376070901,ius
-6.367607321927196,cio
-6.381593563901935,unus
-6.3957781988938915,aliquis
-6.405347649910042,queo
-6.41500956082178,iam
-6.4198757504729524,quod
-6.424765735767144,nihil
-6.429679750569573,ago
-6.434618032210156,tum
-6.459682000873372,dies
-6.485390357583579,lego
-6.490612301564731,omne
-6.495861657450875,nomen
-6.506443766781412,ne
-6.511777112756774,quisque
-6.511777112756774,accipio
-6.517139055898159,quidam
-6.522529904533036,venio
-6.544388698345535,imperator
-6.544388698345535,quia
-6.544388698345535,nisi
-6.544388698345535,dominus
-6.561102179319275,pars
-6.566735997037531,utor
-6.572401734573209,eo
-6.601222173108701,primus
-6.607087292561099,iubeo
-6.607087292561099,tuus
-6.630897941254817,suum
-6.649135528804599,apud
-6.655289394378976,parvus
-6.655289394378976,mitto
