Frequency,Verb
-3.1630724658438107,nos
-3.3896583613489937,et
-3.467154028130568,sum
-3.7121341788441886,qui
-3.9292708152887124,in
-3.9517016622768946,quis
-4.185774284123295,non
-4.280415791217984,is
-4.428457716556921,hic
-4.503034270322702,ut
-4.6612395280567895,ad
-4.67283610177173,ille
-4.730452034949851,dico
-4.749579437213995,a
-4.764808157915819,si
-4.805701197869658,cum
-4.809259920486653,edo
-4.854846664938547,sed
-5.043156263577124,noster
-5.072872735905602,ipse
-5.108295565748086,possum
-5.109498211713846,de
-5.21072235480516,enim
-5.282477264335484,res
-5.28965604606249,aut
-5.339888171548823,deus
-5.413763070633083,video
-5.450311989163197,tu
-5.486491645740698,omnis
-5.51315989282286,facio
-5.563031722863033,ex
-5.593803381529787,nec
-5.603617002978111,etiam
-5.652111352916722,habeo
-5.6900906009819385,autem
-5.692243454343039,per
-5.75448576322026,magnus
-5.787122692533282,ego
-5.794257086647157,alius
-5.820860832165133,homo
-5.8233148211267,volo
-5.853242241668172,se
-5.8685486629508485,atque
-5.871122666946021,ac
-5.889328631442593,vos
-5.965659949635998,quidem
-5.971341783103429,bonus
-5.988583589537935,tamen
-6.003182388959088,nihil
-6.0209870135925945,causa
-6.0360702558039225,idem
-6.0700766237891175,fio
-6.073226232692014,verus
-6.082735020661041,multus
-6.121700989194425,iste
-6.125017741820419,iam
-6.13503452006389,neque
-6.155374204301013,nam
-6.165701318456862,suus
-6.172645790809673,omne
-6.190220935631181,vel
-6.197338403400045,quia
-6.200916224747929,unus
-6.211727140852145,aliquis
-6.222656211384335,apud
-6.244879348169045,ito
-6.263783502808198,ne
-6.283051921674074,pro
-6.283051921674074,nunc
-6.283051921674074,quisque
-6.290864461410869,inter
-6.290864461410869,do
-6.322739669941317,quod
-6.330869796024568,tuus
-6.339066563228746,verbum
-6.343190280412608,nisi
-6.34733107307864,eo
-6.351489083227303,sic
-6.3725424924251355,ago
-6.389710296047501,debeo
-6.402782377614853,credo
-6.424956235109176,quidam
-6.456849598885129,ergo
-6.466151991547443,S
-6.470835840859869,venio
-6.470835840859869,nullus
-6.480269873093228,animus
-6.480269873093228,tantus
-6.485020475851826,modus
-6.4945899268679765,lego
-6.548924277831306,tempus
-6.554013347338778,dominus
-6.559128448005548,puto
-6.5798545785226645,primus
-6.590380991509652,scio
-6.601019389714708,utor
-6.61177218149097,inquit
-6.61177218149097,an
-6.61177218149097,nomen
-6.633630975303469,pars
-6.673072707354765,ratio
-6.673072707354765,vester
-6.673072707354765,vita
-6.678836412071515,audio
-6.702229291646221,corpus
-6.708164027166036,tam
-6.708164027166036,sicut
-6.732261578745096,scribo
-6.738377805762532,ita
-6.756954191335468,mors
-6.756954191335468,igitur
-6.756954191335468,filius
-6.7695329735423275,sino
-6.7695329735423275,parvus
-6.7695329735423275,fero
-6.775882201220987,quaero
-6.808247485723018,pater
-6.848521384860958,accipio
-6.85539426414872,sequor
-6.862314706993294,nascor
-6.862314706993294,hoc
-6.862314706993294,populus
-6.862314706993294,contra
-6.876300948968034,dies
-6.883368116191126,loquor
-6.890485583959991,doceo
-6.904874321412089,queo
-6.912147080741169,virtus
-6.919473120833242,Romanus
-6.926853228130865,tum
-6.926853228130865,dum
-6.926853228130865,vivo
-6.934288206618383,quisquam
-6.934288206618383,iudico
-6.934288206618383,neo
-6.941778878347541,vir
-6.941778878347541,intellego
-6.949326083982924,sentio
-6.949326083982924,post
-6.9723156022076225,ius
-6.9800977426496775,malus
-7.011846440964257,genus
-7.011846440964257,oratio
-7.019943651196877,liber
-7.028106961836038,totus
-7.028106961836038,lex
-7.036337460972553,quasi
-7.053004513457765,semper
-7.053004513457765,voco
-7.053004513457765,pono
-7.069954071771538,nemo
-7.069954071771538,quoniam
-7.069954071771538,at
-7.069954071771538,mitto
-7.07853781546293,certus
-7.07853781546293,urbs
-7.087195878206044,Christus
-7.095929558174799,vero
-7.095929558174799,fides
-7.1136291352742,vis
-7.1225978052569605,alter
-7.1225978052569605,suum
-7.131647640776879,rex
-7.140780124340151,terra
-7.140780124340151,propter
-7.1499967794450745,appello
-7.159299172107389,capio
-7.1686889124572275,locus
-7.1686889124572275,ubi
-7.187737107427922,alium
-7.197399018339659,tunc
-7.207155193285024,quoque
-7.217007489728035,duo
-7.2269578205812035,hostis
-7.2269578205812035,no
-7.2269578205812035,oporteo
-7.2269578205812035,itaque
-7.2269578205812035,civitas
-7.2269578205812035,opus
-7.247160527898723,relinquo
-7.247160527898723,respondeo
-7.247160527898723,duco
-7.247160527898723,patior
-7.257417028065912,ideo
-7.257417028065912,ostendo
-7.267779815101458,sententia
-7.267779815101458,nego
-7.267779815101458,cur
-7.267779815101458,Graecus
-7.267779815101458,quantus
-7.278251114968754,peto
-7.278251114968754,teneo
-7.278251114968754,invenio
-7.299528513416038,modo
-7.299528513416038,publicus
-7.310339429520254,talis
-7.310339429520254,sine
-7.321268500052445,solus
-7.332318336239029,gero
-7.332318336239029,malum
-7.343491636837155,e
-7.343491636837155,iudicium
-7.354791192091088,unde
-7.366219887914711,meus
-7.366219887914711,locum
-7.377780710315787,aio
-7.377780710315787,mos
-7.377780710315787,imperator
-7.389476750078978,nosco
-7.389476750078978,antes
-7.389476750078978,ante
-7.401311207725981,spiritus
-7.401311207725981,nomino
-7.401311207725981,magus
-7.413287398772696,sub
-7.413287398772696,quando
-7.413287398772696,deinde
-7.425408759305041,littera
-7.425408759305041,moveo
-7.425408759305041,iubeo
-7.437678851896855,disco
-7.437678851896855,longus
-7.450101371895413,exemplum
-7.450101371895413,gratia
-7.450101371895413,annus
-7.462680154102273,cognosco
-7.462680154102273,valeo
-7.462680154102273,fortuna
-7.475419179879703,ullus
-7.475419179879703,pertineo
-7.475419179879703,nescio
-7.48832258471561,trado
-7.48832258471561,bellus
-7.48832258471561,bellum
-7.501394666282963,consilium
-7.501394666282963,cio
-7.501394666282963,anima
-7.501394666282963,manus
-7.514639893032984,quemadmodum
-7.514639893032984,humanus
-7.514639893032984,morior
-7.514639893032984,aliqui
-7.528062913365124,sermo
-7.528062913365124,gens
-7.528062913365124,existimo
-7.5416685654209035,voluptas
-7.5416685654209035,usque
-7.5416685654209035,frater
-7.5416685654209035,similis
-7.5416685654209035,refero
-7.5416685654209035,finis
-7.5416685654209035,cado
-7.555461887553239,voluntas
-7.555461887553239,quomodo
-7.555461887553239,quisquis
-7.555461887553239,probo
-7.555461887553239,domus
-7.555461887553239,novus
-7.555461887553239,multum
-7.555461887553239,amicus
-7.569448129527979,bene
-7.569448129527979,timeo
-7.569448129527979,sancio
-7.569448129527979,bonum
-7.583632764519936,sive
-7.583632764519936,oculus
-7.583632764519936,o
-7.583632764519936,uterque
-7.598021501972035,rego
-7.598021501972035,defendo
-7.598021501972035,via
-7.598021501972035,suscipio
-7.598021501972035,colo
-7.598021501972035,adversus
-7.6126203013931875,auctoritas
-7.6126203013931875,saepe
-7.6126203013931875,princeps
-7.627435387178329,periculum
-7.627435387178329,mens
-7.627435387178329,nolo
-7.627435387178329,praecipio
-7.642473264542869,secundus
-7.642473264542869,tamquam
-7.642473264542869,simul
-7.642473264542869,pervenio
-7.642473264542869,consul
-7.642473264542869,suo
-7.657740736673658,coepio
-7.657740736673658,cogito
-7.657740736673658,dolor
-7.657740736673658,praesto
-7.657740736673658,liceo
-7.673244923209623,aliquando
-7.673244923209623,vox
-7.673244923209623,soleo
-7.673244923209623,vitium
-7.673244923209623,ceterus
-7.688993280177762,senatus
-7.688993280177762,numquam
-7.688993280177762,libertas
-7.688993280177762,laudo
-7.688993280177762,veritas
-7.688993280177762,diligo
-7.688993280177762,vinco
-7.688993280177762,fallo
-7.704993621524203,necesse
-7.704993621524203,imperium
-7.704993621524203,sto
-7.704993621524203,quid
-7.721254142395983,d
-7.721254142395983,necessarius
-7.721254142395983,super
-7.737783444347194,sanctus
-7.737783444347194,pereo
-7.754590562663575,crimen
-7.754590562663575,dignus
-7.754590562663575,constituo
-7.754590562663575,potis
-7.754590562663575,sero
-7.754590562663575,labor
-7.771684996022875,diu
-7.771684996022875,convenio
-7.771684996022875,arbitror
-7.771684996022875,censeo
-7.771684996022875,signum
-7.771684996022875,consulo
-7.771684996022875,ars
-7.789076738734744,spes
-7.789076738734744,civis
-7.789076738734744,salus
-7.789076738734744,pario
-7.789076738734744,solum
-7.806776315834145,ira
-7.806776315834145,ibi
-7.806776315834145,disciplina
-7.806776315834145,efficio
-7.806776315834145,concedo
-7.806776315834145,vetus
-7.806776315834145,adverto
-7.806776315834145,pecco
-7.806776315834145,facilis
-7.824794821336823,significo
-7.824794821336823,opinio
-7.824794821336823,necessitas
-7.824794821336823,denique
-7.824794821336823,summus
-7.824794821336823,memoria
-7.824794821336823,sol
