Frequency,Verb
-3.373579033257838,ego
-3.5436201054202807,sum
-3.5512247048055,tu
-3.5600848752225343,et
-3.7426460636695538,qui
-3.875590705118409,quis
-4.000378507915996,in
-4.063748121848585,non
-4.240477865376762,hic
-4.2942822696224905,is
-4.48203939980517,ut
-4.558467020412609,ille
-4.576747351346788,dico
-4.647803439137846,cum
-4.69140141789486,si
-4.855950804943017,edo
-4.863483797250562,sed
-4.892897682456856,ad
-4.956528115058261,a
-5.065275333460527,possum
-5.13719129667944,de
-5.172608151777171,res
-5.191672853982161,video
-5.268948905358727,tuus
-5.313400667929561,ipse
-5.342475397629805,enim
-5.39789993162967,facio
-5.54472980383021,meus
-5.57122977723166,habeo
-5.573790598093334,aut
-5.614345534259752,omnis
-5.615681539802495,volo
-5.63730400381566,ex
-5.718371826904441,magnus
-5.718371826904441,iste
-5.728796344240326,inquit
-5.746923728832883,se
-5.756112154887289,etiam
-5.766939793539352,quidem
-5.776314862204808,nec
-5.77945951888428,atque
-5.81471958184076,homo
-5.8892040836506405,vos
-5.934135270921029,verus
-5.93966523893049,deus
-5.9583224965350325,nos
-5.962096085918672,ac
-5.965883969235609,causa
-5.969686255185348,alius
-5.983109275517489,autem
-5.990861252321807,nihil
-5.990861252321807,bonus
-6.01847641935478,neque
-6.055140403726371,pater
-6.055140403726371,tamen
-6.063473785285516,iam
-6.108401126882766,puto
-6.126061630034717,idem
-6.1417746356992735,multus
-6.162346789774482,nam
-6.164658929532861,ne
-6.188079203740959,nunc
-6.209636924815938,filius
-6.21936936173417,nisi
-6.22181734337281,noster
-6.231669639815822,verbum
-6.231669639815822,omne
-6.231669639815822,ago
-6.234147955830289,per
-6.24161997066899,unus
-6.25927490590771,audio
-6.338681683512121,suus
-6.3469804863268156,do
-6.355348735997333,tantus
-6.355348735997333,quia
-6.358153786924941,fio
-6.358153786924941,eo
-6.369453342178875,tam
-6.383759737830112,scio
-6.386645742719248,ito
-6.386645742719248,an
-6.395354070611032,tum
