Total,Ambiguous,Word,POS
9703,9703/0/0,et,conj. adv.
7503,7503/0/0,in/indu,prep. + acc. ou + abl.
7248,3783/5092/3465,sum/es/esse/fui,PossibleVerb.
6921,0/12259/6921,qui/quae/quod,pron. rel.
6432,4157/2789/2275,is/ea/id,adj. et pron.
5163,0/10800/5163,quis/quae/quid,pron. interr.
3690,3690/0/0,ad,prep. + acc.
3434,3434/0/0,ut/utut,conj. sub. + ind. ou subj.
3071,3071/0/0,non,adv. neg.
3064,2330/1027/734,se/sui,pron. refl.
2699,1856/989/843,hic/haec/hoc,adj. pron.
2519,2128/480/391,res/rei,f.
2426,1359/1653/1067,a/ab/abs,prep. + abl.
2090,2090/0/0,ex,prep. + abl.
2006,2006/0/0,atque,conj. coord.
1881,1331/613/550,magnus,adj.
1751,1751/0/0,ac,conj. coord.
1720,1125/681/595,ille/illa/illud,pron.
1695,649/1816/1046,omnis,e
1673,1673/0/0,sed,conj.
1664,0/4706/1664,edo/edis/esse/edi/esum,PossibleVerb.
1662,2/3319/1660,cum/quom/quum,prep. + abl. et adv.
1659,0/3319/1659,cum,conj.
1569,1569/0/0,aut,conj. coord.
1555,1555/0/0,si/sei,conj. sub.
1546,1528/19/18,possum/potes/posse/potui,PossibleVerb.
1533,1533/0/0,de,prep. + abl.
1502,1502/0/0,ipse/ipsa/ipsum,pron.
1491,1491/0/0,neque,conj. coord.
1408,1408/0/0,Caesar/aris,m.
1264,351/1880/913,suus/a/um,adj. et pron.
1260,1260/0/0,per,prep. + acc.
1236,1120/127/116,habeo/es/ere/bui/bitum,PossibleVerb.
1214,1078/176/136,video/es/ere/uidi/uisum,PossibleVerb.
1048,1048/0/0,etiam,adv.
1030,892/250/138,facio/is/ere/feci/factum,PossibleVerb.
1015,715/343/300,dico/is/ere/dixi/dictum,PossibleVerb.
1012,59/1517/953,multus,adj.
947,611/403/336,idem/eadem/idem,adj. pron.
935,877/80/58,ego/mei,pron.
879,350/853/529,alius/a/ud,pron.
849,517/480/332,quisque/quaeque/quidque,pron.
846,731/154/115,hostis/is,m.
822,564/380/258,miles/itis,m.
814,608/293/206,dies/ei,m. et f.
801,801/0/0,nec,adv.
798,533/372/265,pars/partis,f.
776,776/0/0,enim,conj.
770,0/1816/770,omne/is,n.
769,769/0/0,tempus/oris,n.
763,763/0/0,causa/caussa/ae,f.
737,737/0/0,tamen/attamen,adv.
733,526/257/207,animus/i,m.
723,723/0/0,jam/jamjam,adv.
723,678/60/45,noster/tra/trum,adj. pron.
720,720/0/0,homo/minis,m.
712,712/0/0,legio/onis,f.
704,477/288/227,do/das/dare/dedi/datum,PossibleVerb.
688,582/119/106,mitto/is/ere/misi/missum,PossibleVerb.
680,416/330/264,tantus,adj.
673,347/557/326,fio/is/fieri/factus sum,PossibleVerb.
