Word,Count
"omnis",23774
"possum",20034
"res",18342
"facio",17957
"alius",15963
"habeo",14748
"multus",13344
"video",12842
"verus",10200
"homo",9732
"deus",9696
"imperator",9393
"do",9121
"magnus",8973
"causa",8848
"locus",8812
"modus",8710
"unus",8415
"pars",8275
"primus",8166
"bonus",7908
"dies",7731
"tempus",7687
"rex",7241
"nihil",7111
"nullus",6917
"pater",6876
"animus",6640
"tantus",6627
"bellum",6549
"filius",6484
"publicus",6180
"venio",6135
"urbs",6037
"nomen",5990
"ago",5830
"debeo",5792
"genus",5686
"consul",5473
"lex",5274
"corpus",5185
"duo",5165
"parvus",5107
"annus",5100
"hostis",5060
"alter",4895
"verbum",4850
"vir",4840
"accipio",4831
"solus",4747
"ratio",4464
"reus",4439
"vis",4438
"mitto",4405
"exercitus",4341
"miles",4262
"senatus",4185
"kalendae",4103
"vita",4099
"credo",4026
"magis",3986
"fero",3955
"civitas",3913
"audio",3898
"opus",3761
"natura",3731
"populus",3673
"terra",3660
"jus",3656
"puto",3652
"pono",3559
"manus",3552
"ceterus",3526
"mors",3514
"fides",3495
"virtus",3486
"scribo",3467
"quaero",3392
"scio",3382
"peto",3362
"certus",3341
"castrum",3318
"inquiam",3297
"dominus",3286
"sequor",3276
"mille",3241
"relinquo",3220
"capio",3214
"duco",3095
"oratio",3001
"domus",3000
"teneo",2993
"longus",2967
"legatus",2929
"uterque",2929
"imperium",2910
"consilium",2893
"sententia",2808
"gero",2801
"iudicium",2788
"licet",2779
"malus",2766
"satis",2741
"provincia",2716
"appello",2683
"princeps",2630
"iudex",2628
"nemo",2628
"voco",2618
"invenio",2610
"volo",2574
"ager",2573
"vinco",2570
"fortuna",2549
"singulus",2532
"aqua",2523
"frater",2512
"honor",2479
"facilis",2477
"oportet",2466
"signum",2439
"gens",2429
"numerus",2421
"ullus",2414
"tres",2411
"intellego",2409
"potestas",2407
"trado",2395
"arma",2393
"maximus",2355
"usus",2336
"nascor",2334
"pecunia",2323
"ordo",2309
"gratia",2287
"talis",2286
"dux",2285
"refero",2282
"regnum",2262
"mos",2241
"dico",2221
"spes",2221
"eques",2203
"vox",2199
"anima",2188
"aetas",2179
"patior",2178
"constituo",2172
"saepe",2170
"medius",2168
"similis",2154
"oculus",2150
"ars",2148
"tuuus",2144
"loquor",2131
"proprius",2128
"jubeo",2118
"cognosco",2116
"periculum",2111
"finis",2099
"unde",2097
"praesto",2095
"vivo",2080
"novus",2073
"reddo",2067
"paucus",2058
"doceo",2058
"recipio",2050
"consto",2049
"sanctus",2048
"mater",2045
"valeo",2036
"caput",2021
"copia",2002
"coepio",2000
"velut",1967
"navis",1967
"officium",1958
"tertius",1956
"convenio",1956
"pax",1938
"tribunus",1927
"acies",1917
"species",1915
"moveo",1912
"ostendo",1905
"legio",1903
"sermo",1878
"dolor",1870
"studium",1861
"humanus",1856
"libertas",1850
"liber",1842
"intro",1838
"alienus",1836
"plebs",1830
"summus",1830
"actio",1825
"reliquus",1820
"communis",1816
"efficio",1815
"auctoritas",1801
"respondeo",1791
"civis",1790
"gravis",1788
"proelium",1784
"nox",1782
"sentio",1780
"quantus",1778
"servus",1771
"mens",1770
"mare",1754
"accedo",1752
"quantum",1751
"metus",1744
"auctor",1742
"cogo",1741
"spiritus",1740
"pervenio",1736
"ajo",1696
"potius",1675
"labor",1673
"pes",1671
"poena",1663
"voluntas",1663
"vetus",1660
"vitium",1657
"secundus",1655
"litterae",1652
"cura",1650
"ius",1648
"casus",1648
"nego",1648
"redeo",1646
"pertineo",1632
"summa",1626
"socius",1625
"gloria",1620
"concedo",1617
"iubeo",1616
"exemplum",1612
"praesidium",1609
"caro",1602
"utor",1598
"amplus",1597
"plus",1585
"memoria",1574
"crimen",1559
"existimo",1556
"aequus",1556
"via",1556
"diu",1555
"praetor",1554
"nosco",1553
"persona",1551
"prius",1546
"proximus",1543
"suscipio",1542
"auxilium",1538
"ingenium",1538
"uxor",1535
"probo",1529
"defendo",1525
"secundum",1518
"constantinopoli",1515
"supra",1514
"plurimus",1514
"bene",1509
"uti",1496
"mulier",1493
"multitudo",1493
"ferus",1493
"prior",1490
"placeo",1487
"quando",1484
"circa",1481
"superus",1472
"divinus",1471
"proficiscor",1467
"sol",1459
"praeter",1458
"sanguis",1456
"solo",1420
"par",1413
"posterus",1407
"ideo",1407
"morior",1403
"consulatus",1398
"necesse",1398
"regio",1396
"tollo",1393
"audeo",1385
"patria",1384
"sumo",1383
"voluptas",1383
"mons",1379
"episcopus",1378
"sto",1378
"orator",1368
"necessarius",1368
"cunctus",1368
"servo",1366
"dignitas",1365
"brevis",1363
"filia",1359
"equus",1356
"salus",1349
"caelum",1349
"contineo",1348
"forma",1346
"sacer",1342
"solvo",1337
"transeo",1313
"munus",1312
"parens",1311
"forte",1309
"fugio",1305
"praesens",1301
"oppidum",1296
"fortis",1295
"ingens",1289
"timeo",1288
"censeo",1283
"pugna",1277
"negotium",1275
"statim",1273
"prope",1272
"rectus",1267
"diocl",1263
"maxim",1263
"victoria",1263
"diversus",1261
"excipio",1260
"latus",1251
"clarus",1248
"universus",1247
"orior",1246
"restituo",1246
"iniuria",1244
"quaestio",1241
"scelus",1240
"qualis",1238
"dignus",1228
"decerno",1220
"laudo",1214
"postquam",1212
"quamquam",1208
"soleo",1195
"spatium",1195
"confero",1186
"necessitas",1183
"amitto",1175
"puer",1174
"sensus",1173
"testamentum",1169
"impetus",1167
"vinum",1166
"deduco",1162
"cado",1161
"pr",1160
"cibus",1159
"initium",1159
"rursus",1155
"liberi",1153
"ops",1148
"quin",1146
"fama",1142
"nescio",1141
"certamen",1140
"iustus",1140
"instituo",1139
"prohibeo",1134
"propono",1134
"permitto",1133
"procedo",1132
"ecclesia",1130
"occupo",1129
"fuga",1128
"quinque",1127
"retineo",1126
"interficio",1120
"quattuor",1120
"quamvis",1109
"totus",1109
"sanus",1107
"tot",1107
"ignis",1107
"familia",1101
"addo",1100
"dubius",1099
"affero",1097
"templum",1094
"cedo",1090
"umquam",1089
"contendo",1088
"appareo",1088
"inimicus",1086
"religio",1086
"consequor",1083
"motus",1077
"disciplina",1073
"animal",1072
"omnino",1071
"postulo",1071
"reperio",1070
"magistratus",1070
"flumen",1068
"possessio",1064
"beneficium",1064
"magnitudo",1062
"tueor",1061
"scilicet",1061
"classis",1057
"amicitia",1057
"infero",1051
"plenus",1051
"nolo",1051
"sapiens",1048
"aurum",1048
"pugno",1047
"morbus",1046
"conditio",1040
"disco",1039
"significo",1037
"augeo",1031
"exigo",1029
"utilis",1024
"agmen",1023
"ingredior",1018
"heres",1015
"muto",1012
"traho",1010
"colo",1008
"contrarius",1007
"sustineo",1005
"nomino",1003
"antiquus",1003
"aliquando",1001
"lux",1000
"meritum",999
"dimitto",994
"murus",993
"femina",989
"maneo",986
"fructus",986
"praecipio",983
"ira",978
"huiusmodi",977
"suspicio",974
"statuo",973
"nobilis",969
"hereditas",963
"forum",963
"praeda",961
"principium",955
"honestus",954
"mortuus",951
"extremus",950
"specto",948
"cogito",947
"beatus",947
"miser",942
"perficio",942
"desidero",941
"libero",941
"iudico",941
"rego",938
"levis",937
"arbor",936
"creo",934
"ignoro",931
"vulnus",931
"testis",927
"adhibeo",927
"plerusque",925
"pereo",924
"consuetudo",921
"status",921
"porta",920
"parus",919
"privo",919
"que",917
"decem",916
"perdo",914
"victor",908
"committo",905
"dexter",904
"rogo",903
"quartus",899
"integer",897
"parum",897
"amor",897
"laus",892
"veritas",891
"pretium",890
"adversus",890
"quippe",886
"praeceptum",885
"adicio",884
"damno",883
"iterum",882
"extra",882
"maritus",881
"mensis",880
"quemadmodum",879
"incipio",879
"defero",875
"civilis",873
"curo",873
"mundum",873
"dubito",872
"opinio",872
"divido",869
"falsus",869
"aliquot",868
"praebeo",867
"converto",867
"eligo",867
"facultas",866
"vindico",866
"paene",864
"tandem",861
"impero",859
"ultra",858
"odium",855
"quomodo",854
"materia",854
"expono",852
"orbis",852
"nuntio",849
"varius",849
"misceo",846
"naturalis",842
"contingo",842
"paro",842
"instruo",835
"paulum",835
"impono",835
"adeo",832
"caveo",832
"utrum",832
"lego",830
"praeterea",829
"facies",828
"contraho",825
"utilitas",823
"arbitror",822
"perpetuus",822
"error",821
"gradus",821
"cursus",819
"hora",817
"contio",815
"omitto",814
"intersum",812
"caedes",812
"absum",811
"conficio",811
"gladius",811
"alo",810
"habitus",805
"cupiditas",805
"notus",803
"supplicium",802
"oleum",801
"obtineo",797
"desum",797
"procul",797
"invidia",796
"cohors",791
"exerceo",790
"cupio",789
"evenio",788
"altus",788
"reor",786
"vero",785
"cerno",785
"matrimonium",784
"opprimo",782
"dominium",781
"melius",779
"difficilis",779
"consulo",776
"auris",775
"ulterior",774
"iuvenis",772
"interdum",770
"subeo",770
"turpis",768
"observo",768
"transfero",768
"praemium",768
"deficio",767
"insula",766
"contemno",765
"partim",764
"magister",764
"amo",763
"diligo",761
"discedo",757
"libido",755
"libra",753
"noceo",750
"descendo",749
"pedes",744
"viginti",744
"male",742
"aperio",740
"societas",739
"egredior",738
"nondum",737
"facinus",737
"sufficio",736
"laetus",736
"militia",735
"membrum",733
"nimium",731
"adversarius",730
"consultum",728
"excito",728
"inferus",727
"sapientia",727
"semen",727
"supero",726
"oro",723
"conscribo",722
"ferrum",722
"regia",722
"versus",721
"mereo",720
"sacerdos",719
"taceo",717
"scientia",716
"dono",714
"argumentum",713
"abeo",712
"capto",712
"accuso",709
"frequens",709
"armo",709
"insidiae",708
"occurro",708
"hinc",705
"tracto",703
"campus",701
"capitum",701
"colligo",701
"exeo",695
"fingo",693
"adduco",693
"imago",693
"induco",692
"tempestas",692
"testimonium",689
"praedico",689
"substantia",686
"plerumque",685
"saeculum",685
"acer",684
"conspicio",684
"sancio",682
"fundus",681
"exspecto",677
"profero",677
"conor",676
"malo",675
"antea",674
"lingua",674
"interrogo",673
"manifestus",672
"mortalis",672
"verto",671
"afficio",670
"terror",670
"indico",670
"impleo",669
"gigno",669
"edo",666
"compono",665
"lapis",663
"finio",663
"aptus",663
"revoco",662
"etenim",661
"ludus",661
"occido",661
"cons",660
"prosum",660
"exitus",660
"licentia",660
"culpa",659
"spero",659
"admitto",656
"tego",656
"apertus",656
"sedes",655
"constitutio",654
"planus",654
"passus",654
"virgo",654
"nuptiae",653
"tutor",652
"pariter",652
"possideo",648
"repeto",647
"theodos",645
"tabula",644
"dictator",643
"praecipuus",642
"postremo",642
"rapio",642
"inquam",641
"remitto",640
"defungor",640
"philosophus",639
"decedo",638
"cornu",637
"gratus",636
"clamor",635
"commoveo",634
"vendo",633
"eripio",632
"metuo",632
"similitudo",629
"immortalis",629
"celebro",627
"undique",627
"recens",627
"consularis",625
"comitium",624
"quies",624
"immo",624
"semel",624
"demonstro",624
"creditor",623
"caedo",623
"intendo",622
"tribuo",622
"eloquentia",622
"experior",621
"legitimus",621
"desino",620
"septem",620
"iuxta",618
"sex",618
"orno",617
"fallo",614
"tergum",612
"effundo",612
"diligenter",612
"peccatum",612
"scriptura",611
"occasio",610
"pateo",610
"adsum",609
"confirmo",609
"tanto",609
"lumen",609
"careo",606
"custodia",605
"quotiens",605
"vultus",605
"soror",605
"protinus",604
"hostus",603
"collega",603
"valentin",602
"num",602
"excedo",599
"timor",598
"competo",597
"placo",597
"centum",596
"futurus",595
"cor",595
"dedo",594
"digitus",594
"vito",594
"dispono",593
"pietas",593
"depono",593
"cogitatio",591
"pignus",591
"opera",590
"epistula",589
"repente",588
"foedus",588
"saepis",586
"familiaris",586
"comprehendo",585
"sedeo",584
"quondam",583
"adventus",582
"sors",582
"numen",582
"pectus",581
"aestimo",580
"simplex",579
"promitto",578
"frumentum",577
"obicio",577
"discrimen",577
"fundo",576
"nepos",575
"poeta",575
"comparo",575
"validus",575
"maiestas",575
"curia",574
"accusator",574
"venenum",574
"idoneus",573
"otium",572
"ineo",569
"triginta",569
"cito",569
"confiteor",567
"proficio",566
"apostolus",562
"mirus",562
"turba",562
"consumo",562
"incido",561
"deligo",559
"frango",558
"responsum",558
"succedo",557
"emo",556
"triumphus",556
"aedes",553
"considero",553
"gesto",553
"dirigo",552
"aureus",552
"explico",551
"silentium",550
"pario",550
"milito",550
"tumultus",550
"vallus",549
"decretum",547
"offertor",546
"dos",545
"sino",545
"insignis",545
"militaris",544
"donatio",543
"produco",543
"removeo",542
"emitto",539
"similiter",539
"privatus",539
"tempero",539
"condo",539
"firmus",538
"senex",536
"april",535
"aliquantus",535
"memini",535
"radix",534
"os",534
"laboro",534
"mandatum",533
"modicus",533
"praeficio",532
"conjungo",532
"rarus",531
"exprimo",531
"somnus",530
"adulescens",528
"prex",528
"effero",528
"pergo",527
"color",527
"arbitrium",526
"origo",526
"deprehendo",525
"subicio",525
"claudo",525
"invado",524
"lacrima",524
"corrumpo",524
"custodio",524
"obscurus",522
"invitus",522
"fortasse",521
"tendo",521
"agito",520
"damnum",520
"moenia",519
"dissero",519
"natio",519
"consensus",517
"aeternus",517
"tantummodo",516
"profecto",516
"detraho",516
"tyrannus",516
"oppugno",515
"perduco",515
"decimus",515
"revertor",515
"nov",514
"paternus",513
"incendium",513
"actus",513
"simulo",512
"sero",512
"dec",511
"subito",511
"averto",511
"ferme",510
"instrumentum",510
"seditio",510
"senator",510
"iniquus",510
"pronuntio",509
"continuo",508
"recedo",507
"tristis",506
"poto",506
"nimis",506
"regno",505
"laedo",504
"fons",504
"premo",503
"figura",503
"verso",503
"colonia",502
"remedium",501
"sinus",501
"vestis",500
"titulus",500
"turbo",500
"advenio",499
"durus",499
"vinculum",499
"argentum",498
"servitus",498
"pondus",498
"angelus",497
"indicium",497
"donum",497
"minuo",497
"felix",497
"quiesco",497
"fraus",496
"ordino",496
"posco",495
"infestus",494
"spectaculum",494
"quintus",493
"libet",493
"legatio",492
"robur",492
"opto",491
"piscis",491
"vivus",490
"nihilum",490
"erigo",490
"patronus",489
"gaudium",489
"visum",488
"tormentum",488
"caelestis",488
"lampadii",487
"ultro",487
"saxum",487
"defensio",486
"exsilium",486
"gaudeo",486
"moneo",485
"pudor",485
"doctrina",484
"frustra",483
"mart",481
"ant",480
"graviter",479
"nonne",478
"expedio",478
"praesum",478
"doleo",478
"philosophia",478
"olim",478
"sacramentum",477
"admodum",477
"mando",476
"impedio",476
"pecus",476
"queror",474
"aer",474
"fatum",473
"controversia",472
"furor",472
"desiderium",472
"resisto",472
"amnis",472
"iacio",471
"votum",471
"portus",470
