Word,Count
"sum",144414
"et",135738
"in",91074
"quis#2",87355
"is",72464
"non",51385
"hic",45022
"ab",44272
"ut",42144
"cum",39887
"ad",39736
"si",29728
"quod",29687
"ex",25429
"sed",24845
"ille",24725
"atque",24436
"omnis",23774
"se",23145
"de",21287
"suus",21071
"dico#2",20994
"ipse",20707
"quam#4",20037
"possum",20034
"aut",18598
"res",18343
"facio",17957
"alius",16070
"habeo",14748
"etiam",14691
"vel",14617
"per",14451
"enim",14421
"nec",13979
"multus",13344
"ego",13314
"video",12842
"qui",12768
"autem",12066
"idem",11248
"verus",10209
"quo",10006
"ne#2",9898
"homo",9732
"deus",9701
"tu",9566
"imperator",9393
"ita",9277
"magnus",9128
"do",9121
"tamen",8990
"causa",8851
"locus",8813
"neque",8712
"modus",8710
"quidem",8580
"unus",8416
"iam",8355
"pars",8275
"cj",8200
"primus",8166
"quidam",8127
"nos",7935
"romanus",7919
"bonus",7909
"dies",7734
"quoque",7725
"tempus",7687
"pro",7404
"noster",7312
"rex",7241
"nihil",7111
"nullus",6917
"aliquis",6917
"inter",6904
"pater",6876
"animus",6640
"tantus",6627
"bellum",6549
"filius",6487
"quia",6447
"post",6286
"publicus",6180
"venio",6135
"urbs",6037
"nomen",5990
"fio",5873
"ago",5831
"debeo",5792
"genus",5686
"nisi",5642
"tuus",5593
"tum",5566
"consul",5473
"sine",5430
"lex",5277
"corpus",5185
"ante",5171
"duo",5165
"conss",5126
"parvus",5107
"annus",5100
"hostis",5060
"sic",5006
"meus",4970
"alter",4895
"ubi",4877
"vos",4875
"apud",4861
"volo#1",4857
"verbum",4851
"vir",4841
"accipio",4833
"iste",4821
"solus",4747
"tam",4611
"deinde",4605
"ratio",4464
"reus",4439
"vis",4438
"mitto",4405
"namque",4403
"nam",4382
"d",4360
"exercitus",4341
"kalendae",4320
"sive",4273
"miles",4266
"igitur",4213
"quos",4195
"senatus",4185
"nunc",4165
"an",4156
"vita",4102
"credo",4041
"magis",3986
"fero",3955
"civitas",3913
"audio",3904
"contra",3836
"opus",3764
"natura",3731
"itaque",3709
"populus",3673
"terra",3660
"jus",3656
"puto",3652
"pono",3559
"manus",3552
"ceterus",3526
"mors",3514
"quisque",3502
"fides",3495
"virtus",3486
"dum",3473
"scribo",3467
"ergo",3402
"scio",3393
"quaero",3392
"peto",3362
"certus",3341
"totus#2",3320
"castrum",3318
"inquiam",3297
"dominus",3287
"sequor",3276
"mille",3244
"relinquo",3220
"capio",3214
"aa",3195
"duco",3095
"quasi",3025
"pp",3016
"quis",3016
"oratio",3001
"domus",3000
"teneo",2994
"longus",2989
"legatus",2929
"uterque",2929
"imperium",2910
"consilium",2893
"at",2883
"sub",2813
"inde",2812
"sententia",2808
"gero",2801
"sicut",2796
"iudicium",2788
"caesar",2786
"licet",2779
"tunc",2772
"malus",2766
"satis",2741
"provincia",2716
"semper",2685
"appello",2683
"princeps",2630
"iudex",2628
"nemo",2628
"voco",2618
"invenio",2610
"c.",2601
"volo",2576
"ager",2573
"vinco",2570
"m.",2562
"fortuna",2551
"propter",2537
"singulus",2532
"aqua",2524
"quisquam",2524
"frater",2512
"honor",2480
"facilis",2477
"oportet",2466
"cc",2458
"num._rom.",2456
"maximus",2447
"signum",2439
"gens",2429
"numerus",2421
"ullus",2414
"tres",2411
"intellego",2409
"potestas",2408
"trado",2395
"arma",2393
"p.",2370
"roma",2337
"usus",2336
"nascor",2334
"pecunia",2325
"gratia",2317
"ordo",2309
"dux",2288
"quoniam",2288
"talis",2286
"refero",2284
"regnum",2262
"ibi",2257
"usque",2242
