Word,Count
"vero",6632
"nihil",6459
"res",4939
"omnia",4938
"causa",4606
"potest",4502
"omnes",4145
"omnibus",3976
"magis",3943
"rem",3624
"rei",3521
"inquit",3293
"re",3284
"rerum",3278
"omnium",2996
"rebus",2948
"tempore",2948
"die",2901
"primum",2728
"loco",2699
"parte",2695
"satis",2644
"minus",2637
"posse",2617
"alia",2578
"maxime",2468
"bellum",2445
"solum",2348
"fieri",2319
"omnis",2261
"unum",2244
"possit",2204
"omni",2197
"nomine",2154
"hominum",2118
"urbem",2113
"natura",2105
"nomen",2095
"habet",2089
"multa",2064
"adversus",2054
"habere",2025
"saepe",2022
"tempus",2003
"homines",1993
"facere",1988
"iure",1972
"nulla",1969
"castra",1950
"dies",1947
"aliis",1930
"senatus",1908
"locum",1903
"dicere",1857
"alii",1833
"partem",1832
"eodem",1819
"genus",1799
"rex",1789
"populi",1787
"animo",1776
"quantum",1770
"causam",1750
"milia",1746
"unde",1741
"hostium",1738
"bello",1713
"animi",1711
"una",1709
"genere",1686
"quaedam",1671
"potius",1670
"velut",1662
"primo",1657
"factum",1641
"licet",1622
"publicae",1616
"pars",1599
"dicitur",1590
"magna",1569
"plus",1559
"secundum",1539
"videtur",1529
"nemo",1517
"constantinopoli",1515
"filium",1509
"exercitus",1508
"bene",1508
"prius",1507
"facta",1503
"supra",1493
"ratione",1493
"uti",1492
"anno",1486
"publica",1482
"duo",1477
"filius",1463
"verum",1453
"ius",1448
"corpus",1446
"intra",1410
"uno",1409
"circa",1407
"belli",1396
"regem",1389
"militum",1385
"posset",1383
"praeter",1377
"verbis",1373
"fidem",1366
"ait",1363
"ratio",1361
"debet",1360
"fecit",1358
"necesse",1356
"pater",1354
"locis",1352
"corporis",1352
"regis",1350
"opus",1346
"quando",1336
"urbe",1333
"consul",1332
"diem",1331
"modum",1328
"homo",1315
"vita",1306
"possunt",1301
"forte",1291
"iudices",1288
"hominem",1282
"mortem",1281
"urbis",1277
"multis",1274
"arma",1268
"milites",1267
"diocl",1263
"maxim",1263
"vitae",1261
"oportet",1261
"fit",1256
"prope",1255
"bona",1251
"ideo",1249
"verba",1243
"statim",1239
"populo",1239
"vim",1222
"exercitu",1211
"exercitum",1211
"vis",1203
"facile",1203
"dicit",1201
"omnem",1201
"manu",1199
"aliqua",1181
"iuris",1178
"fere",1172
"summa",1172
"bonum",1169
"terra",1168
"pr",1160
"adeo",1160
"lege",1155
"diu",1146
"prima",1138
"multo",1131
"nullo",1131
"alios",1130
"certe",1129
"seu",1125
"alterum",1123
"manus",1114
"alio",1113
"habent",1107
"fortuna",1107
"animum",1107
"dixit",1101
"numero",1098
"tanta",1090
"armis",1085
"quinque",1084
"omne",1083
"partes",1083
"unus",1076
"patris",1075
"gratia",1075
"ceteris",1074
"tot",1071
"postquam",1058
"potuit",1053
"caput",1049
"filio",1046
"annos",1044
"quattuor",1042
"castris",1038
"venit",1038
"omnino",1036
"consules",1032
"sententia",1031
"scilicet",1028
"hostes",1024
"sese",1023
"hominis",1016
"temporis",1015
"publicam",1010
"signa",1006
"vitam",1003
"iudicio",999
"viri",997
"iussit",996
"quamquam",995
"facit",993
"imperium",986
"nullum",978
"metu",976
"potestate",970
"totum",966
"quicquam",965
"iudicium",965
"nostris",964
"dictum",962
"aliquando",959
"consilio",957
"dedit",952
"senatu",950
"locus",948
"duobus",945
"recte",939
"usus",938
"deos",938
"patrem",937
"generis",934
"huiusmodi",933
"quin",931
"quamvis",931
"tota",930
"corpore",927
"umquam",926
"populum",926
"hominibus",925
"hostem",925
"vir",923
"aqua",922
"fore",922
"aliter",918
"senatum",916
"cetera",903
"diebus",901
"regnum",898
"fide",898
"illos",898
"populus",890
"virtute",886
"patres",881
"vix",880
"consulatum",878
"animus",878
"decem",876
"cura",876
"bonis",874
"alias",872
"animos",872
"minime",870
"oratio",869
"parum",864
"magno",864
"extra",864
"equites",863
"rursus",857
"paene",857
"suas",857
"alter",855
"imperio",849
"habeat",847
"domum",847
"more",846
"tres",846
"iterum",843
"legem",843
"rationem",843
"videatur",842
"morte",841
"ulla",839
"consilium",833
"plebis",832
"ultra",832
"dei",831
"rege",830
"amplius",829
"civitatis",828
"paulo",827
"pedes",823
"terram",823
"quibusdam",818
"deum",817
"sane",815
"partibus",815
"dici",814
"ipsos",814
"multum",813
"longe",803
"alius",800
"videri",799
"suorum",799
"legibus",795
"tribus",794
"auctoritate",791
"habuit",790
"procul",790
"tandem",789
"oculis",787
"melius",785
"ipsam",785
"naturae",781
"deus",779
"maior",777
"quippe",776
"dixi",776
"mare",773
"data",772
"pecuniam",771
"quodam",771
"utrum",771
"plures",770
"proelio",767
"annis",766
"hi",765
"unius",765
"spem",764
"eiusdem",763
"leges",762
"partim",760
"filii",760
"causis",759
"pecunia",758
"nocte",756
"sententiam",756
"malum",755
"equitum",749
"consulibus",749
"iubet",747
"loca",743
"bonorum",743
"dicam",742
"quemadmodum",739
"legati",733
"viginti",732
"altera",731
"agere",731
"imperii",728
"aciem",725
"acie",724
"provinciae",724
"capite",721
"primus",721
"solet",721
"opera",719
"naturam",717
"consulem",715
"causae",715
"studio",715
"spe",714
"manibus",712
"deo",712
"alium",710
"tanto",710
"legiones",709
"coepit",709
"hinc",705
"oculos",705
"libertatem",703
"mortis",703
"virum",702
"scriptum",700
"duas",700
"nullam",697
"fama",696
"interdum",694
"totius",694
"finem",693
"dicendi",690
"duos",688
"patre",687
"quomodo",685
"alterius",685
"verborum",683
"hostibus",680
"constat",679
"oratione",679
"deorum",679
"genera",678
"nominis",676
"facto",676
"nondum",676
"poterat",675
"scire",675
"potestatem",672
"hostis",670
"litteris",667
"antea",666
"periculum",664
"diximus",661
"cons",660
"species",660
"memoria",659
"possint",658
"gloria",657
"causas",655
"gratiam",654
"plerumque",654
"vocant",654
"singulis",652
"virtus",651
"male",649
"dicta",646
"theodos",645
"boni",645
"periculo",645
"quidquid",644
"militibus",643
"mari",643
"factus",643
"paucis",642
"mala",642
"aetatis",640
"civitatem",639
"unam",638
"dicunt",638
"temporibus",637
"cuncta",635
"ordinem",635
"aliquo",634
"lex",634
"quadam",633
"pacem",632
"civitate",632
"naves",632
"orationis",628
"multi",627
"quanto",627
"pariter",624
"viribus",624
"profectus",622
"videretur",621
"domus",620
"dicimus",620
"liberos",619
"undique",617
"toto",616
"plurimum",615
"nostro",614
"fidei",614
"spiritus",614
"legatos",613
"dare",609
"fortunae",608
"semel",606
"iuxta",605
"voluntate",604
"imperator",604
"isdem",604
"valentin",602
"facilius",602
"oppidum",601
"medio",601
"septem",600
"haberet",600
"consule",598
"poena",598
"annum",598
"sex",596
"liberis",596
"regi",596
"usu",594
"pluribus",594
"speciem",594
"signum",593
"civium",592
"opere",591
"legis",591
"futurum",591
"natus",587
"solis",587
"aetate",586
"protinus",585
"repente",584
"centum",584
"utrumque",583
"casu",581
"vera",580
"fiat",578
"sola",578
"faciunt",578
"quondam",578
"loci",577
"regni",575
"saepius",574
"datum",573
"anni",572
"praesidio",571
"placuit",570
"dicuntur",569
"voce",569
"accepit",568
"animis",568
"habebat",566
"debere",566
"multos",565
"viro",565
"fides",563
"praeterea",562
"episcopus",561
"triginta",561
"libro",560
"nomina",560
"auxilium",558
"dicens",558
"via",557
"regno",556
"altero",556
"ferre",555
"ceterum",553
"usum",553
"mater",553
"terrae",550
"possent",548
"modi",548
"viris",548
"solent",548
"videntur",546
"mille",545
"aliam",544
"specie",543
"proelium",541
"officio",540
"aquam",540
"tuam",539
"crimen",539
"solus",539
"eandem",538
"pace",537
"convenit",536
"corpora",536
"april",535
"misit",535
"domo",534
"neminem",534
"ire",532
"domi",532
"aeque",529
"liceat",529
"verbum",528
"provincia",528
"gloriam",528
"videbatur",528
"quosdam",527
"eundem",527
"oportere",526
"initio",525
"fuga",524
"dico",523
"virtutem",523
"primis",522
"vellet",521
"numerum",521
"plura",520
"agros",519
"maiores",519
"totam",519
"praetor",518
"maiore",517
"copiis",516
"penitus",516
"summum",515
"malis",515
"nov",514
"tantummodo",514
"partis",513
"homine",513
"maxima",513
"dec",511
"peditum",511
"casus",511
"patriae",511
"bella",511
"ferme",510
"testamento",510
"maximo",510
"merito",510
"motus",509
"viam",508
"propria",508
"fiunt",507
"domini",507
"dari",505
"mali",505
"subito",504
"dominus",504
"foro",504
"quicquid",504
"profecto",502
"magnum",502
"forma",502
"impetu",501
"duces",501
"inquam",500
"postremo",500
"ira",498
"aliquam",498
"ordine",498
"frater",498
"domino",496
"exemplum",496
"visum",495
"sanguine",495
"fecisse",494
"utriusque",494
"spes",494
"vires",494
"libris",494
"media",494
"dolore",491
"nimis",490
"tempora",490
"agrum",488
"lampadii",487
"copia",487
"mors",486
"nescio",486
"nostram",486
"ultro",485
"navibus",485
"aliquem",484
"utraque",483
"immo",483
"quotiens",483
"poterit",483
"fecerit",482
"caelo",482
"mart",481
"anima",481
"ant",480
"honor",480
"civitates",480
"virtutis",478
"ullo",477
"principes",477
"summo",477
"honore",477
"miles",475
"urbes",475
"sermone",475
"animae",475
"ore",475
"admodum",474
"memoriam",474
"uxorem",473
"tribuni",472
"venire",472
"arte",472
"possumus",472
"par",470
"gentium",470
"tertio",470
"viros",470
"operis",469
"malo",468
"agro",467
"pecuniae",467
"multitudo",467
"frustra",467
"has",467
"legatis",466
"fortasse",465
"pertinet",465
"respondit",465
"singulos",465
"ejus",462
"dein",461
"manum",461
"mulier",461
"heres",460
"diceret",460
"similiter",460
"principis",460
"provinciam",459
"copias",459
"demum",459
"pugna",459
"dux",459
"officium",459
"olim",458
"actio",457
"acies",457
"moribus",457
"pacis",456
"salutem",456
"ferro",456
"secundo",456
"meam",456
"tuis",456
"spatium",455
"reges",454
"posita",454
"victoria",453
"sponte",453
"mentis",453
"solo",452
"filios",452
"antequam",451
"caelum",451
"aliquod",451
"os",450
"civitas",449
"quanta",449
"vivere",448
"ideoque",447
"verbo",447
"ingenio",446
"vitia",446
"facti",445
"facinus",445
"veteres",445
"foret",444
"pedibus",444
"temporum",444
"tertium",443
"ceteri",443
"alex",442
"terrarum",442
"soli",442
"gentis",441
"palam",441
"videre",441
"magnitudine",440
"veluti",440
"ni",440
"princeps",440
"illic",440
"aquae",439
"sermo",439
"duce",438
"filiis",438
"auri",438
"vere",438
"summam",437
"similis",436
"necessaria",435
"fortunam",434
"nulli",433
"vinum",433
"nullus",433
"iniuria",432
"paucos",432
"patria",432
"nova",431
"num",431
"maiorem",430
"persona",430
"medium",429
"iura",429
"plerique",428
"tali",428
"ducem",427
"habeant",427
"materia",425
"publico",425
"pervenit",425
"praesidium",425
"utroque",425
"filiam",424
"diligenter",424
"gesta",424
"actionem",422
"cuiusque",422
"nihilo",422
"homini",422
"voluit",422
"placet",422
"condicione",420
"patriam",420
"spiritum",420
"pari",420
"divina",420
"velit",419
"opes",419
"metus",418
"piper",418
"carnis",418
"publicis",418
"duae",418
"gentes",418
"quinquaginta",417
"mense",417
"vitium",417
"faciat",417
"mundi",417
"filia",416
"auctores",416
"milibus",416
"spatio",416
"fugam",415
"vino",415
"temere",414
"potes",414
"versus",414
"illorum",414
"tria",413
"praestare",413
"principem",413
"petere",412
"plane",412
"longius",412
"ceteros",412
"mente",411
"talis",410
"alienum",409
"priusquam",408
"communi",408
"orationem",408
"litteras",408
"singulorum",408
"putant",408
"interest",407
"magnis",407
"sancti",406
"exemplo",406
"gloriae",406
"orestis",405
"viii",405
"missus",405
"aliquot",405
"nuper",405
"sensus",405
"deinceps",405
"vocem",405
"faceret",404
"accipere",404
"patri",404
"iudicem",403
"magnam",403
"dominum",403
"ingenti",402
"maioribus",402
"qualis",402
"agmen",401
"dolorem",401
"multitudine",400
"fratrem",400
"memoriae",400
"formam",400
"bono",400
"sequitur",400
"sept",399
"templum",399
"auctor",399
"appellant",399
"fines",399
"aug",398
"patrum",398
"tertia",398
"liberi",398
"ostendit",398
"honorem",398
"etenim",397
"praecipue",397
"hora",397
"praesertim",397
"fieret",396
"dolor",395
"labore",395
"auctoritas",395
"flumen",394
"certamen",394
"credo",394
"duabus",394
"alicuius",394
"facies",394
"ferunt",394
"meis",393
"sequi",393
"dicendum",393
"agri",392
"conspectu",392
"matrem",392
"numerus",392
"octo",391
"fratres",391
"iul",390
"debeat",390
"militiae",390
"pati",390
"magistratus",390
"dixerunt",390
"hoste",389
"aliae",389
"vox",389
"velle",389
"voluntatem",389
"cotidie",389
"extemplo",388
"scripta",388
"iniuriam",388
"certum",388
"idcirco",387
"capta",386
"beneficio",386
"tribunus",386
"reliqua",385
"maius",385
"ian",384
"etiamsi",384
"provincias",384
"caro",384
"animam",384
"itinere",384
"dignitate",384
"hereditatem",383
"passim",383
"videlicet",383
"fructus",383
"sententiae",383
"poenam",382
"vestris",382
"proprium",382
"disciplina",382
"reus",381
"signis",381
"mai",380
"quadraginta",380
"ingens",380
"patribus",378
"dicat",378
"audire",378
"quemquam",377
"video",377
"aaa",376
"luce",376
"dubium",376
"publice",376
"quaeritur",376
"alteri",376
"maris",376
"iudex",375
"certamine",375
"longa",375
"aures",375
"theodosio",374
"debent",374
"animal",374
"auctoritatem",373
"volumus",372
"mori",372
"auxilia",371
"secunda",371
"artis",371
"pugnam",370
"matris",370
"prorsus",370
"oreste",368
"pugnae",368
"consilia",368
"praeda",368
"eoque",367
"impetum",367
"futura",367
"tulit",367
"diutius",367
"equitibus",366
"sociis",366
"ratus",366
"aetas",366
"necessitas",366
"corporibus",365
"actione",364
"classem",364
"publicum",364
"praecepta",364
"dignum",364
"simile",363
"uxor",363
"invidia",363
"venisset",362
"capitis",361
"pretium",361
"spiritu",361
"libertate",361
"diversa",361
"fratris",360
"victoriam",360
"volunt",360
"legionibus",359
"consulto",359
"acta",359
"principum",359
"aliena",359
"oleum",358
"fecerunt",358
"quendam",358
