Word,Count
"et",135738
"in",91003
"est",54719
"non",51384
"ut",42071
"ad",39663
"cum",39527
"quod",30457
"a",30161
"si",29728
"qui",29367
"sed",24845
"quae",23821
"ex",22596
"de",21282
"quam",21169
"esse",18741
"aut",18598
"se",16414
"sunt",15971
"etiam",14690
"enim",14421
"per",14380
"ab",14171
"nec",13979
"vel",13337
"hoc",13263
"atque",12378
"ac",12109
"autem",12066
"id",11627
"quo",10952
"ne",10433
"quid",10318
"eius",10135
"sit",9751
"ita",9277
"tamen",8990
"neque",8712
"quidem",8580
"haec",8515
"eo",8274
"cj",8200
"nam",8054
"iam",7817
"quoque",7725
"ea",7604
"pro",7404
"quibus",7321
"nihil",7031
"inter",6904
"vero",6651
"quia",6447
"eum",6381
"post",6286
"erat",6227
"modo",6129
"quem",6071
"his",5964
"esset",5919
"qua",5820
"nisi",5643
"tum",5566
"sibi",5525
"sine",5434
"te",5401
"me",5371
"ipse",5312
"omnia",5175
"ante",5171
"conss",5126
"fuit",5045
"res",5041
"sic",5006
"ubi",4877
"apud",4769
"causa",4667
"tam",4611
"potest",4604
"ille",4584
"quis",4524
"imperator",4440
"omnes",4417
"eorum",4408
"quos",4386
"d",4360
"igitur",4213
"eos",4175
"nunc",4165
"an",4156
"nos",4151
"illa",4105
"deinde",4073
"omnibus",4065
"mihi",4028
"k",4023
"magis",3985
"ei",3880
"tantum",3875
"cuius",3783
"contra",3775
"imperatores",3771
"itaque",3709
"rem",3668
"nobis",3551
"rei",3549
"ego",3500
"tibi",3484
"dum",3473
"eam",3429
"ergo",3402
"cui",3322
"rerum",3305
"re",3304
"inquit",3297
"hic",3236
"ipsa",3220
"is",3208
"aa",3195
"sua",3191
"illud",3132
"omnium",3076
"suis",3042
"quasi",3025
"pp",3016
"sive",2986
"tempore",2971
"primum",2970
"suo",2970
"rebus",2958
"die",2939
"idem",2898
"at",2870
"illi",2869
"e",2841
"sint",2840
"sub",2813
"inde",2812
"tunc",2772
"satis",2751
"loco",2713
"parte",2702
"fuerit",2699
"minus",2687
"semper",2685
"alia",2658
"ipsum",2643
"posse",2621
"c.",2602
"m.",2561
"propter",2537
"aliquid",2525
"erant",2521
"maxime",2517
"bellum",2499
"sicut",2497
"quas",2482
"cc",2458
"tu",2448
"omnis",2421
"quorum",2401
"p.",2370
"solum",2368
"eadem",2365
"vos",2358
"sui",2349
"hac",2342
"fieri",2338
"unum",2335
"fuisse",2334
"hanc",2308
"quoniam",2288
"ibi",2257
"multa",2253
"usque",2242
"omni",2223
"simul",2214
"l.",2209
"aliud",2209
"possit",2207
"habet",2206
"ipsi",2190
"erit",2189
"suum",2178
"saepe",2166
